trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,day
11,12/8/2025 23:0.27.915,95,online_fb,20,91.4584,379,384,455,good_reach,"""\""[{\\\""x\\\"":0.2411,\\\""y\\\"":0.4147,\\\""t\\\"":0},{\\\""x\\\"":0.1985,\\\""y\\\"":0.3333,\\\""t\\\"":16},{\\\""x\\\"":0.1985,\\\""y\\\"":0.3333,\\\""t\\\"":17},{\\\""x\\\"":0.1871,\\\""y\\\"":0.2752,\\\""t\\\"":33},{\\\""x\\\"":0.1811,\\\""y\\\"":0.235,\\\""t\\\"":50},{\\\""x\\\"":0.1792,\\\""y\\\"":0.212,\\\""t\\\"":66},{\\\""x\\\"":0.1802,\\\""y\\\"":0.1955,\\\""t\\\"":377},{\\\""x\\\"":0.1802,\\\""y\\\"":0.1955,\\\""t\\\"":377}]\""""",1
12,12/8/2025 23:0.30.639,90,online_fb,20,84.4563,337,461,980,good_reach,"""\""[{\\\""x\\\"":0.2445,\\\""y\\\"":0.4687,\\\""t\\\"":0},{\\\""x\\\"":0.2269,\\\""y\\\"":0.4304,\\\""t\\\"":17},{\\\""x\\\"":0.2176,\\\""y\\\"":0.3904,\\\""t\\\"":34},{\\\""x\\\"":0.2127,\\\""y\\\"":0.3652,\\\""t\\\"":50},{\\\""x\\\"":0.2127,\\\""y\\\"":0.3652,\\\""t\\\"":51},{\\\""x\\\"":0.2058,\\\""y\\\"":0.3177,\\\""t\\\"":51},{\\\""x\\\"":0.2047,\\\""y\\\"":0.2915,\\\""t\\\"":67},{\\\""x\\\"":0.2052,\\\""y\\\"":0.2141,\\\""t\\\"":84},{\\\""x\\\"":0.2052,\\\""y\\\"":0.2141,\\\""t\\\"":84},{\\\""x\\\"":0.2069,\\\""y\\\"":0.1812,\\\""t\\\"":100},{\\\""x\\\"":0.2072,\\\""y\\\"":0.1768,\\\""t\\\"":117},{\\\""x\\\"":0.2065,\\\""y\\\"":0.1773,\\\""t\\\"":167}]\""""",1
13,12/8/2025 23:0.33.822,85,online_fb,20,71.3228,16,1359,803,too_slow,"""\""[{\\\""x\\\"":0.2343,\\\""y\\\"":0.4883,\\\""t\\\"":0},{\\\""x\\\"":0.2331,\\\""y\\\"":0.4992,\\\""t\\\"":0},{\\\""x\\\"":0.2287,\\\""y\\\"":0.5007,\\\""t\\\"":1},{\\\""x\\\"":0.226,\\\""y\\\"":0.484,\\\""t\\\"":354},{\\\""x\\\"":0.2243,\\\""y\\\"":0.4662,\\\""t\\\"":366},{\\\""x\\\"":0.2179,\\\""y\\\"":0.4041,\\\""t\\\"":383},{\\\""x\\\"":0.2197,\\\""y\\\"":0.3727,\\\""t\\\"":410},{\\\""x\\\"":0.2226,\\\""y\\\"":0.3401,\\\""t\\\"":418},{\\\""x\\\"":0.2226,\\\""y\\\"":0.3401,\\\""t\\\"":433},{\\\""x\\\"":0.2294,\\\""y\\\"":0.2721,\\\""t\\\"":433},{\\\""x\\\"":0.2336,\\\""y\\\"":0.2406,\\\""t\\\"":449},{\\\""x\\\"":0.2336,\\\""y\\\"":0.2406,\\\""t\\\"":468},{\\\""x\\\"":0.2438,\\\""y\\\"":0.1718,\\\""t\\\"":484}]\""""",1
14,12/8/2025 23:0.36.116,100,online_fb,20,86.7664,316,84,1186,good_reach,"""\""[{\\\""x\\\"":0.2436,\\\""y\\\"":0.4594,\\\""t\\\"":0},{\\\""x\\\"":0.2367,\\\""y\\\"":0.466,\\\""t\\\"":1},{\\\""x\\\"":0.2213,\\\""y\\\"":0.4191,\\\""t\\\"":1},{\\\""x\\\"":0.2059,\\\""y\\\"":0.359,\\\""t\\\"":17},{\\\""x\\\"":0.2005,\\\""y\\\"":0.3294,\\\""t\\\"":34},{\\\""x\\\"":0.2005,\\\""y\\\"":0.3294,\\\""t\\\"":35},{\\\""x\\\"":0.1968,\\\""y\\\"":0.2987,\\\""t\\\"":35},{\\\""x\\\"":0.1929,\\\""y\\\"":0.2481,\\\""t\\\"":50},{\\\""x\\\"":0.1947,\\\""y\\\"":0.2093,\\\""t\\\"":67}]\""""",1
15,12/8/2025 23:0.38.431,80,online_fb,20,71.9378,332,34,866,good_reach,"""\""[{\\\""x\\\"":0.2578,\\\""y\\\"":0.4013,\\\""t\\\"":1},{\\\""x\\\"":0.2385,\\\""y\\\"":0.2688,\\\""t\\\"":17},{\\\""x\\\"":0.2385,\\\""y\\\"":0.2688,\\\""t\\\"":18}]\""""",1
16,12/8/2025 23:0.40.714,85,online_fb,20,78.9622,354,30,801,good_reach,"""\""[{\\\""x\\\"":0.7618,\\\""y\\\"":0.3348,\\\""t\\\"":0},{\\\""x\\\"":0.7235,\\\""y\\\"":0.2691,\\\""t\\\"":12},{\\\""x\\\"":0.7186,\\\""y\\\"":0.1943,\\\""t\\\"":29},{\\\""x\\\"":0.7186,\\\""y\\\"":0.1943,\\\""t\\\"":30}]\""""",1
17,12/8/2025 23:0.43.815,95,online_fb,20,98.7524,351,631,818,too_slow,"""\""[{\\\""x\\\"":0.7432,\\\""y\\\"":0.4692,\\\""t\\\"":0},{\\\""x\\\"":0.7278,\\\""y\\\"":0.4308,\\\""t\\\"":14},{\\\""x\\\"":0.7134,\\\""y\\\"":0.3642,\\\""t\\\"":31},{\\\""x\\\"":0.6986,\\\""y\\\"":0.2831,\\\""t\\\"":48},{\\\""x\\\"":0.687,\\\""y\\\"":0.2573,\\\""t\\\"":617},{\\\""x\\\"":0.687,\\\""y\\\"":0.2573,\\\""t\\\"":617}]\""""",1
18,12/8/2025 23:0.46.133,100,online_fb,20,101.2948,360,52,1199,good_reach,"""\""[{\\\""x\\\"":0.7454,\\\""y\\\"":0.452,\\\""t\\\"":0},{\\\""x\\\"":0.7179,\\\""y\\\"":0.4103,\\\""t\\\"":17},{\\\""x\\\"":0.7179,\\\""y\\\"":0.4103,\\\""t\\\"":18},{\\\""x\\\"":0.6994,\\\""y\\\"":0.3619,\\\""t\\\"":18},{\\\""x\\\"":0.6717,\\\""y\\\"":0.2812,\\\""t\\\"":34},{\\\""x\\\"":0.6717,\\\""y\\\"":0.2812,\\\""t\\\"":34}]\""""",1
19,12/8/2025 23:0.48.149,80,online_fb,20,82.3429,376,34,607,good_reach,"""\""[{\\\""x\\\"":0.7461,\\\""y\\\"":0.3839,\\\""t\\\"":0},{\\\""x\\\"":0.7121,\\\""y\\\"":0.2606,\\\""t\\\"":17},{\\\""x\\\"":0.7121,\\\""y\\\"":0.2606,\\\""t\\\"":17}]\""""",1
20,12/8/2025 23:0.50.395,90,online_fb,20,84.0567,333,34,1175,good_reach,"""\""[{\\\""x\\\"":0.7547,\\\""y\\\"":0.4361,\\\""t\\\"":0},{\\\""x\\\"":0.7244,\\\""y\\\"":0.3288,\\\""t\\\"":17},{\\\""x\\\"":0.7156,\\\""y\\\"":0.2688,\\\""t\\\"":17}]\""""",1
