trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,2/12/2026 14:21.18.380,40,online_fb,0,36.9056,464,746,1892,too_slow,"""\""[{\\\""x\\\"":0.5193,\\\""y\\\"":0.4791,\\\""t\\\"":4},{\\\""x\\\"":0.5274,\\\""y\\\"":0.475,\\\""t\\\"":25},{\\\""x\\\"":0.5374,\\\""y\\\"":0.4708,\\\""t\\\"":50},{\\\""x\\\"":0.5411,\\\""y\\\"":0.4677,\\\""t\\\"":71},{\\\""x\\\"":0.5448,\\\""y\\\"":0.4645,\\\""t\\\"":104},{\\\""x\\\"":0.5523,\\\""y\\\"":0.4531,\\\""t\\\"":125},{\\\""x\\\"":0.5747,\\\""y\\\"":0.4364,\\\""t\\\"":150},{\\\""x\\\"":0.5996,\\\""y\\\"":0.4113,\\\""t\\\"":171},{\\\""x\\\"":0.6059,\\\""y\\\"":0.3967,\\\""t\\\"":192},{\\\""x\\\"":0.6059,\\\""y\\\"":0.3915,\\\""t\\\"":346},{\\\""x\\\"":0.6108,\\\""y\\\"":0.3811,\\\""t\\\"":375},{\\\""x\\\"":0.6202,\\\""y\\\"":0.3696,\\\""t\\\"":400},{\\\""x\\\"":0.6295,\\\""y\\\"":0.3581,\\\""t\\\"":421},{\\\""x\\\"":0.6295,\\\""y\\\"":0.3519,\\\""t\\\"":442},{\\\""x\\\"":0.6295,\\\""y\\\"":0.3456,\\\""t\\\"":562},{\\\""x\\\"":0.6295,\\\""y\\\"":0.3373,\\\""t\\\"":587},{\\\""x\\\"":0.6308,\\\""y\\\"":0.3331,\\\""t\\\"":667},{\\\""x\\\"":0.6376,\\\""y\\\"":0.3258,\\\""t\\\"":695},{\\\""x\\\"":0.6494,\\\""y\\\"":0.3081,\\\""t\\\"":721},{\\\""x\\\"":0.6588,\\\""y\\\"":0.2997,\\\""t\\\"":741}]\""""",1,1
2,2/12/2026 14:21.20.847,80,online_fb,0,80.8886,361,337,573,good_reach,"""\""[{\\\""x\\\"":0.5031,\\\""y\\\"":0.4687,\\\""t\\\"":0},{\\\""x\\\"":0.5037,\\\""y\\\"":0.4332,\\\""t\\\"":13},{\\\""x\\\"":0.5031,\\\""y\\\"":0.4124,\\\""t\\\"":25},{\\\""x\\\"":0.5031,\\\""y\\\"":0.3926,\\\""t\\\"":43},{\\\""x\\\"":0.5031,\\\""y\\\"":0.38,\\\""t\\\"":54},{\\\""x\\\"":0.5031,\\\""y\\\"":0.3623,\\\""t\\\"":67},{\\\""x\\\"":0.5031,\\\""y\\\"":0.3488,\\\""t\\\"":79},{\\\""x\\\"":0.5056,\\\""y\\\"":0.3342,\\\""t\\\"":95},{\\\""x\\\"":0.5118,\\\""y\\\"":0.2956,\\\""t\\\"":113},{\\\""x\\\"":0.5168,\\\""y\\\"":0.2716,\\\""t\\\"":125},{\\\""x\\\"":0.5193,\\\""y\\\"":0.2632,\\\""t\\\"":142},{\\\""x\\\"":0.5212,\\\""y\\\"":0.2559,\\\""t\\\"":154},{\\\""x\\\"":0.5224,\\\""y\\\"":0.2351,\\\""t\\\"":171},{\\\""x\\\"":0.5218,\\\""y\\\"":0.2298,\\\""t\\\"":183},{\\\""x\\\"":0.5218,\\\""y\\\"":0.2278,\\\""t\\\"":265},{\\\""x\\\"":0.5218,\\\""y\\\"":0.2184,\\\""t\\\"":279},{\\\""x\\\"":0.5249,\\\""y\\\"":0.209,\\\""t\\\"":292},{\\\""x\\\"":0.5274,\\\""y\\\"":0.1975,\\\""t\\\"":308},{\\\""x\\\"":0.5286,\\\""y\\\"":0.185,\\\""t\\\"":320},{\\\""x\\\"":0.5311,\\\""y\\\"":0.1735,\\\""t\\\"":334}]\""""",1,1
3,2/12/2026 14:21.23.821,120,online_fb,0,116.2577,445,375,1443,good_reach,"""\""[{\\\""x\\\"":0.4821,\\\""y\\\"":0.4871,\\\""t\\\"":0},{\\\""x\\\"":0.4778,\\\""y\\\"":0.4778,\\\""t\\\"":18},{\\\""x\\\"":0.474,\\\""y\\\"":0.4694,\\\""t\\\"":33},{\\\""x\\\"":0.4734,\\\""y\\\"":0.4663,\\\""t\\\"":46},{\\\""x\\\"":0.4715,\\\""y\\\"":0.4611,\\\""t\\\"":63},{\\\""x\\\"":0.4684,\\\""y\\\"":0.4517,\\\""t\\\"":79},{\\\""x\\\"":0.4647,\\\""y\\\"":0.4339,\\\""t\\\"":96},{\\\""x\\\"":0.4541,\\\""y\\\"":0.41,\\\""t\\\"":113},{\\\""x\\\"":0.4404,\\\""y\\\"":0.3808,\\\""t\\\"":125},{\\\""x\\\"":0.418,\\\""y\\\"":0.3453,\\\""t\\\"":142},{\\\""x\\\"":0.413,\\\""y\\\"":0.3276,\\\""t\\\"":158},{\\\""x\\\"":0.4111,\\\""y\\\"":0.314,\\\""t\\\"":175},{\\\""x\\\"":0.4099,\\\""y\\\"":0.3057,\\\""t\\\"":187},{\\\""x\\\"":0.4093,\\\""y\\\"":0.3015,\\\""t\\\"":204},{\\\""x\\\"":0.4074,\\\""y\\\"":0.2973,\\\""t\\\"":221},{\\\""x\\\"":0.4068,\\\""y\\\"":0.2942,\\\""t\\\"":304},{\\\""x\\\"":0.4099,\\\""y\\\"":0.2827,\\\""t\\\"":325},{\\\""x\\\"":0.4124,\\\""y\\\"":0.2535,\\\""t\\\"":338},{\\\""x\\\"":0.4124,\\\""y\\\"":0.2232,\\\""t\\\"":354},{\\\""x\\\"":0.4111,\\\""y\\\"":0.2024,\\\""t\\\"":371}]\""""",1,1
4,2/12/2026 14:21.27.218,40,online_fb,0,39.6731,347,868,1171,too_slow,"""\""[{\\\""x\\\"":0.5152,\\\""y\\\"":0.4745,\\\""t\\\"":0},{\\\""x\\\"":0.532,\\\""y\\\"":0.4464,\\\""t\\\"":16},{\\\""x\\\"":0.547,\\\""y\\\"":0.4161,\\\""t\\\"":33},{\\\""x\\\"":0.5607,\\\""y\\\"":0.389,\\\""t\\\"":46},{\\\""x\\\"":0.5812,\\\""y\\\"":0.3285,\\\""t\\\"":63},{\\\""x\\\"":0.5893,\\\""y\\\"":0.2889,\\\""t\\\"":79},{\\\""x\\\"":0.5893,\\\""y\\\"":0.2607,\\\""t\\\"":100},{\\\""x\\\"":0.5931,\\\""y\\\"":0.268,\\\""t\\\"":262},{\\\""x\\\"":0.5937,\\\""y\\\"":0.2711,\\\""t\\\"":279},{\\\""x\\\"":0.5962,\\\""y\\\"":0.2743,\\\""t\\\"":296},{\\\""x\\\"":0.6011,\\\""y\\\"":0.2795,\\\""t\\\"":312},{\\\""x\\\"":0.6074,\\\""y\\\"":0.2816,\\\""t\\\"":329},{\\\""x\\\"":0.6136,\\\""y\\\"":0.2816,\\\""t\\\"":341},{\\\""x\\\"":0.618,\\\""y\\\"":0.2805,\\\""t\\\"":358},{\\\""x\\\"":0.6186,\\\""y\\\"":0.2795,\\\""t\\\"":544},{\\\""x\\\"":0.6285,\\\""y\\\"":0.2837,\\\""t\\\"":566},{\\\""x\\\"":0.6317,\\\""y\\\"":0.2847,\\\""t\\\"":622},{\\\""x\\\"":0.6379,\\\""y\\\"":0.2857,\\\""t\\\"":637},{\\\""x\\\"":0.6441,\\\""y\\\"":0.2868,\\\""t\\\"":654},{\\\""x\\\"":0.6478,\\\""y\\\"":0.2868,\\\""t\\\"":862}]\""""",1,1
5,2/12/2026 14:21.36.469,80,online_fb,0,81.1318,483,5496,2266,too_slow,"""\""[{\\\""x\\\"":0.5108,\\\""y\\\"":0.4647,\\\""t\\\"":0},{\\\""x\\\"":0.5469,\\\""y\\\"":0.2425,\\\""t\\\"":76},{\\\""x\\\"":0.5525,\\\""y\\\"":0.2101,\\\""t\\\"":215},{\\\""x\\\"":0.535,\\\""y\\\"":0.1955,\\\""t\\\"":308},{\\\""x\\\"":0.527,\\\""y\\\"":0.1726,\\\""t\\\"":733},{\\\""x\\\"":0.535,\\\""y\\\"":0.1757,\\\""t\\\"":1509},{\\\""x\\\"":0.5201,\\\""y\\\"":0.2154,\\\""t\\\"":3562},{\\\""x\\\"":0.517,\\\""y\\\"":0.2456,\\\""t\\\"":3638},{\\\""x\\\"":0.5151,\\\""y\\\"":0.2852,\\\""t\\\"":3745},{\\\""x\\\"":0.5095,\\\""y\\\"":0.3437,\\\""t\\\"":3820},{\\\""x\\\"":0.5039,\\\""y\\\"":0.3969,\\\""t\\\"":3896},{\\\""x\\\"":0.5014,\\\""y\\\"":0.4281,\\\""t\\\"":3971},{\\\""x\\\"":0.502,\\\""y\\\"":0.4594,\\\""t\\\"":4062},{\\\""x\\\"":0.502,\\\""y\\\"":0.4772,\\\""t\\\"":4261},{\\\""x\\\"":0.4983,\\\""y\\\"":0.5199,\\\""t\\\"":4362},{\\\""x\\\"":0.4977,\\\""y\\\"":0.5053,\\\""t\\\"":4862},{\\\""x\\\"":0.5164,\\\""y\\\"":0.4208,\\\""t\\\"":5225},{\\\""x\\\"":0.5357,\\\""y\\\"":0.2602,\\\""t\\\"":5300},{\\\""x\\\"":0.5344,\\\""y\\\"":0.2101,\\\""t\\\"":5375},{\\\""x\\\"":0.5307,\\\""y\\\"":0.1716,\\\""t\\\"":5491}]\""""",1,1
6,2/12/2026 14:21.39.173,120,online_fb,0,118.229,279,463,1219,good_reach,"""\""[{\\\""x\\\"":0.4948,\\\""y\\\"":0.4656,\\\""t\\\"":0},{\\\""x\\\"":0.4562,\\\""y\\\"":0.4176,\\\""t\\\"":18},{\\\""x\\\"":0.4481,\\\""y\\\"":0.4041,\\\""t\\\"":35},{\\\""x\\\"":0.4437,\\\""y\\\"":0.3863,\\\""t\\\"":55},{\\\""x\\\"":0.4356,\\\""y\\\"":0.355,\\\""t\\\"":71},{\\\""x\\\"":0.4331,\\\""y\\\"":0.3373,\\\""t\\\"":97},{\\\""x\\\"":0.4319,\\\""y\\\"":0.3196,\\\""t\\\"":113},{\\\""x\\\"":0.43,\\\""y\\\"":0.3008,\\\""t\\\"":129},{\\\""x\\\"":0.43,\\\""y\\\"":0.282,\\\""t\\\"":150},{\\\""x\\\"":0.43,\\\""y\\\"":0.2737,\\\""t\\\"":167},{\\\""x\\\"":0.43,\\\""y\\\"":0.2705,\\\""t\\\"":222},{\\\""x\\\"":0.4269,\\\""y\\\"":0.2664,\\\""t\\\"":238},{\\\""x\\\"":0.425,\\\""y\\\"":0.2612,\\\""t\\\"":258},{\\\""x\\\"":0.4232,\\\""y\\\"":0.2539,\\\""t\\\"":275},{\\\""x\\\"":0.4219,\\\""y\\\"":0.2507,\\\""t\\\"":292},{\\\""x\\\"":0.4201,\\\""y\\\"":0.2413,\\\""t\\\"":325},{\\\""x\\\"":0.4145,\\\""y\\\"":0.2278,\\\""t\\\"":342},{\\\""x\\\"":0.407,\\\""y\\\"":0.2173,\\\""t\\\"":363},{\\\""x\\\"":0.407,\\\""y\\\"":0.21,\\\""t\\\"":383},{\\\""x\\\"":0.4064,\\\""y\\\"":0.2069,\\\""t\\\"":457}]\""""",1,1
7,2/12/2026 14:21.41.987,120,online_fb,0,120.1663,335,733,535,too_slow,"""\""[{\\\""x\\\"":0.4819,\\\""y\\\"":0.4927,\\\""t\\\"":1},{\\\""x\\\"":0.4577,\\\""y\\\"":0.4645,\\\""t\\\"":21},{\\\""x\\\"":0.4558,\\\""y\\\"":0.4604,\\\""t\\\"":38},{\\\""x\\\"":0.4514,\\\""y\\\"":0.4447,\\\""t\\\"":58},{\\\""x\\\"":0.4496,\\\""y\\\"":0.4353,\\\""t\\\"":79},{\\\""x\\\"":0.4483,\\\""y\\\"":0.4249,\\\""t\\\"":96},{\\\""x\\\"":0.4458,\\\""y\\\"":0.4051,\\\""t\\\"":117},{\\\""x\\\"":0.4384,\\\""y\\\"":0.3873,\\\""t\\\"":133},{\\\""x\\\"":0.4352,\\\""y\\\"":0.3759,\\\""t\\\"":155},{\\\""x\\\"":0.4321,\\\""y\\\"":0.3488,\\\""t\\\"":196},{\\\""x\\\"":0.4228,\\\""y\\\"":0.3029,\\\""t\\\"":213},{\\\""x\\\"":0.4209,\\\""y\\\"":0.2841,\\\""t\\\"":234},{\\\""x\\\"":0.4147,\\\""y\\\"":0.257,\\\""t\\\"":255},{\\\""x\\\"":0.4141,\\\""y\\\"":0.2538,\\\""t\\\"":313},{\\\""x\\\"":0.4066,\\\""y\\\"":0.2371,\\\""t\\\"":333},{\\\""x\\\"":0.4029,\\\""y\\\"":0.2278,\\\""t\\\"":354},{\\\""x\\\"":0.4041,\\\""y\\\"":0.2257,\\\""t\\\"":584},{\\\""x\\\"":0.4029,\\\""y\\\"":0.2215,\\\""t\\\"":647},{\\\""x\\\"":0.401,\\\""y\\\"":0.2173,\\\""t\\\"":662},{\\\""x\\\"":0.3998,\\\""y\\\"":0.2121,\\\""t\\\"":688}]\""""",1,1
8,2/12/2026 14:21.44.280,40,online_fb,0,39.22,227,457,904,good_reach,"""\""[{\\\""x\\\"":0.5192,\\\""y\\\"":0.5101,\\\""t\\\"":0},{\\\""x\\\"":0.5236,\\\""y\\\"":0.5133,\\\""t\\\"":87},{\\\""x\\\"":0.5398,\\\""y\\\"":0.4934,\\\""t\\\"":103},{\\\""x\\\"":0.5634,\\\""y\\\"":0.4632,\\\""t\\\"":115},{\\\""x\\\"":0.5865,\\\""y\\\"":0.4329,\\\""t\\\"":133},{\\\""x\\\"":0.6008,\\\""y\\\"":0.4183,\\\""t\\\"":144},{\\\""x\\\"":0.6107,\\\""y\\\"":0.41,\\\""t\\\"":161},{\\\""x\\\"":0.6182,\\\""y\\\"":0.4058,\\\""t\\\"":174},{\\\""x\\\"":0.6244,\\\""y\\\"":0.3964,\\\""t\\\"":186},{\\\""x\\\"":0.6307,\\\""y\\\"":0.3735,\\\""t\\\"":203},{\\\""x\\\"":0.6394,\\\""y\\\"":0.3537,\\\""t\\\"":215},{\\\""x\\\"":0.6456,\\\""y\\\"":0.3443,\\\""t\\\"":231},{\\\""x\\\"":0.6469,\\\""y\\\"":0.3422,\\\""t\\\"":244},{\\\""x\\\"":0.6475,\\\""y\\\"":0.3391,\\\""t\\\"":299},{\\\""x\\\"":0.65,\\\""y\\\"":0.3328,\\\""t\\\"":315},{\\\""x\\\"":0.6531,\\\""y\\\"":0.3297,\\\""t\\\"":327},{\\\""x\\\"":0.6543,\\\""y\\\"":0.3255,\\\""t\\\"":344},{\\\""x\\\"":0.6543,\\\""y\\\"":0.3203,\\\""t\\\"":423},{\\\""x\\\"":0.6543,\\\""y\\\"":0.3005,\\\""t\\\"":440},{\\\""x\\\"":0.6543,\\\""y\\\"":0.29,\\\""t\\\"":453}]\""""",1,1
9,2/12/2026 14:21.47.95,80,online_fb,0,80.8721,383,521,907,too_slow,"""\""[{\\\""x\\\"":0.5079,\\\""y\\\"":0.4628,\\\""t\\\"":0},{\\\""x\\\"":0.5129,\\\""y\\\"":0.4325,\\\""t\\\"":21},{\\\""x\\\"":0.5154,\\\""y\\\"":0.4065,\\\""t\\\"":46},{\\\""x\\\"":0.5154,\\\""y\\\"":0.3929,\\\""t\\\"":76},{\\\""x\\\"":0.5154,\\\""y\\\"":0.3887,\\\""t\\\"":104},{\\\""x\\\"":0.5173,\\\""y\\\"":0.3762,\\\""t\\\"":126},{\\\""x\\\"":0.5229,\\\""y\\\"":0.3554,\\\""t\\\"":146},{\\\""x\\\"":0.5204,\\\""y\\\"":0.3355,\\\""t\\\"":168},{\\\""x\\\"":0.5148,\\\""y\\\"":0.3136,\\\""t\\\"":189},{\\\""x\\\"":0.5141,\\\""y\\\"":0.3074,\\\""t\\\"":247},{\\\""x\\\"":0.5179,\\\""y\\\"":0.2782,\\\""t\\\"":275},{\\\""x\\\"":0.5179,\\\""y\\\"":0.2573,\\\""t\\\"":296},{\\\""x\\\"":0.5173,\\\""y\\\"":0.251,\\\""t\\\"":317},{\\\""x\\\"":0.5204,\\\""y\\\"":0.2469,\\\""t\\\"":358},{\\\""x\\\"":0.531,\\\""y\\\"":0.2198,\\\""t\\\"":379},{\\\""x\\\"":0.5353,\\\""y\\\"":0.2041,\\\""t\\\"":400},{\\\""x\\\"":0.5366,\\\""y\\\"":0.1968,\\\""t\\\"":421},{\\\""x\\\"":0.5328,\\\""y\\\"":0.1853,\\\""t\\\"":442},{\\\""x\\\"":0.5297,\\\""y\\\"":0.177,\\\""t\\\"":463},{\\\""x\\\"":0.531,\\\""y\\\"":0.1739,\\\""t\\\"":517}]\""""",1,1
10,2/12/2026 14:21.51.124,40,online_fb,0,40.7266,366,1238,1409,too_slow,"""\""[{\\\""x\\\"":0.5082,\\\""y\\\"":0.4713,\\\""t\\\"":1},{\\\""x\\\"":0.5387,\\\""y\\\"":0.4296,\\\""t\\\"":21},{\\\""x\\\"":0.5612,\\\""y\\\"":0.4056,\\\""t\\\"":50},{\\\""x\\\"":0.5692,\\\""y\\\"":0.3993,\\\""t\\\"":71},{\\\""x\\\"":0.5836,\\\""y\\\"":0.3868,\\\""t\\\"":95},{\\\""x\\\"":0.5985,\\\""y\\\"":0.367,\\\""t\\\"":117},{\\\""x\\\"":0.6103,\\\""y\\\"":0.3367,\\\""t\\\"":142},{\\\""x\\\"":0.6116,\\\""y\\\"":0.3294,\\\""t\\\"":224},{\\\""x\\\"":0.6172,\\\""y\\\"":0.319,\\\""t\\\"":250},{\\\""x\\\"":0.6247,\\\""y\\\"":0.3117,\\\""t\\\"":275},{\\\""x\\\"":0.6296,\\\""y\\\"":0.3096,\\\""t\\\"":296},{\\\""x\\\"":0.639,\\\""y\\\"":0.3075,\\\""t\\\"":379},{\\\""x\\\"":0.6521,\\\""y\\\"":0.3044,\\\""t\\\"":400},{\\\""x\\\"":0.6558,\\\""y\\\"":0.3023,\\\""t\\\"":435},{\\\""x\\\"":0.6546,\\\""y\\\"":0.295,\\\""t\\\"":618},{\\\""x\\\"":0.6539,\\\""y\\\"":0.2929,\\\""t\\\"":643},{\\\""x\\\"":0.6527,\\\""y\\\"":0.2898,\\\""t\\\"":818},{\\\""x\\\"":0.6514,\\\""y\\\"":0.2877,\\\""t\\\"":892},{\\\""x\\\"":0.6446,\\\""y\\\"":0.2773,\\\""t\\\"":917},{\\\""x\\\"":0.6483,\\\""y\\\"":0.2804,\\\""t\\\"":1234}]\""""",1,1
