trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,12/29/2025 1:28.53.934,90,online_fb,0,91.266,356,177,618,good_reach,"""\""[{\\\""x\\\"":0.499,\\\""y\\\"":0.3185,\\\""t\\\"":12},{\\\""x\\\"":0.501,\\\""y\\\"":0.261,\\\""t\\\"":26},{\\\""x\\\"":0.5019,\\\""y\\\"":0.2184,\\\""t\\\"":43},{\\\""x\\\"":0.5019,\\\""y\\\"":0.2055,\\\""t\\\"":60},{\\\""x\\\"":0.5019,\\\""y\\\"":0.1962,\\\""t\\\"":76},{\\\""x\\\"":0.5019,\\\""y\\\"":0.1851,\\\""t\\\"":93},{\\\""x\\\"":0.5019,\\\""y\\\"":0.1814,\\\""t\\\"":110},{\\\""x\\\"":0.501,\\\""y\\\"":0.1814,\\\""t\\\"":110},{\\\""x\\\"":0.5,\\\""y\\\"":0.1777,\\\""t\\\"":126},{\\\""x\\\"":0.5,\\\""y\\\"":0.174,\\\""t\\\"":143},{\\\""x\\\"":0.4971,\\\""y\\\"":0.1684,\\\""t\\\"":159}]\""""",1,1
2,12/29/2025 1:28.55.993,90,online_fb,0,98.6233,449,33,873,good_reach,"""\""[{\\\""x\\\"":0.4745,\\\""y\\\"":0.3291,\\\""t\\\"":0},{\\\""x\\\"":0.4706,\\\""y\\\"":0.2217,\\\""t\\\"":16}]\""""",1,1
3,12/29/2025 1:28.57.674,90,online_fb,0,88.0022,266,67,648,good_reach,"""\""[{\\\""x\\\"":0.4941,\\\""y\\\"":0.4596,\\\""t\\\"":0},{\\\""x\\\"":0.496,\\\""y\\\"":0.3855,\\\""t\\\"":16},{\\\""x\\\"":0.4999,\\\""y\\\"":0.3373,\\\""t\\\"":33},{\\\""x\\\"":0.5048,\\\""y\\\"":0.2632,\\\""t\\\"":50}]\""""",1,1
4,12/29/2025 1:28.59.425,90,online_fb,0,89.9523,194,231,623,good_reach,"""\""[{\\\""x\\\"":0.5011,\\\""y\\\"":0.468,\\\""t\\\"":0},{\\\""x\\\"":0.5011,\\\""y\\\"":0.4606,\\\""t\\\"":15},{\\\""x\\\"":0.5011,\\\""y\\\"":0.4421,\\\""t\\\"":32},{\\\""x\\\"":0.504,\\\""y\\\"":0.3939,\\\""t\\\"":48},{\\\""x\\\"":0.506,\\\""y\\\"":0.3476,\\\""t\\\"":65},{\\\""x\\\"":0.5099,\\\""y\\\"":0.3087,\\\""t\\\"":81},{\\\""x\\\"":0.5099,\\\""y\\\"":0.3087,\\\""t\\\"":82},{\\\""x\\\"":0.5099,\\\""y\\\"":0.2753,\\\""t\\\"":98},{\\\""x\\\"":0.5099,\\\""y\\\"":0.2401,\\\""t\\\"":115},{\\\""x\\\"":0.507,\\\""y\\\"":0.2161,\\\""t\\\"":131},{\\\""x\\\"":0.505,\\\""y\\\"":0.2049,\\\""t\\\"":149},{\\\""x\\\"":0.504,\\\""y\\\"":0.1975,\\\""t\\\"":165},{\\\""x\\\"":0.5021,\\\""y\\\"":0.1846,\\\""t\\\"":181},{\\\""x\\\"":0.5021,\\\""y\\\"":0.1753,\\\""t\\\"":198},{\\\""x\\\"":0.5011,\\\""y\\\"":0.1679,\\\""t\\\"":215}]\""""",1,1
5,12/29/2025 1:29.1.176,90,online_fb,0,92.3647,334,64,649,good_reach,"""\""[{\\\""x\\\"":0.5023,\\\""y\\\"":0.4501,\\\""t\\\"":0},{\\\""x\\\"":0.4975,\\\""y\\\"":0.35,\\\""t\\\"":14},{\\\""x\\\"":0.4946,\\\""y\\\"":0.2815,\\\""t\\\"":31},{\\\""x\\\"":0.4926,\\\""y\\\"":0.1981,\\\""t\\\"":48}]\""""",1,1
6,12/29/2025 1:29.5.786,90,online_fb,0,53.7381,116,367,768,good_reach,"""\""[{\\\""x\\\"":0.5068,\\\""y\\\"":0.4704,\\\""t\\\"":0},{\\\""x\\\"":0.5078,\\\""y\\\"":0.4704,\\\""t\\\"":17},{\\\""x\\\"":0.5107,\\\""y\\\"":0.4704,\\\""t\\\"":33},{\\\""x\\\"":0.5097,\\\""y\\\"":0.4463,\\\""t\\\"":344},{\\\""x\\\"":0.5068,\\\""y\\\"":0.4129,\\\""t\\\"":356}]\""""",1,1
7,12/29/2025 1:29.8.158,90,online_fb,0,85.1096,449,84,751,good_reach,"""\""[{\\\""x\\\"":0.5097,\\\""y\\\"":0.4111,\\\""t\\\"":1},{\\\""x\\\"":0.5156,\\\""y\\\"":0.3148,\\\""t\\\"":17},{\\\""x\\\"":0.5175,\\\""y\\\"":0.2703,\\\""t\\\"":34},{\\\""x\\\"":0.5175,\\\""y\\\"":0.2147,\\\""t\\\"":50},{\\\""x\\\"":0.5175,\\\""y\\\"":0.1851,\\\""t\\\"":67}]\""""",1,1
8,12/29/2025 1:29.10.130,90,online_fb,0,98.051,465,33,766,good_reach,"""\""[{\\\""x\\\"":0.4861,\\\""y\\\"":0.3988,\\\""t\\\"":0},{\\\""x\\\"":0.4783,\\\""y\\\"":0.3025,\\\""t\\\"":17}]\""""",1,1
9,12/29/2025 1:29.12.334,90,online_fb,0,93.5424,361,33,789,good_reach,"""\""[{\\\""x\\\"":0.4942,\\\""y\\\"":0.4129,\\\""t\\\"":1},{\\\""x\\\"":0.4932,\\\""y\\\"":0.2814,\\\""t\\\"":17}]\""""",1,1
10,12/29/2025 1:29.14.425,90,online_fb,0,93.3486,336,30,718,good_reach,"""\""[{\\\""x\\\"":0.4951,\\\""y\\\"":0.3333,\\\""t\\\"":0},{\\\""x\\\"":0.4922,\\\""y\\\"":0.2407,\\\""t\\\"":13}]\""""",1,1
