trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,day
1,11/25/2025 8:25.22.918,135,online_fb,0,134.1873,661,333,1070,good_reach,"""\""[{\\\""x\\\"":0.7118,\\\""y\\\"":0.4314,\\\""t\\\"":16},{\\\""x\\\"":0.7002,\\\""y\\\"":0.4113,\\\""t\\\"":33},{\\\""x\\\"":0.6869,\\\""y\\\"":0.3846,\\\""t\\\"":49},{\\\""x\\\"":0.6789,\\\""y\\\"":0.3645,\\\""t\\\"":66},{\\\""x\\\"":0.6709,\\\""y\\\"":0.3478,\\\""t\\\"":83},{\\\""x\\\"":0.6593,\\\""y\\\"":0.321,\\\""t\\\"":99},{\\\""x\\\"":0.6531,\\\""y\\\"":0.3076,\\\""t\\\"":116},{\\\""x\\\"":0.6496,\\\""y\\\"":0.2992,\\\""t\\\"":133},{\\\""x\\\"":0.646,\\\""y\\\"":0.2925,\\\""t\\\"":149},{\\\""x\\\"":0.6451,\\\""y\\\"":0.2909,\\\""t\\\"":167},{\\\""x\\\"":0.6433,\\\""y\\\"":0.2909,\\\""t\\\"":183},{\\\""x\\\"":0.6425,\\\""y\\\"":0.2909,\\\""t\\\"":199},{\\\""x\\\"":0.6425,\\\""y\\\"":0.2892,\\\""t\\\"":220},{\\\""x\\\"":0.6416,\\\""y\\\"":0.2892,\\\""t\\\"":233},{\\\""x\\\"":0.638,\\\""y\\\"":0.2808,\\\""t\\\"":249},{\\\""x\\\"":0.6353,\\\""y\\\"":0.2725,\\\""t\\\"":266},{\\\""x\\\"":0.6318,\\\""y\\\"":0.2674,\\\""t\\\"":283},{\\\""x\\\"":0.6282,\\\""y\\\"":0.2624,\\\""t\\\"":299},{\\\""x\\\"":0.6273,\\\""y\\\"":0.2608,\\\""t\\\"":316}]\""""",1
2,11/25/2025 8:25.25.244,140,online_fb,0,145.5507,467,97,1061,good_reach,"""\""[{\\\""x\\\"":0.7332,\\\""y\\\"":0.4779,\\\""t\\\"":0},{\\\""x\\\"":0.7189,\\\""y\\\"":0.4578,\\\""t\\\"":14},{\\\""x\\\"":0.6905,\\\""y\\\"":0.4194,\\\""t\\\"":31},{\\\""x\\\"":0.6621,\\\""y\\\"":0.3775,\\\""t\\\"":48},{\\\""x\\\"":0.6283,\\\""y\\\"":0.3324,\\\""t\\\"":64},{\\\""x\\\"":0.6123,\\\""y\\\"":0.3173,\\\""t\\\"":81}]\""""",1
3,11/25/2025 8:25.28.895,145,online_fb,0,151.3631,1341,300,1309,good_reach,"""\""[{\\\""x\\\"":0.7342,\\\""y\\\"":0.4857,\\\""t\\\"":1},{\\\""x\\\"":0.7271,\\\""y\\\"":0.4807,\\\""t\\\"":17},{\\\""x\\\"":0.7235,\\\""y\\\"":0.4774,\\\""t\\\"":34},{\\\""x\\\"":0.7209,\\\""y\\\"":0.4757,\\\""t\\\"":50},{\\\""x\\\"":0.7111,\\\""y\\\"":0.4657,\\\""t\\\"":67},{\\\""x\\\"":0.7067,\\\""y\\\"":0.459,\\\""t\\\"":84},{\\\""x\\\"":0.6995,\\\""y\\\"":0.4506,\\\""t\\\"":84},{\\\""x\\\"":0.6853,\\\""y\\\"":0.4389,\\\""t\\\"":100},{\\\""x\\\"":0.664,\\\""y\\\"":0.4138,\\\""t\\\"":117},{\\\""x\\\"":0.6498,\\\""y\\\"":0.3971,\\\""t\\\"":134},{\\\""x\\\"":0.6382,\\\""y\\\"":0.3803,\\\""t\\\"":150},{\\\""x\\\"":0.6213,\\\""y\\\"":0.3653,\\\""t\\\"":167},{\\\""x\\\"":0.6116,\\\""y\\\"":0.3552,\\\""t\\\"":184},{\\\""x\\\"":0.6036,\\\""y\\\"":0.3519,\\\""t\\\"":200},{\\\""x\\\"":0.5991,\\\""y\\\"":0.3469,\\\""t\\\"":217},{\\\""x\\\"":0.5973,\\\""y\\\"":0.3469,\\\""t\\\"":234},{\\\""x\\\"":0.5964,\\\""y\\\"":0.3469,\\\""t\\\"":250},{\\\""x\\\"":0.5956,\\\""y\\\"":0.3452,\\\""t\\\"":273},{\\\""x\\\"":0.5938,\\\""y\\\"":0.3435,\\\""t\\\"":285}]\""""",1
4,11/25/2025 8:25.32.93,125,online_fb,0,121.0124,622,117,1098,good_reach,"""\""[{\\\""x\\\"":0.7411,\\\""y\\\"":0.4699,\\\""t\\\"":0},{\\\""x\\\"":0.726,\\\""y\\\"":0.4264,\\\""t\\\"":17},{\\\""x\\\"":0.7136,\\\""y\\\"":0.3829,\\\""t\\\"":34},{\\\""x\\\"":0.6958,\\\""y\\\"":0.3294,\\\""t\\\"":50},{\\\""x\\\"":0.6825,\\\""y\\\"":0.2892,\\\""t\\\"":67},{\\\""x\\\"":0.6709,\\\""y\\\"":0.2541,\\\""t\\\"":84},{\\\""x\\\"":0.6602,\\\""y\\\"":0.2206,\\\""t\\\"":100}]\""""",1
5,11/25/2025 8:25.34.340,130,online_fb,0,131.5704,543,70,932,good_reach,"""\""[{\\\""x\\\"":0.739,\\\""y\\\"":0.4764,\\\""t\\\"":0},{\\\""x\\\"":0.739,\\\""y\\\"":0.4764,\\\""t\\\"":4},{\\\""x\\\"":0.7034,\\\""y\\\"":0.4045,\\\""t\\\"":21},{\\\""x\\\"":0.6536,\\\""y\\\"":0.3024,\\\""t\\\"":37},{\\\""x\\\"":0.6359,\\\""y\\\"":0.2589,\\\""t\\\"":54}]\""""",1
6,11/25/2025 8:25.36.820,35,online_fb,0,35.3401,682,58,869,good_reach,"""\""[{\\\""x\\\"":0.2696,\\\""y\\\"":0.4699,\\\""t\\\"":0},{\\\""x\\\"":0.3033,\\\""y\\\"":0.4314,\\\""t\\\"":8},{\\\""x\\\"":0.3362,\\\""y\\\"":0.3896,\\\""t\\\"":25},{\\\""x\\\"":0.3673,\\\""y\\\"":0.3511,\\\""t\\\"":42}]\""""",1
7,11/25/2025 8:25.39.5,40,online_fb,0,32.372,553,53,876,good_reach,"""\""[{\\\""x\\\"":0.2612,\\\""y\\\"":0.4759,\\\""t\\\"":0},{\\\""x\\\"":0.2843,\\\""y\\\"":0.4491,\\\""t\\\"":6},{\\\""x\\\"":0.3261,\\\""y\\\"":0.4023,\\\""t\\\"":21},{\\\""x\\\"":0.3732,\\\""y\\\"":0.3521,\\\""t\\\"":37}]\""""",1
8,11/25/2025 8:25.41.514,45,online_fb,0,47.0025,442,104,734,good_reach,"""\""[{\\\""x\\\"":0.258,\\\""y\\\"":0.4699,\\\""t\\\"":0},{\\\""x\\\"":0.2687,\\\""y\\\"":0.4481,\\\""t\\\"":7},{\\\""x\\\"":0.2838,\\\""y\\\"":0.4197,\\\""t\\\"":20},{\\\""x\\\"":0.3131,\\\""y\\\"":0.3595,\\\""t\\\"":37},{\\\""x\\\"":0.3353,\\\""y\\\"":0.316,\\\""t\\\"":53},{\\\""x\\\"":0.3478,\\\""y\\\"":0.2925,\\\""t\\\"":70},{\\\""x\\\"":0.3647,\\\""y\\\"":0.2658,\\\""t\\\"":87}]\""""",1
9,11/25/2025 8:25.43.506,50,online_fb,0,46.0693,454,104,731,good_reach,"""\""[{\\\""x\\\"":0.2477,\\\""y\\\"":0.4568,\\\""t\\\"":0},{\\\""x\\\"":0.2593,\\\""y\\\"":0.4351,\\\""t\\\"":7},{\\\""x\\\"":0.2735,\\\""y\\\"":0.4083,\\\""t\\\"":21},{\\\""x\\\"":0.3037,\\\""y\\\"":0.3547,\\\""t\\\"":37},{\\\""x\\\"":0.3135,\\\""y\\\"":0.338,\\\""t\\\"":37},{\\\""x\\\"":0.3348,\\\""y\\\"":0.3079,\\\""t\\\"":54},{\\\""x\\\"":0.3499,\\\""y\\\"":0.2878,\\\""t\\\"":71},{\\\""x\\\"":0.3659,\\\""y\\\"":0.2678,\\\""t\\\"":87}]\""""",1
10,11/25/2025 8:25.45.690,55,online_fb,0,49.1849,492,86,700,good_reach,"""\""[{\\\""x\\\"":0.2571,\\\""y\\\"":0.4699,\\\""t\\\"":0},{\\\""x\\\"":0.266,\\\""y\\\"":0.4548,\\\""t\\\"":4},{\\\""x\\\"":0.298,\\\""y\\\"":0.3913,\\\""t\\\"":19},{\\\""x\\\"":0.322,\\\""y\\\"":0.3427,\\\""t\\\"":36},{\\\""x\\\"":0.3415,\\\""y\\\"":0.3059,\\\""t\\\"":53},{\\\""x\\\"":0.3602,\\\""y\\\"":0.2624,\\\""t\\\"":69}]\""""",1
