trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,2/12/2026 18:3.8.215,40,online_fb,0,33.6509,461,567,1836,too_slow,"""\""[{\\\""x\\\"":0.509,\\\""y\\\"":0.4592,\\\""t\\\"":17},{\\\""x\\\"":0.5136,\\\""y\\\"":0.4536,\\\""t\\\"":50},{\\\""x\\\"":0.5163,\\\""y\\\"":0.4507,\\\""t\\\"":66},{\\\""x\\\"":0.5217,\\\""y\\\"":0.4468,\\\""t\\\"":100},{\\\""x\\\"":0.528,\\\""y\\\"":0.4434,\\\""t\\\"":133},{\\\""x\\\"":0.5405,\\\""y\\\"":0.4404,\\\""t\\\"":166},{\\\""x\\\"":0.5425,\\\""y\\\"":0.4392,\\\""t\\\"":183},{\\\""x\\\"":0.5434,\\\""y\\\"":0.4383,\\\""t\\\"":217},{\\\""x\\\"":0.5447,\\\""y\\\"":0.4379,\\\""t\\\"":250},{\\\""x\\\"":0.5506,\\\""y\\\"":0.4379,\\\""t\\\"":283},{\\\""x\\\"":0.552,\\\""y\\\"":0.4366,\\\""t\\\"":300},{\\\""x\\\"":0.5545,\\\""y\\\"":0.4298,\\\""t\\\"":333},{\\\""x\\\"":0.5588,\\\""y\\\"":0.4209,\\\""t\\\"":367},{\\\""x\\\"":0.5642,\\\""y\\\"":0.4098,\\\""t\\\"":400},{\\\""x\\\"":0.5723,\\\""y\\\"":0.3988,\\\""t\\\"":417},{\\\""x\\\"":0.5893,\\\""y\\\"":0.3749,\\\""t\\\"":450},{\\\""x\\\"":0.5992,\\\""y\\\"":0.3592,\\\""t\\\"":483},{\\\""x\\\"":0.6139,\\\""y\\\"":0.3418,\\\""t\\\"":517},{\\\""x\\\"":0.6252,\\\""y\\\"":0.3328,\\\""t\\\"":534},{\\\""x\\\"":0.6397,\\\""y\\\"":0.3209,\\\""t\\\"":550}]\""""",1,1
2,2/12/2026 18:3.16.124,80,online_fb,0,80.3095,483,3833,2118,too_slow,"""\""[{\\\""x\\\"":0.4903,\\\""y\\\"":0.4681,\\\""t\\\"":0},{\\\""x\\\"":0.4968,\\\""y\\\"":0.3868,\\\""t\\\"":100},{\\\""x\\\"":0.4982,\\\""y\\\"":0.369,\\\""t\\\"":234},{\\\""x\\\"":0.5059,\\\""y\\\"":0.3201,\\\""t\\\"":633},{\\\""x\\\"":0.5077,\\\""y\\\"":0.3073,\\\""t\\\"":766},{\\\""x\\\"":0.509,\\\""y\\\"":0.2958,\\\""t\\\"":883},{\\\""x\\\"":0.5104,\\\""y\\\"":0.2682,\\\""t\\\"":1017},{\\\""x\\\"":0.5118,\\\""y\\\"":0.2592,\\\""t\\\"":1116},{\\\""x\\\"":0.5199,\\\""y\\\"":0.2414,\\\""t\\\"":1234},{\\\""x\\\"":0.5237,\\\""y\\\"":0.2235,\\\""t\\\"":1583},{\\\""x\\\"":0.5251,\\\""y\\\"":0.2133,\\\""t\\\"":1700},{\\\""x\\\"":0.5253,\\\""y\\\"":0.2082,\\\""t\\\"":1842},{\\\""x\\\"":0.5255,\\\""y\\\"":0.2031,\\\""t\\\"":1983},{\\\""x\\\"":0.5258,\\\""y\\\"":0.1984,\\\""t\\\"":2100},{\\\""x\\\"":0.5269,\\\""y\\\"":0.192,\\\""t\\\"":2233},{\\\""x\\\"":0.5287,\\\""y\\\"":0.1869,\\\""t\\\"":2350},{\\\""x\\\"":0.5303,\\\""y\\\"":0.1818,\\\""t\\\"":2483},{\\\""x\\\"":0.531,\\\""y\\\"":0.1771,\\\""t\\\"":2602},{\\\""x\\\"":0.5314,\\\""y\\\"":0.1741,\\\""t\\\"":2767},{\\\""x\\\"":0.5298,\\\""y\\\"":0.1716,\\\""t\\\"":3817}]\""""",1,1
3,2/12/2026 18:3.23.797,120,online_fb,0,120.637,550,3477,2640,too_slow,"""\""[{\\\""x\\\"":0.4996,\\\""y\\\"":0.4623,\\\""t\\\"":0},{\\\""x\\\"":0.4906,\\\""y\\\"":0.4329,\\\""t\\\"":325},{\\\""x\\\"":0.459,\\\""y\\\"":0.3555,\\\""t\\\"":400},{\\\""x\\\"":0.4522,\\\""y\\\"":0.3381,\\\""t\\\"":782},{\\\""x\\\"":0.4321,\\\""y\\\"":0.2636,\\\""t\\\"":866},{\\\""x\\\"":0.4294,\\\""y\\\"":0.256,\\\""t\\\"":1316},{\\\""x\\\"":0.4255,\\\""y\\\"":0.247,\\\""t\\\"":1416},{\\\""x\\\"":0.4242,\\\""y\\\"":0.2449,\\\""t\\\"":1500},{\\\""x\\\"":0.423,\\\""y\\\"":0.2415,\\\""t\\\"":1583},{\\\""x\\\"":0.4212,\\\""y\\\"":0.2385,\\\""t\\\"":1667},{\\\""x\\\"":0.4194,\\\""y\\\"":0.236,\\\""t\\\"":1782},{\\\""x\\\"":0.4181,\\\""y\\\"":0.2343,\\\""t\\\"":1866},{\\\""x\\\"":0.4165,\\\""y\\\"":0.2326,\\\""t\\\"":1950},{\\\""x\\\"":0.4151,\\\""y\\\"":0.23,\\\""t\\\"":2034},{\\\""x\\\"":0.4147,\\\""y\\\"":0.2279,\\\""t\\\"":2133},{\\\""x\\\"":0.414,\\\""y\\\"":0.2236,\\\""t\\\"":2217},{\\\""x\\\"":0.4131,\\\""y\\\"":0.219,\\\""t\\\"":2300},{\\\""x\\\"":0.4126,\\\""y\\\"":0.2164,\\\""t\\\"":2416},{\\\""x\\\"":0.4113,\\\""y\\\"":0.2147,\\\""t\\\"":2517},{\\\""x\\\"":0.4097,\\\""y\\\"":0.2139,\\\""t\\\"":2600}]\""""",1,1
4,2/12/2026 18:3.30.104,40,online_fb,0,40.4917,502,2098,2701,too_slow,"""\""[{\\\""x\\\"":0.519,\\\""y\\\"":0.4881,\\\""t\\\"":0},{\\\""x\\\"":0.5513,\\\""y\\\"":0.415,\\\""t\\\"":48},{\\\""x\\\"":0.5678,\\\""y\\\"":0.3788,\\\""t\\\"":314},{\\\""x\\\"":0.585,\\\""y\\\"":0.3405,\\\""t\\\"":365},{\\\""x\\\"":0.5909,\\\""y\\\"":0.3303,\\\""t\\\"":633},{\\\""x\\\"":0.5974,\\\""y\\\"":0.3192,\\\""t\\\"":698},{\\\""x\\\"":0.6026,\\\""y\\\"":0.3129,\\\""t\\\"":764},{\\\""x\\\"":0.606,\\\""y\\\"":0.309,\\\""t\\\"":831},{\\\""x\\\"":0.6096,\\\""y\\\"":0.3052,\\\""t\\\"":898},{\\\""x\\\"":0.6125,\\\""y\\\"":0.3014,\\\""t\\\"":964},{\\\""x\\\"":0.6159,\\\""y\\\"":0.2976,\\\""t\\\"":1031},{\\\""x\\\"":0.6189,\\\""y\\\"":0.2942,\\\""t\\\"":1098},{\\\""x\\\"":0.6214,\\\""y\\\"":0.2916,\\\""t\\\"":1165},{\\\""x\\\"":0.6229,\\\""y\\\"":0.2903,\\\""t\\\"":1231},{\\\""x\\\"":0.6268,\\\""y\\\"":0.2878,\\\""t\\\"":1298},{\\\""x\\\"":0.6299,\\\""y\\\"":0.2852,\\\""t\\\"":1364},{\\\""x\\\"":0.6313,\\\""y\\\"":0.2839,\\\""t\\\"":1816},{\\\""x\\\"":0.6322,\\\""y\\\"":0.2839,\\\""t\\\"":1948},{\\\""x\\\"":0.6331,\\\""y\\\"":0.2839,\\\""t\\\"":2014},{\\\""x\\\"":0.6342,\\\""y\\\"":0.2835,\\\""t\\\"":2081}]\""""",1,1
5,2/12/2026 18:3.36.400,80,online_fb,0,79.256,500,2883,1911,too_slow,"""\""[{\\\""x\\\"":0.517,\\\""y\\\"":0.4834,\\\""t\\\"":0},{\\\""x\\\"":0.5328,\\\""y\\\"":0.3907,\\\""t\\\"":84},{\\\""x\\\"":0.5331,\\\""y\\\"":0.3635,\\\""t\\\"":416},{\\\""x\\\"":0.5306,\\\""y\\\"":0.3286,\\\""t\\\"":750},{\\\""x\\\"":0.5265,\\\""y\\\"":0.3065,\\\""t\\\"":833},{\\\""x\\\"":0.5258,\\\""y\\\"":0.2694,\\\""t\\\"":1167},{\\\""x\\\"":0.5256,\\\""y\\\"":0.2473,\\\""t\\\"":1266},{\\\""x\\\"":0.5256,\\\""y\\\"":0.2414,\\\""t\\\"":1366},{\\\""x\\\"":0.5256,\\\""y\\\"":0.235,\\\""t\\\"":1450},{\\\""x\\\"":0.527,\\\""y\\\"":0.2256,\\\""t\\\"":1550},{\\\""x\\\"":0.5281,\\\""y\\\"":0.2154,\\\""t\\\"":1650},{\\\""x\\\"":0.5274,\\\""y\\\"":0.2061,\\\""t\\\"":1750},{\\\""x\\\"":0.5272,\\\""y\\\"":0.2027,\\\""t\\\"":2127},{\\\""x\\\"":0.5279,\\\""y\\\"":0.1907,\\\""t\\\"":2217},{\\\""x\\\"":0.5283,\\\""y\\\"":0.1861,\\\""t\\\"":2325},{\\\""x\\\"":0.5285,\\\""y\\\"":0.1839,\\\""t\\\"":2437},{\\\""x\\\"":0.5292,\\\""y\\\"":0.1818,\\\""t\\\"":2536},{\\\""x\\\"":0.5301,\\\""y\\\"":0.1788,\\\""t\\\"":2633},{\\\""x\\\"":0.5313,\\\""y\\\"":0.1763,\\\""t\\\"":2717},{\\\""x\\\"":0.5326,\\\""y\\\"":0.1729,\\\""t\\\"":2866}]\""""",1,1
6,2/12/2026 18:3.44.235,120,online_fb,0,119.8238,566,4067,2199,too_slow,"""\""[{\\\""x\\\"":0.498,\\\""y\\\"":0.465,\\\""t\\\"":0},{\\\""x\\\"":0.4858,\\\""y\\\"":0.4369,\\\""t\\\"":367},{\\\""x\\\"":0.4709,\\\""y\\\"":0.3936,\\\""t\\\"":667},{\\\""x\\\"":0.4397,\\\""y\\\"":0.3157,\\\""t\\\"":767},{\\\""x\\\"":0.4342,\\\""y\\\"":0.2919,\\\""t\\\"":1117},{\\\""x\\\"":0.4318,\\\""y\\\"":0.271,\\\""t\\\"":1234},{\\\""x\\\"":0.4297,\\\""y\\\"":0.263,\\\""t\\\"":1334},{\\\""x\\\"":0.4277,\\\""y\\\"":0.2566,\\\""t\\\"":1451},{\\\""x\\\"":0.4261,\\\""y\\\"":0.2527,\\\""t\\\"":1550},{\\\""x\\\"":0.425,\\\""y\\\"":0.2485,\\\""t\\\"":1700},{\\\""x\\\"":0.4241,\\\""y\\\"":0.2442,\\\""t\\\"":1801},{\\\""x\\\"":0.4216,\\\""y\\\"":0.2319,\\\""t\\\"":2217},{\\\""x\\\"":0.4189,\\\""y\\\"":0.2196,\\\""t\\\"":2317},{\\\""x\\\"":0.4184,\\\""y\\\"":0.2153,\\\""t\\\"":2438},{\\\""x\\\"":0.4178,\\\""y\\\"":0.214,\\\""t\\\"":2634},{\\\""x\\\"":0.4166,\\\""y\\\"":0.214,\\\""t\\\"":2817},{\\\""x\\\"":0.4153,\\\""y\\\"":0.214,\\\""t\\\"":2984},{\\\""x\\\"":0.4144,\\\""y\\\"":0.2123,\\\""t\\\"":3191},{\\\""x\\\"":0.4132,\\\""y\\\"":0.2119,\\\""t\\\"":3937},{\\\""x\\\"":0.4119,\\\""y\\\"":0.2111,\\\""t\\\"":4051}]\""""",1,1
7,2/12/2026 18:3.57.813,120,online_fb,0,120.0395,850,9443,2282,too_slow|rt_too_slow,"""\""[{\\\""x\\\"":0.5008,\\\""y\\\"":0.4592,\\\""t\\\"":0},{\\\""x\\\"":0.454,\\\""y\\\"":0.3405,\\\""t\\\"":703},{\\\""x\\\"":0.4375,\\\""y\\\"":0.2793,\\\""t\\\"":967},{\\\""x\\\"":0.4314,\\\""y\\\"":0.2674,\\\""t\\\"":1233},{\\\""x\\\"":0.4276,\\\""y\\\"":0.2478,\\\""t\\\"":1500},{\\\""x\\\"":0.4212,\\\""y\\\"":0.2231,\\\""t\\\"":2083},{\\\""x\\\"":0.4187,\\\""y\\\"":0.2197,\\\""t\\\"":2400},{\\\""x\\\"":0.4147,\\\""y\\\"":0.2193,\\\""t\\\"":2733},{\\\""x\\\"":0.4133,\\\""y\\\"":0.2138,\\\""t\\\"":3195},{\\\""x\\\"":0.4219,\\\""y\\\"":0.2282,\\\""t\\\"":4350},{\\\""x\\\"":0.4447,\\\""y\\\"":0.2712,\\\""t\\\"":5167},{\\\""x\\\"":0.4651,\\\""y\\\"":0.335,\\\""t\\\"":5917},{\\\""x\\\"":0.4816,\\\""y\\\"":0.3992,\\\""t\\\"":6700},{\\\""x\\\"":0.4879,\\\""y\\\"":0.429,\\\""t\\\"":7000},{\\\""x\\\"":0.4947,\\\""y\\\"":0.4588,\\\""t\\\"":7267},{\\\""x\\\"":0.4438,\\\""y\\\"":0.3329,\\\""t\\\"":7651},{\\\""x\\\"":0.4149,\\\""y\\\"":0.2516,\\\""t\\\"":8437},{\\\""x\\\"":0.4122,\\\""y\\\"":0.2248,\\\""t\\\"":8701},{\\\""x\\\"":0.4095,\\\""y\\\"":0.218,\\\""t\\\"":8984},{\\\""x\\\"":0.4113,\\\""y\\\"":0.2116,\\\""t\\\"":9429}]\""""",1,1
8,2/12/2026 18:4.4.696,40,online_fb,0,40.2985,381,2700,2789,too_slow,"""\""[{\\\""x\\\"":0.5251,\\\""y\\\"":0.4677,\\\""t\\\"":1},{\\\""x\\\"":0.6338,\\\""y\\\"":0.2823,\\\""t\\\"":67},{\\\""x\\\"":0.6309,\\\""y\\\"":0.2891,\\\""t\\\"":1050},{\\\""x\\\"":0.6284,\\\""y\\\"":0.2959,\\\""t\\\"":1151},{\\\""x\\\"":0.628,\\\""y\\\"":0.2976,\\\""t\\\"":1272},{\\\""x\\\"":0.627,\\\""y\\\"":0.3001,\\\""t\\\"":1367},{\\\""x\\\"":0.6241,\\\""y\\\"":0.3078,\\\""t\\\"":1451},{\\\""x\\\"":0.6214,\\\""y\\\"":0.3184,\\\""t\\\"":1551},{\\\""x\\\"":0.6191,\\\""y\\\"":0.3278,\\\""t\\\"":1634},{\\\""x\\\"":0.6173,\\\""y\\\"":0.3355,\\\""t\\\"":1734},{\\\""x\\\"":0.6167,\\\""y\\\"":0.3401,\\\""t\\\"":1856},{\\\""x\\\"":0.618,\\\""y\\\"":0.3363,\\\""t\\\"":1951},{\\\""x\\\"":0.6189,\\\""y\\\"":0.3316,\\\""t\\\"":2034},{\\\""x\\\"":0.6198,\\\""y\\\"":0.3257,\\\""t\\\"":2134},{\\\""x\\\"":0.6209,\\\""y\\\"":0.3193,\\\""t\\\"":2218},{\\\""x\\\"":0.6219,\\\""y\\\"":0.3142,\\\""t\\\"":2318},{\\\""x\\\"":0.6241,\\\""y\\\"":0.3078,\\\""t\\\"":2401},{\\\""x\\\"":0.6264,\\\""y\\\"":0.301,\\\""t\\\"":2501},{\\\""x\\\"":0.6295,\\\""y\\\"":0.2942,\\\""t\\\"":2584},{\\\""x\\\"":0.635,\\\""y\\\"":0.2844,\\\""t\\\"":2684}]\""""",1,1
9,2/12/2026 18:4.9.752,80,online_fb,0,82.6761,432,1534,2089,too_slow,"""\""[{\\\""x\\\"":0.5236,\\\""y\\\"":0.4281,\\\""t\\\"":0},{\\\""x\\\"":0.5327,\\\""y\\\"":0.3932,\\\""t\\\"":17},{\\\""x\\\"":0.5478,\\\""y\\\"":0.346,\\\""t\\\"":51},{\\\""x\\\"":0.5453,\\\""y\\\"":0.346,\\\""t\\\"":284},{\\\""x\\\"":0.5406,\\\""y\\\"":0.3447,\\\""t\\\"":317},{\\\""x\\\"":0.5376,\\\""y\\\"":0.3426,\\\""t\\\"":350},{\\\""x\\\"":0.5347,\\\""y\\\"":0.3243,\\\""t\\\"":450},{\\\""x\\\"":0.5329,\\\""y\\\"":0.2937,\\\""t\\\"":484},{\\\""x\\\"":0.5338,\\\""y\\\"":0.2698,\\\""t\\\"":500},{\\\""x\\\"":0.5351,\\\""y\\\"":0.263,\\\""t\\\"":533},{\\\""x\\\"":0.5356,\\\""y\\\"":0.2613,\\\""t\\\"":706},{\\\""x\\\"":0.5351,\\\""y\\\"":0.2605,\\\""t\\\"":734},{\\\""x\\\"":0.5345,\\\""y\\\"":0.2596,\\\""t\\\"":767},{\\\""x\\\"":0.5329,\\\""y\\\"":0.2409,\\\""t\\\"":884},{\\\""x\\\"":0.5281,\\\""y\\\"":0.1984,\\\""t\\\"":917},{\\\""x\\\"":0.5227,\\\""y\\\"":0.178,\\\""t\\\"":950},{\\\""x\\\"":0.5202,\\\""y\\\"":0.1741,\\\""t\\\"":984},{\\\""x\\\"":0.5189,\\\""y\\\"":0.1724,\\\""t\\\"":1017},{\\\""x\\\"":0.5193,\\\""y\\\"":0.1711,\\\""t\\\"":1498},{\\\""x\\\"":0.5209,\\\""y\\\"":0.1694,\\\""t\\\"":1518}]\""""",1,1
10,2/12/2026 18:4.15.175,40,online_fb,0,40.3513,483,1750,2183,too_slow,"""\""[{\\\""x\\\"":0.528,\\\""y\\\"":0.475,\\\""t\\\"":0},{\\\""x\\\"":0.565,\\\""y\\\"":0.4006,\\\""t\\\"":33},{\\\""x\\\"":0.5863,\\\""y\\\"":0.361,\\\""t\\\"":334},{\\\""x\\\"":0.6005,\\\""y\\\"":0.3274,\\\""t\\\"":384},{\\\""x\\\"":0.6139,\\\""y\\\"":0.3061,\\\""t\\\"":450},{\\\""x\\\"":0.6161,\\\""y\\\"":0.3015,\\\""t\\\"":933},{\\\""x\\\"":0.6188,\\\""y\\\"":0.2968,\\\""t\\\"":1000},{\\\""x\\\"":0.6193,\\\""y\\\"":0.2959,\\\""t\\\"":1053},{\\\""x\\\"":0.6211,\\\""y\\\"":0.2942,\\\""t\\\"":1116},{\\\""x\\\"":0.6218,\\\""y\\\"":0.2929,\\\""t\\\"":1166},{\\\""x\\\"":0.6224,\\\""y\\\"":0.2917,\\\""t\\\"":1234},{\\\""x\\\"":0.6238,\\\""y\\\"":0.2895,\\\""t\\\"":1283},{\\\""x\\\"":0.6256,\\\""y\\\"":0.2883,\\\""t\\\"":1350},{\\\""x\\\"":0.6272,\\\""y\\\"":0.2878,\\\""t\\\"":1400},{\\\""x\\\"":0.6283,\\\""y\\\"":0.2878,\\\""t\\\"":1466},{\\\""x\\\"":0.629,\\\""y\\\"":0.2878,\\\""t\\\"":1517},{\\\""x\\\"":0.6308,\\\""y\\\"":0.2866,\\\""t\\\"":1583},{\\\""x\\\"":0.6315,\\\""y\\\"":0.2857,\\\""t\\\"":1616},{\\\""x\\\"":0.6335,\\\""y\\\"":0.2844,\\\""t\\\"":1683},{\\\""x\\\"":0.6349,\\\""y\\\"":0.284,\\\""t\\\"":1733}]\""""",1,1
