trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,1/12/2026 3:56.59.871,90,online_fb,0,87.776,449,116,1129,good_reach,"""\""[{\\\""x\\\"":0.4973,\\\""y\\\"":0.3593,\\\""t\\\"":18},{\\\""x\\\"":0.4991,\\\""y\\\"":0.3059,\\\""t\\\"":33},{\\\""x\\\"":0.5027,\\\""y\\\"":0.2622,\\\""t\\\"":49},{\\\""x\\\"":0.5055,\\\""y\\\"":0.2186,\\\""t\\\"":66},{\\\""x\\\"":0.5073,\\\""y\\\"":0.1927,\\\""t\\\"":82},{\\\""x\\\"":0.5073,\\\""y\\\"":0.1797,\\\""t\\\"":99}]\""""",1,1
2,1/12/2026 3:57.3.336,90,online_fb,0,89.2419,399,399,1964,good_reach,"""\""[{\\\""x\\\"":0.489,\\\""y\\\"":0.4716,\\\""t\\\"":0},{\\\""x\\\"":0.4899,\\\""y\\\"":0.4522,\\\""t\\\"":16},{\\\""x\\\"":0.4908,\\\""y\\\"":0.4296,\\\""t\\\"":34},{\\\""x\\\"":0.4936,\\\""y\\\"":0.4037,\\\""t\\\"":50},{\\\""x\\\"":0.4936,\\\""y\\\"":0.339,\\\""t\\\"":318},{\\\""x\\\"":0.4945,\\\""y\\\"":0.2888,\\\""t\\\"":333},{\\\""x\\\"":0.4972,\\\""y\\\"":0.2387,\\\""t\\\"":351},{\\\""x\\\"":0.4999,\\\""y\\\"":0.1966,\\\""t\\\"":367},{\\\""x\\\"":0.5017,\\\""y\\\"":0.1691,\\\""t\\\"":384}]\""""",1,1
3,1/12/2026 3:57.5.670,90,online_fb,0,93.0623,548,150,933,good_reach,"""\""[{\\\""x\\\"":0.4972,\\\""y\\\"":0.4677,\\\""t\\\"":0},{\\\""x\\\"":0.4972,\\\""y\\\"":0.4435,\\\""t\\\"":17},{\\\""x\\\"":0.4972,\\\""y\\\"":0.4143,\\\""t\\\"":34},{\\\""x\\\"":0.4972,\\\""y\\\"":0.3464,\\\""t\\\"":51},{\\\""x\\\"":0.4972,\\\""y\\\"":0.2963,\\\""t\\\"":68},{\\\""x\\\"":0.4953,\\\""y\\\"":0.2542,\\\""t\\\"":84},{\\\""x\\\"":0.4944,\\\""y\\\"":0.2154,\\\""t\\\"":100},{\\\""x\\\"":0.4935,\\\""y\\\"":0.1895,\\\""t\\\"":118},{\\\""x\\\"":0.4917,\\\""y\\\"":0.1749,\\\""t\\\"":134}]\""""",1,1
4,1/12/2026 3:57.9.622,90,online_fb,0,91.3079,66,2549,134,too_slow,"""\""[{\\\""x\\\"":0.4964,\\\""y\\\"":0.4612,\\\""t\\\"":0},{\\\""x\\\"":0.4945,\\\""y\\\"":0.4175,\\\""t\\\"":66},{\\\""x\\\"":0.4936,\\\""y\\\"":0.411,\\\""t\\\"":221},{\\\""x\\\"":0.4936,\\\""y\\\"":0.4127,\\\""t\\\"":283},{\\\""x\\\"":0.4936,\\\""y\\\"":0.424,\\\""t\\\"":366},{\\\""x\\\"":0.4936,\\\""y\\\"":0.4304,\\\""t\\\"":433},{\\\""x\\\"":0.4936,\\\""y\\\"":0.4337,\\\""t\\\"":633},{\\\""x\\\"":0.4936,\\\""y\\\"":0.4612,\\\""t\\\"":700},{\\\""x\\\"":0.4936,\\\""y\\\"":0.4854,\\\""t\\\"":784},{\\\""x\\\"":0.4945,\\\""y\\\"":0.4887,\\\""t\\\"":1030},{\\\""x\\\"":0.4973,\\\""y\\\"":0.4951,\\\""t\\\"":1117},{\\\""x\\\"":0.5018,\\\""y\\\"":0.5049,\\\""t\\\"":1182},{\\\""x\\\"":0.5036,\\\""y\\\"":0.5097,\\\""t\\\"":1391},{\\\""x\\\"":0.5036,\\\""y\\\"":0.5065,\\\""t\\\"":1450},{\\\""x\\\"":0.5027,\\\""y\\\"":0.5016,\\\""t\\\"":1533},{\\\""x\\\"":0.5018,\\\""y\\\"":0.5,\\\""t\\\"":1600},{\\\""x\\\"":0.5009,\\\""y\\\"":0.5,\\\""t\\\"":2188},{\\\""x\\\"":0.4991,\\\""y\\\"":0.5,\\\""t\\\"":2250},{\\\""x\\\"":0.4982,\\\""y\\\"":0.4968,\\\""t\\\"":2467},{\\\""x\\\"":0.4955,\\\""y\\\"":0.1927,\\\""t\\\"":2533}]\""""",1,1
5,1/12/2026 3:57.15.305,90,online_fb,0,90.3419,452,3531,698,too_slow,"""\""[{\\\""x\\\"":0.4988,\\\""y\\\"":0.4547,\\\""t\\\"":0},{\\\""x\\\"":0.5143,\\\""y\\\"":0.1959,\\\""t\\\"":130},{\\\""x\\\"":0.5125,\\\""y\\\"":0.1797,\\\""t\\\"":256},{\\\""x\\\"":0.5098,\\\""y\\\"":0.1765,\\\""t\\\"":380},{\\\""x\\\"":0.507,\\\""y\\\"":0.1748,\\\""t\\\"":814},{\\\""x\\\"":0.5052,\\\""y\\\"":0.1732,\\\""t\\\"":1264},{\\\""x\\\"":0.5007,\\\""y\\\"":0.3884,\\\""t\\\"":1380},{\\\""x\\\"":0.4988,\\\""y\\\"":0.5081,\\\""t\\\"":1513},{\\\""x\\\"":0.4952,\\\""y\\\"":0.5533,\\\""t\\\"":1646},{\\\""x\\\"":0.4952,\\\""y\\\"":0.5501,\\\""t\\\"":1814},{\\\""x\\\"":0.4952,\\\""y\\\"":0.5226,\\\""t\\\"":1929},{\\\""x\\\"":0.4952,\\\""y\\\"":0.5097,\\\""t\\\"":2064},{\\\""x\\\"":0.4961,\\\""y\\\"":0.5016,\\\""t\\\"":2197},{\\\""x\\\"":0.4961,\\\""y\\\"":0.4935,\\\""t\\\"":2330},{\\\""x\\\"":0.497,\\\""y\\\"":0.4919,\\\""t\\\"":2547},{\\\""x\\\"":0.5061,\\\""y\\\"":0.5,\\\""t\\\"":2680},{\\\""x\\\"":0.5052,\\\""y\\\"":0.5,\\\""t\\\"":2930},{\\\""x\\\"":0.5034,\\\""y\\\"":0.5,\\\""t\\\"":3064},{\\\""x\\\"":0.4988,\\\""y\\\"":0.5,\\\""t\\\"":3188},{\\\""x\\\"":0.4988,\\\""y\\\"":0.1829,\\\""t\\\"":3514}]\""""",1,1
6,1/12/2026 3:57.22.504,90,online_fb,0,88.1297,466,5033,698,too_slow,"""\""[{\\\""x\\\"":0.4916,\\\""y\\\"":0.458,\\\""t\\\"":0},{\\\""x\\\"":0.4898,\\\""y\\\"":0.2203,\\\""t\\\"":167},{\\\""x\\\"":0.488,\\\""y\\\"":0.1992,\\\""t\\\"":333},{\\\""x\\\"":0.488,\\\""y\\\"":0.1831,\\\""t\\\"":1085},{\\\""x\\\"":0.488,\\\""y\\\"":0.196,\\\""t\\\"":1349},{\\\""x\\\"":0.488,\\\""y\\\"":0.4079,\\\""t\\\"":1533},{\\\""x\\\"":0.4943,\\\""y\\\"":0.4872,\\\""t\\\"":1700},{\\\""x\\\"":0.498,\\\""y\\\"":0.5163,\\\""t\\\"":1900},{\\\""x\\\"":0.498,\\\""y\\\"":0.5098,\\\""t\\\"":2200},{\\\""x\\\"":0.4998,\\\""y\\\"":0.4904,\\\""t\\\"":2683},{\\\""x\\\"":0.4998,\\\""y\\\"":0.5227,\\\""t\\\"":2850},{\\\""x\\\"":0.5061,\\\""y\\\"":0.6635,\\\""t\\\"":3016},{\\\""x\\\"":0.5061,\\\""y\\\"":0.5195,\\\""t\\\"":3216},{\\\""x\\\"":0.5052,\\\""y\\\"":0.4791,\\\""t\\\"":3383},{\\\""x\\\"":0.5016,\\\""y\\\"":0.4791,\\\""t\\\"":3583},{\\\""x\\\"":0.5016,\\\""y\\\"":0.4872,\\\""t\\\"":3767},{\\\""x\\\"":0.5007,\\\""y\\\"":0.4936,\\\""t\\\"":3933},{\\\""x\\\"":0.5007,\\\""y\\\"":0.5033,\\\""t\\\"":4400},{\\\""x\\\"":0.5052,\\\""y\\\"":0.2187,\\\""t\\\"":4850},{\\\""x\\\"":0.5061,\\\""y\\\"":0.1669,\\\""t\\\"":5016}]\""""",1,1
7,1/12/2026 3:57.31.689,90,online_fb,0,85.4889,483,6851,848,too_slow,"""\""[{\\\""x\\\"":0.4975,\\\""y\\\"":0.4497,\\\""t\\\"":0},{\\\""x\\\"":0.493,\\\""y\\\"":0.1796,\\\""t\\\"":218},{\\\""x\\\"":0.493,\\\""y\\\"":0.1683,\\\""t\\\"":439},{\\\""x\\\"":0.493,\\\""y\\\"":0.2928,\\\""t\\\"":1935},{\\\""x\\\"":0.493,\\\""y\\\"":0.4982,\\\""t\\\"":2133},{\\\""x\\\"":0.4948,\\\""y\\\"":0.5354,\\\""t\\\"":2400},{\\\""x\\\"":0.4993,\\\""y\\\"":0.5096,\\\""t\\\"":2617},{\\\""x\\\"":0.5002,\\\""y\\\"":0.4869,\\\""t\\\"":2834},{\\\""x\\\"":0.4993,\\\""y\\\"":0.5532,\\\""t\\\"":3334},{\\\""x\\\"":0.4975,\\\""y\\\"":0.6244,\\\""t\\\"":3667},{\\\""x\\\"":0.493,\\\""y\\\"":0.5015,\\\""t\\\"":3867},{\\\""x\\\"":0.4984,\\\""y\\\"":0.4918,\\\""t\\\"":4117},{\\\""x\\\"":0.5021,\\\""y\\\"":0.4982,\\\""t\\\"":4334},{\\\""x\\\"":0.5021,\\\""y\\\"":0.5047,\\\""t\\\"":4584},{\\\""x\\\"":0.5011,\\\""y\\\"":0.5015,\\\""t\\\"":5747},{\\\""x\\\"":0.5002,\\\""y\\\"":0.4335,\\\""t\\\"":5984},{\\\""x\\\"":0.4984,\\\""y\\\"":0.5144,\\\""t\\\"":6184},{\\\""x\\\"":0.472,\\\""y\\\"":0.5549,\\\""t\\\"":6400},{\\\""x\\\"":0.5021,\\\""y\\\"":0.495,\\\""t\\\"":6617},{\\\""x\\\"":0.5148,\\\""y\\\"":0.1764,\\\""t\\\"":6835}]\""""",1,1
8,1/12/2026 3:57.34.323,90,online_fb,0,91.1017,481,333,652,good_reach,"""\""[{\\\""x\\\"":0.4955,\\\""y\\\"":0.4531,\\\""t\\\"":0},{\\\""x\\\"":0.4955,\\\""y\\\"":0.3884,\\\""t\\\"":16},{\\\""x\\\"":0.4955,\\\""y\\\"":0.3366,\\\""t\\\"":33},{\\\""x\\\"":0.4955,\\\""y\\\"":0.2541,\\\""t\\\"":50},{\\\""x\\\"":0.4955,\\\""y\\\"":0.2283,\\\""t\\\"":65},{\\\""x\\\"":0.4973,\\\""y\\\"":0.2072,\\\""t\\\"":82},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1991,\\\""t\\\"":100},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1943,\\\""t\\\"":117},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1927,\\\""t\\\"":133},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1911,\\\""t\\\"":149},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1911,\\\""t\\\"":166},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1894,\\\""t\\\"":183},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1878,\\\""t\\\"":200},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1846,\\\""t\\\"":216},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1814,\\\""t\\\"":233},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1781,\\\""t\\\"":249},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1733,\\\""t\\\"":267},{\\\""x\\\"":0.4973,\\\""y\\\"":0.1716,\\\""t\\\"":283},{\\\""x\\\"":0.4964,\\\""y\\\"":0.1684,\\\""t\\\"":301},{\\\""x\\\"":0.4964,\\\""y\\\"":0.1668,\\\""t\\\"":316}]\""""",1,1
9,1/12/2026 3:57.38.141,90,online_fb,0,91.377,48,2369,135,too_slow,"""\""[{\\\""x\\\"":0.49,\\\""y\\\"":0.466,\\\""t\\\"":1},{\\\""x\\\"":0.4809,\\\""y\\\"":0.3981,\\\""t\\\"":102},{\\\""x\\\"":0.4809,\\\""y\\\"":0.4062,\\\""t\\\"":235},{\\\""x\\\"":0.4818,\\\""y\\\"":0.424,\\\""t\\\"":335},{\\\""x\\\"":0.4827,\\\""y\\\"":0.4337,\\\""t\\\"":434},{\\\""x\\\"":0.4864,\\\""y\\\"":0.4579,\\\""t\\\"":535},{\\\""x\\\"":0.4918,\\\""y\\\"":0.4806,\\\""t\\\"":634},{\\\""x\\\"":0.4945,\\\""y\\\"":0.4887,\\\""t\\\"":738},{\\\""x\\\"":0.4964,\\\""y\\\"":0.4951,\\\""t\\\"":868},{\\\""x\\\"":0.4991,\\\""y\\\"":0.5178,\\\""t\\\"":967},{\\\""x\\\"":0.5,\\\""y\\\"":0.5178,\\\""t\\\"":1134},{\\\""x\\\"":0.5,\\\""y\\\"":0.5146,\\\""t\\\"":1234},{\\\""x\\\"":0.5,\\\""y\\\"":0.5097,\\\""t\\\"":1335},{\\\""x\\\"":0.5,\\\""y\\\"":0.5065,\\\""t\\\"":1434},{\\\""x\\\"":0.5,\\\""y\\\"":0.5032,\\\""t\\\"":1536},{\\\""x\\\"":0.4991,\\\""y\\\"":0.5,\\\""t\\\"":1668},{\\\""x\\\"":0.4991,\\\""y\\\"":0.4596,\\\""t\\\"":2051},{\\\""x\\\"":0.4955,\\\""y\\\"":0.2655,\\\""t\\\"":2151},{\\\""x\\\"":0.4955,\\\""y\\\"":0.2024,\\\""t\\\"":2252},{\\\""x\\\"":0.4955,\\\""y\\\"":0.17,\\\""t\\\"":2352}]\""""",1,1
10,1/12/2026 3:57.40.461,90,online_fb,0,90.1304,466,467,680,good_reach,"""\""[{\\\""x\\\"":0.4968,\\\""y\\\"":0.4574,\\\""t\\\"":0},{\\\""x\\\"":0.4968,\\\""y\\\"":0.4363,\\\""t\\\"":17},{\\\""x\\\"":0.4987,\\\""y\\\"":0.3458,\\\""t\\\"":50},{\\\""x\\\"":0.4996,\\\""y\\\"":0.315,\\\""t\\\"":68},{\\\""x\\\"":0.5014,\\\""y\\\"":0.2697,\\\""t\\\"":101},{\\\""x\\\"":0.5014,\\\""y\\\"":0.2536,\\\""t\\\"":117},{\\\""x\\\"":0.5014,\\\""y\\\"":0.2293,\\\""t\\\"":151},{\\\""x\\\"":0.5014,\\\""y\\\"":0.2228,\\\""t\\\"":168},{\\\""x\\\"":0.5014,\\\""y\\\"":0.2115,\\\""t\\\"":184},{\\\""x\\\"":0.5014,\\\""y\\\"":0.2067,\\\""t\\\"":217},{\\\""x\\\"":0.5014,\\\""y\\\"":0.2067,\\\""t\\\"":234},{\\\""x\\\"":0.5014,\\\""y\\\"":0.205,\\\""t\\\"":267},{\\\""x\\\"":0.5014,\\\""y\\\"":0.205,\\\""t\\\"":283},{\\\""x\\\"":0.5014,\\\""y\\\"":0.2034,\\\""t\\\"":300},{\\\""x\\\"":0.5005,\\\""y\\\"":0.197,\\\""t\\\"":333},{\\\""x\\\"":0.5005,\\\""y\\\"":0.1921,\\\""t\\\"":350},{\\\""x\\\"":0.4996,\\\""y\\\"":0.1808,\\\""t\\\"":384},{\\\""x\\\"":0.4996,\\\""y\\\"":0.1775,\\\""t\\\"":401},{\\\""x\\\"":0.4996,\\\""y\\\"":0.1727,\\\""t\\\"":434},{\\\""x\\\"":0.4996,\\\""y\\\"":0.1695,\\\""t\\\"":451}]\""""",1,1
