trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,2/12/2026 15:24.25.618,40,online_fb,0,39.0939,433,451,1715,good_reach,"""\""[{\\\""x\\\"":0.5369,\\\""y\\\"":0.4139,\\\""t\\\"":18},{\\\""x\\\"":0.5477,\\\""y\\\"":0.3953,\\\""t\\\"":34},{\\\""x\\\"":0.5586,\\\""y\\\"":0.3801,\\\""t\\\"":50},{\\\""x\\\"":0.5796,\\\""y\\\"":0.3569,\\\""t\\\"":76},{\\\""x\\\"":0.5929,\\\""y\\\"":0.3417,\\\""t\\\"":117},{\\\""x\\\"":0.6044,\\\""y\\\"":0.3289,\\\""t\\\"":150},{\\\""x\\\"":0.6184,\\\""y\\\"":0.3161,\\\""t\\\"":167},{\\\""x\\\"":0.619,\\\""y\\\"":0.3161,\\\""t\\\"":184},{\\\""x\\\"":0.619,\\\""y\\\"":0.3161,\\\""t\\\"":200},{\\\""x\\\"":0.619,\\\""y\\\"":0.3138,\\\""t\\\"":217},{\\\""x\\\"":0.6197,\\\""y\\\"":0.3115,\\\""t\\\"":234},{\\\""x\\\"":0.6197,\\\""y\\\"":0.3091,\\\""t\\\"":251},{\\\""x\\\"":0.6197,\\\""y\\\"":0.308,\\\""t\\\"":267},{\\\""x\\\"":0.6203,\\\""y\\\"":0.3068,\\\""t\\\"":284},{\\\""x\\\"":0.6203,\\\""y\\\"":0.3068,\\\""t\\\"":300},{\\\""x\\\"":0.6209,\\\""y\\\"":0.3068,\\\""t\\\"":334},{\\\""x\\\"":0.6247,\\\""y\\\"":0.3056,\\\""t\\\"":350},{\\\""x\\\"":0.6292,\\\""y\\\"":0.3033,\\\""t\\\"":367},{\\\""x\\\"":0.6394,\\\""y\\\"":0.294,\\\""t\\\"":392},{\\\""x\\\"":0.6407,\\\""y\\\"":0.2928,\\\""t\\\"":409}]\""""",1,1
2,2/12/2026 15:24.29.483,80,online_fb,0,80.0702,41,775,2047,too_slow|rt_too_fast,"""\""[{\\\""x\\\"":0.4862,\\\""y\\\"":0.5212,\\\""t\\\"":0},{\\\""x\\\"":0.4862,\\\""y\\\"":0.5212,\\\""t\\\"":351},{\\\""x\\\"":0.4862,\\\""y\\\"":0.5154,\\\""t\\\"":367},{\\\""x\\\"":0.4881,\\\""y\\\"":0.4863,\\\""t\\\"":383},{\\\""x\\\"":0.4913,\\\""y\\\"":0.4584,\\\""t\\\"":400},{\\\""x\\\"":0.4945,\\\""y\\\"":0.4304,\\\""t\\\"":417},{\\\""x\\\"":0.4977,\\\""y\\\"":0.4048,\\\""t\\\"":458},{\\\""x\\\"":0.4996,\\\""y\\\"":0.3955,\\\""t\\\"":475},{\\\""x\\\"":0.5034,\\\""y\\\"":0.3618,\\\""t\\\"":492},{\\\""x\\\"":0.5053,\\\""y\\\"":0.342,\\\""t\\\"":508},{\\\""x\\\"":0.5066,\\\""y\\\"":0.3257,\\\""t\\\"":525},{\\\""x\\\"":0.5072,\\\""y\\\"":0.3199,\\\""t\\\"":542},{\\\""x\\\"":0.5092,\\\""y\\\"":0.3071,\\\""t\\\"":567},{\\\""x\\\"":0.5136,\\\""y\\\"":0.2873,\\\""t\\\"":608},{\\\""x\\\"":0.5181,\\\""y\\\"":0.264,\\\""t\\\"":634},{\\\""x\\\"":0.5206,\\\""y\\\"":0.2489,\\\""t\\\"":675},{\\\""x\\\"":0.5251,\\\""y\\\"":0.2245,\\\""t\\\"":700},{\\\""x\\\"":0.5282,\\\""y\\\"":0.2035,\\\""t\\\"":717},{\\\""x\\\"":0.5308,\\\""y\\\"":0.1826,\\\""t\\\"":758}]\""""",1,1
3,2/12/2026 15:24.31.108,120,online_fb,0,127.0478,148,425,160,good_reach,"""\""[{\\\""x\\\"":0.4936,\\\""y\\\"":0.4616,\\\""t\\\"":0},{\\\""x\\\"":0.4892,\\\""y\\\"":0.4383,\\\""t\\\"":17},{\\\""x\\\"":0.4866,\\\""y\\\"":0.4081,\\\""t\\\"":33},{\\\""x\\\"":0.4866,\\\""y\\\"":0.3848,\\\""t\\\"":50},{\\\""x\\\"":0.4866,\\\""y\\\"":0.3801,\\\""t\\\"":67},{\\\""x\\\"":0.4866,\\\""y\\\"":0.3801,\\\""t\\\"":117},{\\\""x\\\"":0.4866,\\\""y\\\"":0.3848,\\\""t\\\"":133},{\\\""x\\\"":0.4866,\\\""y\\\"":0.3906,\\\""t\\\"":150},{\\\""x\\\"":0.4866,\\\""y\\\"":0.3953,\\\""t\\\"":167},{\\\""x\\\"":0.4866,\\\""y\\\"":0.3964,\\\""t\\\"":183},{\\\""x\\\"":0.4866,\\\""y\\\"":0.3964,\\\""t\\\"":208},{\\\""x\\\"":0.4866,\\\""y\\\"":0.3964,\\\""t\\\"":250},{\\\""x\\\"":0.4841,\\\""y\\\"":0.3953,\\\""t\\\"":267},{\\\""x\\\"":0.479,\\\""y\\\"":0.3871,\\\""t\\\"":283},{\\\""x\\\"":0.4714,\\\""y\\\"":0.3603,\\\""t\\\"":300},{\\\""x\\\"":0.4688,\\\""y\\\"":0.351,\\\""t\\\"":325},{\\\""x\\\"":0.4637,\\\""y\\\"":0.3417,\\\""t\\\"":342},{\\\""x\\\"":0.4554,\\\""y\\\"":0.3336,\\\""t\\\"":359},{\\\""x\\\"":0.402,\\\""y\\\"":0.2637,\\\""t\\\"":400}]\""""",1,1
4,2/12/2026 15:24.34.151,40,online_fb,0,44.8592,441,217,1376,good_reach,"""\""[{\\\""x\\\"":0.521,\\\""y\\\"":0.4313,\\\""t\\\"":0},{\\\""x\\\"":0.5407,\\\""y\\\"":0.3929,\\\""t\\\"":17},{\\\""x\\\"":0.556,\\\""y\\\"":0.365,\\\""t\\\"":42},{\\\""x\\\"":0.5891,\\\""y\\\"":0.3103,\\\""t\\\"":58},{\\\""x\\\"":0.5936,\\\""y\\\"":0.3045,\\\""t\\\"":75},{\\\""x\\\"":0.6209,\\\""y\\\"":0.2754,\\\""t\\\"":117},{\\\""x\\\"":0.6247,\\\""y\\\"":0.2742,\\\""t\\\"":142},{\\\""x\\\"":0.6247,\\\""y\\\"":0.2742,\\\""t\\\"":158},{\\\""x\\\"":0.6254,\\\""y\\\"":0.2731,\\\""t\\\"":200}]\""""",1,1
5,2/12/2026 15:24.36.517,80,online_fb,0,82.4867,534,141,989,good_reach,"""\""[{\\\""x\\\"":0.4989,\\\""y\\\"":0.4632,\\\""t\\\"":0},{\\\""x\\\"":0.5028,\\\""y\\\"":0.3934,\\\""t\\\"":17},{\\\""x\\\"":0.5225,\\\""y\\\"":0.2782,\\\""t\\\"":33},{\\\""x\\\"":0.5314,\\\""y\\\"":0.1944,\\\""t\\\"":50},{\\\""x\\\"":0.5288,\\\""y\\\"":0.1862,\\\""t\\\"":67},{\\\""x\\\"":0.5276,\\\""y\\\"":0.1839,\\\""t\\\"":83},{\\\""x\\\"":0.525,\\\""y\\\"":0.1734,\\\""t\\\"":100}]\""""",1,1
6,2/12/2026 15:24.39.342,120,online_fb,0,129.9292,431,151,1541,good_reach,"""\""[{\\\""x\\\"":0.454,\\\""y\\\"":0.4241,\\\""t\\\"":0},{\\\""x\\\"":0.4291,\\\""y\\\"":0.3775,\\\""t\\\"":42},{\\\""x\\\"":0.3986,\\\""y\\\"":0.3182,\\\""t\\\"":59},{\\\""x\\\"":0.3878,\\\""y\\\"":0.2914,\\\""t\\\"":84},{\\\""x\\\"":0.3827,\\\""y\\\"":0.2646,\\\""t\\\"":100},{\\\""x\\\"":0.3827,\\\""y\\\"":0.253,\\\""t\\\"":117},{\\\""x\\\"":0.3827,\\\""y\\\"":0.2472,\\\""t\\\"":134}]\""""",1,1
7,2/12/2026 15:24.43.717,120,online_fb,0,116.9139,98,2900,135,too_slow,"""\""[{\\\""x\\\"":0.4879,\\\""y\\\"":0.4732,\\\""t\\\"":0},{\\\""x\\\"":0.4765,\\\""y\\\"":0.443,\\\""t\\\"":84},{\\\""x\\\"":0.4777,\\\""y\\\"":0.4476,\\\""t\\\"":200},{\\\""x\\\"":0.465,\\\""y\\\"":0.4034,\\\""t\\\"":267},{\\\""x\\\"":0.4204,\\\""y\\\"":0.2952,\\\""t\\\"":384},{\\\""x\\\"":0.3975,\\\""y\\\"":0.244,\\\""t\\\"":480},{\\\""x\\\"":0.3899,\\\""y\\\"":0.2521,\\\""t\\\"":584},{\\\""x\\\"":0.3912,\\\""y\\\"":0.244,\\\""t\\\"":667},{\\\""x\\\"":0.395,\\\""y\\\"":0.23,\\\""t\\\"":1159},{\\\""x\\\"":0.3963,\\\""y\\\"":0.2323,\\\""t\\\"":1267},{\\\""x\\\"":0.4045,\\\""y\\\"":0.2265,\\\""t\\\"":1350},{\\\""x\\\"":0.416,\\\""y\\\"":0.216,\\\""t\\\"":1534},{\\\""x\\\"":0.416,\\\""y\\\"":0.2125,\\\""t\\\"":1667},{\\\""x\\\"":0.4771,\\\""y\\\"":0.3755,\\\""t\\\"":2117},{\\\""x\\\"":0.4994,\\\""y\\\"":0.4476,\\\""t\\\"":2233},{\\\""x\\\"":0.5006,\\\""y\\\"":0.4674,\\\""t\\\"":2392},{\\\""x\\\"":0.5038,\\\""y\\\"":0.5081,\\\""t\\\"":2508},{\\\""x\\\"":0.5038,\\\""y\\\"":0.5081,\\\""t\\\"":2659},{\\\""x\\\"":0.486,\\\""y\\\"":0.443,\\\""t\\\"":2776},{\\\""x\\\"":0.4255,\\\""y\\\"":0.2323,\\\""t\\\"":2859}]\""""",1,1
8,2/12/2026 15:24.46.9,40,online_fb,0,40.8559,449,75,1065,good_reach,"""\""[{\\\""x\\\"":0.5306,\\\""y\\\"":0.4423,\\\""t\\\"":0},{\\\""x\\\"":0.563,\\\""y\\\"":0.3923,\\\""t\\\"":17},{\\\""x\\\"":0.6063,\\\""y\\\"":0.3248,\\\""t\\\"":33},{\\\""x\\\"":0.6165,\\\""y\\\"":0.3097,\\\""t\\\"":50}]\""""",1,1
9,2/12/2026 15:24.48.274,80,online_fb,0,76.2655,540,59,965,good_reach,"""\""[{\\\""x\\\"":0.5043,\\\""y\\\"":0.4482,\\\""t\\\"":0},{\\\""x\\\"":0.5113,\\\""y\\\"":0.4098,\\\""t\\\"":17},{\\\""x\\\"":0.5304,\\\""y\\\"":0.3132,\\\""t\\\"":34}]\""""",1,1
10,2/12/2026 15:24.50.774,40,online_fb,0,36.9477,449,284,1066,good_reach,"""\""[{\\\""x\\\"":0.5211,\\\""y\\\"":0.474,\\\""t\\\"":0},{\\\""x\\\"":0.5383,\\\""y\\\"":0.4496,\\\""t\\\"":17},{\\\""x\\\"":0.5548,\\\""y\\\"":0.4263,\\\""t\\\"":34},{\\\""x\\\"":0.5924,\\\""y\\\"":0.3669,\\\""t\\\"":50},{\\\""x\\\"":0.6064,\\\""y\\\"":0.346,\\\""t\\\"":67},{\\\""x\\\"":0.6134,\\\""y\\\"":0.3378,\\\""t\\\"":84},{\\\""x\\\"":0.6217,\\\""y\\\"":0.3285,\\\""t\\\"":100},{\\\""x\\\"":0.6248,\\\""y\\\"":0.325,\\\""t\\\"":117},{\\\""x\\\"":0.6293,\\\""y\\\"":0.3227,\\\""t\\\"":159},{\\\""x\\\"":0.6376,\\\""y\\\"":0.3146,\\\""t\\\"":175},{\\\""x\\\"":0.6414,\\\""y\\\"":0.3087,\\\""t\\\"":192},{\\\""x\\\"":0.6427,\\\""y\\\"":0.3064,\\\""t\\\"":217},{\\\""x\\\"":0.6439,\\\""y\\\"":0.3041,\\\""t\\\"":258}]\""""",1,1
