trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,day
1,11/25/2025 5:14.44.516,40,online_fb,0,40.8563,1465,1767,1854,too_slow,"""\""[{\\\""x\\\"":0.2562,\\\""y\\\"":0.4567,\\\""t\\\"":19},{\\\""x\\\"":0.2641,\\\""y\\\"":0.4391,\\\""t\\\"":35},{\\\""x\\\"":0.2757,\\\""y\\\"":0.4155,\\\""t\\\"":84},{\\\""x\\\"":0.2778,\\\""y\\\"":0.4118,\\\""t\\\"":135},{\\\""x\\\"":0.2782,\\\""y\\\"":0.4109,\\\""t\\\"":168},{\\\""x\\\"":0.2784,\\\""y\\\"":0.4105,\\\""t\\\"":218},{\\\""x\\\"":0.2787,\\\""y\\\"":0.4103,\\\""t\\\"":284},{\\\""x\\\"":0.28,\\\""y\\\"":0.4089,\\\""t\\\"":334},{\\\""x\\\"":0.297,\\\""y\\\"":0.393,\\\""t\\\"":368},{\\\""x\\\"":0.3177,\\\""y\\\"":0.378,\\\""t\\\"":417},{\\\""x\\\"":0.3186,\\\""y\\\"":0.3776,\\\""t\\\"":451},{\\\""x\\\"":0.3186,\\\""y\\\"":0.377,\\\""t\\\"":634},{\\\""x\\\"":0.3407,\\\""y\\\"":0.3536,\\\""t\\\"":684},{\\\""x\\\"":0.3521,\\\""y\\\"":0.3477,\\\""t\\\"":951},{\\\""x\\\"":0.3644,\\\""y\\\"":0.3317,\\\""t\\\"":968},{\\\""x\\\"":0.3945,\\\""y\\\"":0.2915,\\\""t\\\"":1017},{\\\""x\\\"":0.3956,\\\""y\\\"":0.2899,\\\""t\\\"":1018},{\\\""x\\\"":0.3965,\\\""y\\\"":0.289,\\\""t\\\"":1190},{\\\""x\\\"":0.3964,\\\""y\\\"":0.2885,\\\""t\\\"":1308},{\\\""x\\\"":0.3999,\\\""y\\\"":0.2831,\\\""t\\\"":1751}]\""""",1
2,11/25/2025 5:14.48.930,50,online_fb,0,50.6269,532,350,2831,good_reach,"""\""[{\\\""x\\\"":0.2653,\\\""y\\\"":0.4609,\\\""t\\\"":0},{\\\""x\\\"":0.2652,\\\""y\\\"":0.4608,\\\""t\\\"":0},{\\\""x\\\"":0.2741,\\\""y\\\"":0.4439,\\\""t\\\"":1},{\\\""x\\\"":0.2943,\\\""y\\\"":0.4101,\\\""t\\\"":17},{\\\""x\\\"":0.304,\\\""y\\\"":0.3917,\\\""t\\\"":34},{\\\""x\\\"":0.3039,\\\""y\\\"":0.3916,\\\""t\\\"":34},{\\\""x\\\"":0.3151,\\\""y\\\"":0.3723,\\\""t\\\"":35},{\\\""x\\\"":0.3446,\\\""y\\\"":0.3436,\\\""t\\\"":50},{\\\""x\\\"":0.3471,\\\""y\\\"":0.3283,\\\""t\\\"":306},{\\\""x\\\"":0.347,\\\""y\\\"":0.3282,\\\""t\\\"":306},{\\\""x\\\"":0.3509,\\\""y\\\"":0.311,\\\""t\\\"":317},{\\\""x\\\"":0.3713,\\\""y\\\"":0.2555,\\\""t\\\"":333},{\\\""x\\\"":0.3712,\\\""y\\\"":0.2554,\\\""t\\\"":334}]\""""",1
3,11/25/2025 5:14.53.446,55,online_fb,0,51.7704,466,566,2483,too_slow,"""\""[{\\\""x\\\"":0.2726,\\\""y\\\"":0.4946,\\\""t\\\"":0},{\\\""x\\\"":0.2931,\\\""y\\\"":0.4517,\\\""t\\\"":17},{\\\""x\\\"":0.293,\\\""y\\\"":0.4516,\\\""t\\\"":17},{\\\""x\\\"":0.3107,\\\""y\\\"":0.4222,\\\""t\\\"":33},{\\\""x\\\"":0.3135,\\\""y\\\"":0.4125,\\\""t\\\"":257},{\\\""x\\\"":0.3172,\\\""y\\\"":0.4006,\\\""t\\\"":267},{\\\""x\\\"":0.3215,\\\""y\\\"":0.3876,\\\""t\\\"":284},{\\\""x\\\"":0.3214,\\\""y\\\"":0.3874,\\\""t\\\"":284},{\\\""x\\\"":0.3329,\\\""y\\\"":0.3584,\\\""t\\\"":284},{\\\""x\\\"":0.3477,\\\""y\\\"":0.325,\\\""t\\\"":301},{\\\""x\\\"":0.3477,\\\""y\\\"":0.3249,\\\""t\\\"":301},{\\\""x\\\"":0.3652,\\\""y\\\"":0.2899,\\\""t\\\"":317},{\\\""x\\\"":0.3811,\\\""y\\\"":0.2615,\\\""t\\\"":334},{\\\""x\\\"":0.381,\\\""y\\\"":0.2613,\\\""t\\\"":335},{\\\""x\\\"":0.381,\\\""y\\\"":0.2578,\\\""t\\\"":541},{\\\""x\\\"":0.3806,\\\""y\\\"":0.2495,\\\""t\\\"":550}]\""""",1
4,11/25/2025 5:14.57.583,45,online_fb,0,41.6045,417,486,2532,good_reach,"""\""[{\\\""x\\\"":0.2705,\\\""y\\\"":0.4727,\\\""t\\\"":1},{\\\""x\\\"":0.2704,\\\""y\\\"":0.4726,\\\""t\\\"":1},{\\\""x\\\"":0.3032,\\\""y\\\"":0.4002,\\\""t\\\"":17},{\\\""x\\\"":0.3031,\\\""y\\\"":0.4001,\\\""t\\\"":17},{\\\""x\\\"":0.3099,\\\""y\\\"":0.3879,\\\""t\\\"":230},{\\\""x\\\"":0.3175,\\\""y\\\"":0.3742,\\\""t\\\"":235},{\\\""x\\\"":0.3362,\\\""y\\\"":0.3425,\\\""t\\\"":250},{\\\""x\\\"":0.3361,\\\""y\\\"":0.3423,\\\""t\\\"":251},{\\\""x\\\"":0.3561,\\\""y\\\"":0.3139,\\\""t\\\"":267},{\\\""x\\\"":0.3863,\\\""y\\\"":0.2895,\\\""t\\\"":284},{\\\""x\\\"":0.3927,\\\""y\\\"":0.2867,\\\""t\\\"":301},{\\\""x\\\"":0.3926,\\\""y\\\"":0.2866,\\\""t\\\"":301},{\\\""x\\\"":0.3976,\\\""y\\\"":0.2851,\\\""t\\\"":302},{\\\""x\\\"":0.398,\\\""y\\\"":0.2847,\\\""t\\\"":317}]\""""",1
5,11/25/2025 5:15.0.713,35,online_fb,0,34.5898,396,298,1733,good_reach,"""\""[{\\\""x\\\"":0.2648,\\\""y\\\"":0.4803,\\\""t\\\"":0},{\\\""x\\\"":0.2647,\\\""y\\\"":0.4801,\\\""t\\\"":1},{\\\""x\\\"":0.2849,\\\""y\\\"":0.4465,\\\""t\\\"":15},{\\\""x\\\"":0.3075,\\\""y\\\"":0.4092,\\\""t\\\"":32},{\\\""x\\\"":0.3074,\\\""y\\\"":0.409,\\\""t\\\"":32},{\\\""x\\\"":0.3257,\\\""y\\\"":0.4013,\\\""t\\\"":48},{\\\""x\\\"":0.3347,\\\""y\\\"":0.3902,\\\""t\\\"":252},{\\\""x\\\"":0.3547,\\\""y\\\"":0.3635,\\\""t\\\"":265},{\\\""x\\\"":0.3651,\\\""y\\\"":0.35,\\\""t\\\"":282},{\\\""x\\\"":0.365,\\\""y\\\"":0.3499,\\\""t\\\"":282},{\\\""x\\\"":0.3774,\\\""y\\\"":0.3363,\\\""t\\\"":282}]\""""",1
6,11/25/2025 5:15.4.729,125,online_fb,0,124.1283,450,866,1698,too_slow,"""\""[{\\\""x\\\"":0.7434,\\\""y\\\"":0.4697,\\\""t\\\"":0},{\\\""x\\\"":0.7433,\\\""y\\\"":0.4696,\\\""t\\\"":0},{\\\""x\\\"":0.7284,\\\""y\\\"":0.4374,\\\""t\\\"":18},{\\\""x\\\"":0.7208,\\\""y\\\"":0.4119,\\\""t\\\"":33},{\\\""x\\\"":0.7203,\\\""y\\\"":0.4029,\\\""t\\\"":50},{\\\""x\\\"":0.7215,\\\""y\\\"":0.4001,\\\""t\\\"":66},{\\\""x\\\"":0.7078,\\\""y\\\"":0.3774,\\\""t\\\"":267},{\\\""x\\\"":0.694,\\\""y\\\"":0.3587,\\\""t\\\"":283},{\\\""x\\\"":0.6883,\\\""y\\\"":0.3515,\\\""t\\\"":300},{\\\""x\\\"":0.684,\\\""y\\\"":0.3461,\\\""t\\\"":301},{\\\""x\\\"":0.6789,\\\""y\\\"":0.3378,\\\""t\\\"":333},{\\\""x\\\"":0.6768,\\\""y\\\"":0.3261,\\\""t\\\"":525},{\\\""x\\\"":0.6699,\\\""y\\\"":0.2937,\\\""t\\\"":551},{\\\""x\\\"":0.6698,\\\""y\\\"":0.2935,\\\""t\\\"":551},{\\\""x\\\"":0.6592,\\\""y\\\"":0.2676,\\\""t\\\"":567},{\\\""x\\\"":0.6575,\\\""y\\\"":0.2664,\\\""t\\\"":584},{\\\""x\\\"":0.6541,\\\""y\\\"":0.2577,\\\""t\\\"":809},{\\\""x\\\"":0.6507,\\\""y\\\"":0.2485,\\\""t\\\"":816},{\\\""x\\\"":0.6444,\\\""y\\\"":0.235,\\\""t\\\"":834},{\\\""x\\\"":0.6389,\\\""y\\\"":0.2261,\\\""t\\\"":850}]\""""",1
7,11/25/2025 5:15.8.529,145,online_fb,0,145.1375,433,833,1532,too_slow,"""\""[{\\\""x\\\"":0.7174,\\\""y\\\"":0.4761,\\\""t\\\"":0},{\\\""x\\\"":0.6981,\\\""y\\\"":0.462,\\\""t\\\"":17},{\\\""x\\\"":0.698,\\\""y\\\"":0.4619,\\\""t\\\"":17},{\\\""x\\\"":0.6817,\\\""y\\\"":0.4491,\\\""t\\\"":33},{\\\""x\\\"":0.6791,\\\""y\\\"":0.4471,\\\""t\\\"":50},{\\\""x\\\"":0.6789,\\\""y\\\"":0.4466,\\\""t\\\"":67},{\\\""x\\\"":0.6739,\\\""y\\\"":0.4399,\\\""t\\\"":266},{\\\""x\\\"":0.6589,\\\""y\\\"":0.4214,\\\""t\\\"":283},{\\\""x\\\"":0.6432,\\\""y\\\"":0.4047,\\\""t\\\"":317},{\\\""x\\\"":0.6431,\\\""y\\\"":0.4045,\\\""t\\\"":318},{\\\""x\\\"":0.6394,\\\""y\\\"":0.3995,\\\""t\\\"":318},{\\\""x\\\"":0.6383,\\\""y\\\"":0.3973,\\\""t\\\"":333},{\\\""x\\\"":0.6346,\\\""y\\\"":0.3897,\\\""t\\\"":537},{\\\""x\\\"":0.6289,\\\""y\\\"":0.3802,\\\""t\\\"":550},{\\\""x\\\"":0.6116,\\\""y\\\"":0.3633,\\\""t\\\"":567},{\\\""x\\\"":0.6041,\\\""y\\\"":0.3592,\\\""t\\\"":583},{\\\""x\\\"":0.6002,\\\""y\\\"":0.3577,\\\""t\\\"":600},{\\\""x\\\"":0.596,\\\""y\\\"":0.3469,\\\""t\\\"":807},{\\\""x\\\"":0.5959,\\\""y\\\"":0.3467,\\\""t\\\"":807},{\\\""x\\\"":0.5919,\\\""y\\\"":0.3325,\\\""t\\\"":817}]\""""",1
8,11/25/2025 5:15.11.995,130,online_fb,0,126.8113,450,816,1198,too_slow,"""\""[{\\\""x\\\"":0.7192,\\\""y\\\"":0.4687,\\\""t\\\"":1},{\\\""x\\\"":0.7052,\\\""y\\\"":0.4493,\\\""t\\\"":17},{\\\""x\\\"":0.6974,\\\""y\\\"":0.4354,\\\""t\\\"":33},{\\\""x\\\"":0.6958,\\\""y\\\"":0.4309,\\\""t\\\"":35},{\\\""x\\\"":0.6952,\\\""y\\\"":0.4268,\\\""t\\\"":50},{\\\""x\\\"":0.6954,\\\""y\\\"":0.426,\\\""t\\\"":67},{\\\""x\\\"":0.6915,\\\""y\\\"":0.4143,\\\""t\\\"":262},{\\\""x\\\"":0.6862,\\\""y\\\"":0.4004,\\\""t\\\"":267},{\\\""x\\\"":0.6759,\\\""y\\\"":0.3761,\\\""t\\\"":283},{\\\""x\\\"":0.6693,\\\""y\\\"":0.3619,\\\""t\\\"":300},{\\\""x\\\"":0.667,\\\""y\\\"":0.3551,\\\""t\\\"":317},{\\\""x\\\"":0.6669,\\\""y\\\"":0.3515,\\\""t\\\"":333},{\\\""x\\\"":0.6637,\\\""y\\\"":0.3331,\\\""t\\\"":541},{\\\""x\\\"":0.66,\\\""y\\\"":0.3168,\\\""t\\\"":550},{\\\""x\\\"":0.6599,\\\""y\\\"":0.3167,\\\""t\\\"":551},{\\\""x\\\"":0.6519,\\\""y\\\"":0.283,\\\""t\\\"":566},{\\\""x\\\"":0.6489,\\\""y\\\"":0.274,\\\""t\\\"":583},{\\\""x\\\"":0.642,\\\""y\\\"":0.2558,\\\""t\\\"":796},{\\\""x\\\"":0.642,\\\""y\\\"":0.2556,\\\""t\\\"":797},{\\\""x\\\"":0.6367,\\\""y\\\"":0.2439,\\\""t\\\"":800}]\""""",1
9,11/25/2025 5:15.15.61,135,online_fb,0,134.9767,381,650,1033,too_slow,"""\""[{\\\""x\\\"":0.7215,\\\""y\\\"":0.4641,\\\""t\\\"":1},{\\\""x\\\"":0.7214,\\\""y\\\"":0.464,\\\""t\\\"":1},{\\\""x\\\"":0.6973,\\\""y\\\"":0.4373,\\\""t\\\"":17},{\\\""x\\\"":0.6776,\\\""y\\\"":0.4083,\\\""t\\\"":34},{\\\""x\\\"":0.6775,\\\""y\\\"":0.4081,\\\""t\\\"":34},{\\\""x\\\"":0.6745,\\\""y\\\"":0.3981,\\\""t\\\"":51},{\\\""x\\\"":0.6743,\\\""y\\\"":0.3927,\\\""t\\\"":68},{\\\""x\\\"":0.6754,\\\""y\\\"":0.3884,\\\""t\\\"":84},{\\\""x\\\"":0.6653,\\\""y\\\"":0.3729,\\\""t\\\"":278},{\\\""x\\\"":0.6556,\\\""y\\\"":0.3548,\\\""t\\\"":284},{\\\""x\\\"":0.6451,\\\""y\\\"":0.3366,\\\""t\\\"":301},{\\\""x\\\"":0.645,\\\""y\\\"":0.3364,\\\""t\\\"":302},{\\\""x\\\"":0.6356,\\\""y\\\"":0.3207,\\\""t\\\"":302},{\\\""x\\\"":0.6209,\\\""y\\\"":0.3,\\\""t\\\"":317},{\\\""x\\\"":0.6089,\\\""y\\\"":0.2874,\\\""t\\\"":334},{\\\""x\\\"":0.6072,\\\""y\\\"":0.2857,\\\""t\\\"":351},{\\\""x\\\"":0.6068,\\\""y\\\"":0.2856,\\\""t\\\"":367},{\\\""x\\\"":0.6066,\\\""y\\\"":0.2783,\\\""t\\\"":632},{\\\""x\\\"":0.6065,\\\""y\\\"":0.2782,\\\""t\\\"":633}]\""""",1
10,11/25/2025 5:15.18.347,140,online_fb,0,140.5372,416,667,1199,too_slow,"""\""[{\\\""x\\\"":0.7316,\\\""y\\\"":0.4811,\\\""t\\\"":1},{\\\""x\\\"":0.7025,\\\""y\\\"":0.4491,\\\""t\\\"":17},{\\\""x\\\"":0.6879,\\\""y\\\"":0.4345,\\\""t\\\"":33},{\\\""x\\\"":0.6878,\\\""y\\\"":0.4343,\\\""t\\\"":34},{\\\""x\\\"":0.6787,\\\""y\\\"":0.4234,\\\""t\\\"":50},{\\\""x\\\"":0.6738,\\\""y\\\"":0.4142,\\\""t\\\"":66},{\\\""x\\\"":0.673,\\\""y\\\"":0.4115,\\\""t\\\"":83},{\\\""x\\\"":0.673,\\\""y\\\"":0.4109,\\\""t\\\"":100},{\\\""x\\\"":0.6648,\\\""y\\\"":0.4007,\\\""t\\\"":322},{\\\""x\\\"":0.6529,\\\""y\\\"":0.3897,\\\""t\\\"":333},{\\\""x\\\"":0.6321,\\\""y\\\"":0.3712,\\\""t\\\"":350},{\\\""x\\\"":0.632,\\\""y\\\"":0.371,\\\""t\\\"":350},{\\\""x\\\"":0.6254,\\\""y\\\"":0.363,\\\""t\\\"":351},{\\\""x\\\"":0.6177,\\\""y\\\"":0.3506,\\\""t\\\"":366},{\\\""x\\\"":0.6139,\\\""y\\\"":0.3399,\\\""t\\\"":384},{\\\""x\\\"":0.6136,\\\""y\\\"":0.3364,\\\""t\\\"":400},{\\\""x\\\"":0.6142,\\\""y\\\"":0.3343,\\\""t\\\"":417},{\\\""x\\\"":0.6078,\\\""y\\\"":0.3178,\\\""t\\\"":648},{\\\""x\\\"":0.6018,\\\""y\\\"":0.302,\\\""t\\\"":667},{\\\""x\\\"":0.6017,\\\""y\\\"":0.3018,\\\""t\\\"":667}]\""""",1
