trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,day
11,11/25/2025 6:35.8.808,125,online_fb,40,114.9048,403,284,2154,good_reach,"""\""[{\\\""x\\\"":0.7274,\\\""y\\\"":0.4928,\\\""t\\\"":1},{\\\""x\\\"":0.7119,\\\""y\\\"":0.514,\\\""t\\\"":18},{\\\""x\\\"":0.6931,\\\""y\\\"":0.5159,\\\""t\\\"":34},{\\\""x\\\"":0.6723,\\\""y\\\"":0.5023,\\\""t\\\"":50},{\\\""x\\\"":0.6645,\\\""y\\\"":0.496,\\\""t\\\"":67},{\\\""x\\\"":0.652,\\\""y\\\"":0.4787,\\\""t\\\"":84},{\\\""x\\\"":0.6413,\\\""y\\\"":0.4769,\\\""t\\\"":101},{\\\""x\\\"":0.636,\\\""y\\\"":0.476,\\\""t\\\"":117},{\\\""x\\\"":0.6331,\\\""y\\\"":0.4806,\\\""t\\\"":134},{\\\""x\\\"":0.6307,\\\""y\\\"":0.4751,\\\""t\\\"":152},{\\\""x\\\"":0.6283,\\\""y\\\"":0.4696,\\\""t\\\"":167},{\\\""x\\\"":0.623,\\\""y\\\"":0.4688,\\\""t\\\"":184},{\\\""x\\\"":0.6181,\\\""y\\\"":0.4578,\\\""t\\\"":241},{\\\""x\\\"":0.6133,\\\""y\\\"":0.4468,\\\""t\\\"":251},{\\\""x\\\"":0.5963,\\\""y\\\"":0.4085,\\\""t\\\"":267}]\""""",1
12,11/25/2025 6:35.11.923,140,online_fb,40,116.9925,427,283,1696,good_reach,"""\""[{\\\""x\\\"":0.742,\\\""y\\\"":0.4684,\\\""t\\\"":0},{\\\""x\\\"":0.7172,\\\""y\\\"":0.483,\\\""t\\\"":17},{\\\""x\\\"":0.7017,\\\""y\\\"":0.4702,\\\""t\\\"":33},{\\\""x\\\"":0.6781,\\\""y\\\"":0.4612,\\\""t\\\"":50},{\\\""x\\\"":0.665,\\\""y\\\"":0.454,\\\""t\\\"":67},{\\\""x\\\"":0.652,\\\""y\\\"":0.4467,\\\""t\\\"":83},{\\\""x\\\"":0.6462,\\\""y\\\"":0.4559,\\\""t\\\"":101},{\\\""x\\\"":0.6409,\\\""y\\\"":0.4551,\\\""t\\\"":117},{\\\""x\\\"":0.636,\\\""y\\\"":0.4441,\\\""t\\\"":167},{\\\""x\\\"":0.6331,\\\""y\\\"":0.4487,\\\""t\\\"":184},{\\\""x\\\"":0.6302,\\\""y\\\"":0.4533,\\\""t\\\"":200},{\\\""x\\\"":0.622,\\\""y\\\"":0.457,\\\""t\\\"":217},{\\\""x\\\"":0.6196,\\\""y\\\"":0.4515,\\\""t\\\"":234},{\\\""x\\\"":0.6095,\\\""y\\\"":0.4397,\\\""t\\\"":250},{\\\""x\\\"":0.5925,\\\""y\\\"":0.4013,\\\""t\\\"":267}]\""""",1
13,11/25/2025 6:35.15.177,135,online_fb,40,102.0446,447,283,1811,good_reach,"""\""[{\\\""x\\\"":0.7499,\\\""y\\\"":0.4568,\\\""t\\\"":0},{\\\""x\\\"":0.7328,\\\""y\\\"":0.4616,\\\""t\\\"":17},{\\\""x\\\"":0.7227,\\\""y\\\"":0.4497,\\\""t\\\"":34},{\\\""x\\\"":0.7198,\\\""y\\\"":0.4543,\\\""t\\\"":50},{\\\""x\\\"":0.7173,\\\""y\\\"":0.4488,\\\""t\\\"":67},{\\\""x\\\"":0.7101,\\\""y\\\"":0.4324,\\\""t\\\"":84},{\\\""x\\\"":0.7023,\\\""y\\\"":0.426,\\\""t\\\"":100},{\\\""x\\\"":0.6975,\\\""y\\\"":0.4151,\\\""t\\\"":117},{\\\""x\\\"":0.6873,\\\""y\\\"":0.4032,\\\""t\\\"":133},{\\\""x\\\"":0.6723,\\\""y\\\"":0.3804,\\\""t\\\"":150},{\\\""x\\\"":0.6573,\\\""y\\\"":0.3576,\\\""t\\\"":166},{\\\""x\\\"":0.639,\\\""y\\\"":0.3495,\\\""t\\\"":183},{\\\""x\\\"":0.6293,\\\""y\\\"":0.3276,\\\""t\\\"":200},{\\\""x\\\"":0.6244,\\\""y\\\"":0.3166,\\\""t\\\"":217},{\\\""x\\\"":0.622,\\\""y\\\"":0.3112,\\\""t\\\"":235},{\\\""x\\\"":0.6167,\\\""y\\\"":0.3103,\\\""t\\\"":250},{\\\""x\\\"":0.6143,\\\""y\\\"":0.3048,\\\""t\\\"":267}]\""""",1
14,11/25/2025 6:35.17.737,130,online_fb,40,128.7888,256,66,1531,good_reach,"""\""[{\\\""x\\\"":0.7429,\\\""y\\\"":0.4505,\\\""t\\\"":0},{\\\""x\\\"":0.6747,\\\""y\\\"":0.462,\\\""t\\\"":16},{\\\""x\\\"":0.6322,\\\""y\\\"":0.4549,\\\""t\\\"":34},{\\\""x\\\"":0.5795,\\\""y\\\"":0.436,\\\""t\\\"":50}]\""""",1
15,11/25/2025 6:35.22.704,145,online_fb,40,115.6974,351,300,3415,good_reach,"""\""[{\\\""x\\\"":0.7436,\\\""y\\\"":0.4571,\\\""t\\\"":0},{\\\""x\\\"":0.7049,\\\""y\\\"":0.4503,\\\""t\\\"":17},{\\\""x\\\"":0.6764,\\\""y\\\"":0.4304,\\\""t\\\"":33},{\\\""x\\\"":0.645,\\\""y\\\"":0.415,\\\""t\\\"":50},{\\\""x\\\"":0.6315,\\\""y\\\"":0.4178,\\\""t\\\"":66},{\\\""x\\\"":0.6185,\\\""y\\\"":0.4106,\\\""t\\\"":83},{\\\""x\\\"":0.6107,\\\""y\\\"":0.4042,\\\""t\\\"":100},{\\\""x\\\"":0.6078,\\\""y\\\"":0.4088,\\\""t\\\"":117},{\\\""x\\\"":0.6054,\\\""y\\\"":0.4034,\\\""t\\\"":177},{\\\""x\\\"":0.603,\\\""y\\\"":0.3979,\\\""t\\\"":261},{\\\""x\\\"":0.6006,\\\""y\\\"":0.3924,\\\""t\\\"":268},{\\\""x\\\"":0.5933,\\\""y\\\"":0.376,\\\""t\\\"":283}]\""""",1
16,11/25/2025 6:35.25.7,35,online_fb,40,43.7584,258,185,1150,good_reach,"""\""[{\\\""x\\\"":0.24,\\\""y\\\"":0.4725,\\\""t\\\"":0},{\\\""x\\\"":0.2229,\\\""y\\\"":0.4793,\\\""t\\\"":18},{\\\""x\\\"":0.2218,\\\""y\\\"":0.4436,\\\""t\\\"":35},{\\\""x\\\"":0.2314,\\\""y\\\"":0.4096,\\\""t\\\"":52},{\\\""x\\\"":0.2352,\\\""y\\\"":0.3849,\\\""t\\\"":68},{\\\""x\\\"":0.24,\\\""y\\\"":0.34,\\\""t\\\"":85},{\\\""x\\\"":0.2409,\\\""y\\\"":0.3198,\\\""t\\\"":101},{\\\""x\\\"":0.251,\\\""y\\\"":0.2758,\\\""t\\\"":118},{\\\""x\\\"":0.2553,\\\""y\\\"":0.241,\\\""t\\\"":135},{\\\""x\\\"":0.2624,\\\""y\\\"":0.2015,\\\""t\\\"":152},{\\\""x\\\"":0.2634,\\\""y\\\"":0.1814,\\\""t\\\"":168}]\""""",1
17,11/25/2025 6:35.27.551,40,online_fb,40,17.8638,331,278,1230,good_reach,"""\""[{\\\""x\\\"":0.2678,\\\""y\\\"":0.5116,\\\""t\\\"":0},{\\\""x\\\"":0.2733,\\\""y\\\"":0.478,\\\""t\\\"":11},{\\\""x\\\"":0.2878,\\\""y\\\"":0.455,\\\""t\\\"":28},{\\\""x\\\"":0.2945,\\\""y\\\"":0.4256,\\\""t\\\"":44},{\\\""x\\\"":0.305,\\\""y\\\"":0.3715,\\\""t\\\"":61},{\\\""x\\\"":0.3079,\\\""y\\\"":0.3669,\\\""t\\\"":78},{\\\""x\\\"":0.3108,\\\""y\\\"":0.3623,\\\""t\\\"":128},{\\\""x\\\"":0.3146,\\\""y\\\"":0.3376,\\\""t\\\"":144},{\\\""x\\\"":0.318,\\\""y\\\"":0.3229,\\\""t\\\"":161},{\\\""x\\\"":0.3208,\\\""y\\\"":0.3183,\\\""t\\\"":178},{\\\""x\\\"":0.3237,\\\""y\\\"":0.3137,\\\""t\\\"":242},{\\\""x\\\"":0.3213,\\\""y\\\"":0.3082,\\\""t\\\"":244},{\\\""x\\\"":0.3343,\\\""y\\\"":0.2596,\\\""t\\\"":261}]\""""",1
18,11/25/2025 6:35.30.703,45,online_fb,40,36.639,109,397,1941,good_reach,"""\""[{\\\""x\\\"":0.2635,\\\""y\\\"":0.4825,\\\""t\\\"":0},{\\\""x\\\"":0.2549,\\\""y\\\"":0.46,\\\""t\\\"":252},{\\\""x\\\"":0.2501,\\\""y\\\"":0.4491,\\\""t\\\"":263},{\\\""x\\\"":0.2505,\\\""y\\\"":0.439,\\\""t\\\"":280},{\\\""x\\\"":0.2519,\\\""y\\\"":0.4087,\\\""t\\\"":297},{\\\""x\\\"":0.2509,\\\""y\\\"":0.373,\\\""t\\\"":314},{\\\""x\\\"":0.2643,\\\""y\\\"":0.3143,\\\""t\\\"":330},{\\\""x\\\"":0.2691,\\\""y\\\"":0.2694,\\\""t\\\"":346},{\\\""x\\\"":0.2758,\\\""y\\\"":0.2401,\\\""t\\\"":363},{\\\""x\\\"":0.2805,\\\""y\\\"":0.1952,\\\""t\\\"":380}]\""""",1
19,11/25/2025 6:35.32.737,55,online_fb,40,35.963,317,167,842,good_reach,"""\""[{\\\""x\\\"":0.2753,\\\""y\\\"":0.4636,\\\""t\\\"":0},{\\\""x\\\"":0.268,\\\""y\\\"":0.377,\\\""t\\\"":17},{\\\""x\\\"":0.2776,\\\""y\\\"":0.3431,\\\""t\\\"":34},{\\\""x\\\"":0.279,\\\""y\\\"":0.3129,\\\""t\\\"":50},{\\\""x\\\"":0.2804,\\\""y\\\"":0.2826,\\\""t\\\"":50},{\\\""x\\\"":0.29,\\\""y\\\"":0.2487,\\\""t\\\"":67},{\\\""x\\\"":0.2881,\\\""y\\\"":0.2331,\\\""t\\\"":84},{\\\""x\\\"":0.291,\\\""y\\\"":0.2285,\\\""t\\\"":100},{\\\""x\\\"":0.289,\\\""y\\\"":0.213,\\\""t\\\"":117},{\\\""x\\\"":0.2923,\\\""y\\\"":0.1983,\\\""t\\\"":134},{\\\""x\\\"":0.2928,\\\""y\\\"":0.1882,\\\""t\\\"":151}]\""""",1
20,11/25/2025 6:35.34.899,50,online_fb,40,31.5606,275,266,918,good_reach,"""\""[{\\\""x\\\"":0.2655,\\\""y\\\"":0.4707,\\\""t\\\"":0},{\\\""x\\\"":0.2591,\\\""y\\\"":0.4193,\\\""t\\\"":16},{\\\""x\\\"":0.2725,\\\""y\\\"":0.3606,\\\""t\\\"":33},{\\\""x\\\"":0.2806,\\\""y\\\"":0.301,\\\""t\\\"":50},{\\\""x\\\"":0.2849,\\\""y\\\"":0.2661,\\\""t\\\"":67},{\\\""x\\\"":0.2887,\\\""y\\\"":0.2414,\\\""t\\\"":83},{\\\""x\\\"":0.2921,\\\""y\\\"":0.2267,\\\""t\\\"":100},{\\\""x\\\"":0.2979,\\\""y\\\"":0.2175,\\\""t\\\"":226},{\\\""x\\\"":0.2983,\\\""y\\\"":0.2074,\\\""t\\\"":233},{\\\""x\\\"":0.3046,\\\""y\\\"":0.1882,\\\""t\\\"":249}]\""""",1
21,11/25/2025 6:35.46.564,145,no_fb,0,103.1726,372,270,324,good_reach,"""\""[{\\\""x\\\"":0.7575,\\\""y\\\"":0.4714,\\\""t\\\"":0},{\\\""x\\\"":0.7538,\\\""y\\\"":0.4714,\\\""t\\\"":3},{\\\""x\\\"":0.7462,\\\""y\\\"":0.4499,\\\""t\\\"":21},{\\\""x\\\"":0.7425,\\\""y\\\"":0.407,\\\""t\\\"":38},{\\\""x\\\"":0.7387,\\\""y\\\"":0.3856,\\\""t\\\"":54},{\\\""x\\\"":0.7349,\\\""y\\\"":0.3498,\\\""t\\\"":71},{\\\""x\\\"":0.7274,\\\""y\\\"":0.3283,\\\""t\\\"":88},{\\\""x\\\"":0.7236,\\\""y\\\"":0.2997,\\\""t\\\"":104},{\\\""x\\\"":0.7161,\\\""y\\\"":0.2854,\\\""t\\\"":120},{\\\""x\\\"":0.7161,\\\""y\\\"":0.2711,\\\""t\\\"":137},{\\\""x\\\"":0.7161,\\\""y\\\"":0.2425,\\\""t\\\"":154},{\\\""x\\\"":0.7123,\\\""y\\\"":0.2282,\\\""t\\\"":170},{\\\""x\\\"":0.7123,\\\""y\\\"":0.221,\\\""t\\\"":187},{\\\""x\\\"":0.7085,\\\""y\\\"":0.2139,\\\""t\\\"":203},{\\\""x\\\"":0.7085,\\\""y\\\"":0.1996,\\\""t\\\"":221},{\\\""x\\\"":0.7085,\\\""y\\\"":0.1924,\\\""t\\\"":244},{\\\""x\\\"":0.7085,\\\""y\\\"":0.1853,\\\""t\\\"":253}]\""""",1
22,11/25/2025 6:35.50.71,130,no_fb,0,84.6108,408,616,1426,too_slow,"""\""[{\\\""x\\\"":0.7455,\\\""y\\\"":0.4423,\\\""t\\\"":0},{\\\""x\\\"":0.7418,\\\""y\\\"":0.428,\\\""t\\\"":16},{\\\""x\\\"":0.7342,\\\""y\\\"":0.4065,\\\""t\\\"":34},{\\\""x\\\"":0.7342,\\\""y\\\"":0.3922,\\\""t\\\"":66},{\\\""x\\\"":0.7342,\\\""y\\\"":0.3851,\\\""t\\\"":90},{\\\""x\\\"":0.7342,\\\""y\\\"":0.3779,\\\""t\\\"":105},{\\\""x\\\"":0.7342,\\\""y\\\"":0.3636,\\\""t\\\"":150},{\\\""x\\\"":0.7342,\\\""y\\\"":0.335,\\\""t\\\"":169},{\\\""x\\\"":0.7342,\\\""y\\\"":0.3207,\\\""t\\\"":183},{\\\""x\\\"":0.7342,\\\""y\\\"":0.2992,\\\""t\\\"":200},{\\\""x\\\"":0.738,\\\""y\\\"":0.2849,\\\""t\\\"":217},{\\\""x\\\"":0.738,\\\""y\\\"":0.2635,\\\""t\\\"":233},{\\\""x\\\"":0.7418,\\\""y\\\"":0.2492,\\\""t\\\"":249},{\\\""x\\\"":0.7418,\\\""y\\\"":0.2349,\\\""t\\\"":266},{\\\""x\\\"":0.7418,\\\""y\\\"":0.2277,\\\""t\\\"":298},{\\\""x\\\"":0.7418,\\\""y\\\"":0.2134,\\\""t\\\"":306},{\\\""x\\\"":0.7418,\\\""y\\\"":0.2062,\\\""t\\\"":554},{\\\""x\\\"":0.7455,\\\""y\\\"":0.2062,\\\""t\\\"":570},{\\\""x\\\"":0.7493,\\\""y\\\"":0.1919,\\\""t\\\"":583},{\\\""x\\\"":0.7569,\\\""y\\\"":0.1705,\\\""t\\\"":600}]\""""",1
23,11/25/2025 6:35.52.502,135,no_fb,0,128.3445,278,65,1381,good_reach,"""\""[{\\\""x\\\"":0.7347,\\\""y\\\"":0.4891,\\\""t\\\"":0},{\\\""x\\\"":0.7083,\\\""y\\\"":0.4319,\\\""t\\\"":15},{\\\""x\\\"":0.6782,\\\""y\\\"":0.3532,\\\""t\\\"":32},{\\\""x\\\"":0.648,\\\""y\\\"":0.2745,\\\""t\\\"":49}]\""""",1
24,11/25/2025 6:35.55.639,125,no_fb,0,106.8793,341,192,1898,good_reach,"""\""[{\\\""x\\\"":0.7437,\\\""y\\\"":0.4708,\\\""t\\\"":0},{\\\""x\\\"":0.7437,\\\""y\\\"":0.4637,\\\""t\\\"":8},{\\\""x\\\"":0.7361,\\\""y\\\"":0.4279,\\\""t\\\"":20},{\\\""x\\\"":0.7361,\\\""y\\\"":0.3778,\\\""t\\\"":36},{\\\""x\\\"":0.7211,\\\""y\\\"":0.2992,\\\""t\\\"":54},{\\\""x\\\"":0.7173,\\\""y\\\"":0.2491,\\\""t\\\"":70},{\\\""x\\\"":0.706,\\\""y\\\"":0.2133,\\\""t\\\"":86},{\\\""x\\\"":0.7022,\\\""y\\\"":0.199,\\\""t\\\"":103},{\\\""x\\\"":0.6984,\\\""y\\\"":0.1919,\\\""t\\\"":120},{\\\""x\\\"":0.6984,\\\""y\\\"":0.1847,\\\""t\\\"":136}]\""""",1
25,11/25/2025 6:35.59.137,140,no_fb,0,131.5216,403,883,1203,too_slow,"""\""[{\\\""x\\\"":0.7472,\\\""y\\\"":0.451,\\\""t\\\"":0},{\\\""x\\\"":0.7434,\\\""y\\\"":0.4366,\\\""t\\\"":16},{\\\""x\\\"":0.7321,\\\""y\\\"":0.408,\\\""t\\\"":33},{\\\""x\\\"":0.7283,\\\""y\\\"":0.3723,\\\""t\\\"":50},{\\\""x\\\"":0.7208,\\\""y\\\"":0.3365,\\\""t\\\"":66},{\\\""x\\\"":0.7132,\\\""y\\\"":0.3079,\\\""t\\\"":84},{\\\""x\\\"":0.7095,\\\""y\\\"":0.2864,\\\""t\\\"":100},{\\\""x\\\"":0.7057,\\\""y\\\"":0.2721,\\\""t\\\"":117},{\\\""x\\\"":0.7019,\\\""y\\\"":0.265,\\\""t\\\"":133},{\\\""x\\\"":0.7019,\\\""y\\\"":0.2507,\\\""t\\\"":649},{\\\""x\\\"":0.6982,\\\""y\\\"":0.2507,\\\""t\\\"":667},{\\\""x\\\"":0.6944,\\\""y\\\"":0.2507,\\\""t\\\"":683},{\\\""x\\\"":0.6906,\\\""y\\\"":0.2507,\\\""t\\\"":705},{\\\""x\\\"":0.6831,\\\""y\\\"":0.2507,\\\""t\\\"":717},{\\\""x\\\"":0.6793,\\\""y\\\"":0.2507,\\\""t\\\"":733},{\\\""x\\\"":0.6718,\\\""y\\\"":0.2507,\\\""t\\\"":800},{\\\""x\\\"":0.6605,\\\""y\\\"":0.2507,\\\""t\\\"":816},{\\\""x\\\"":0.6492,\\\""y\\\"":0.2435,\\\""t\\\"":833},{\\\""x\\\"":0.6454,\\\""y\\\"":0.2435,\\\""t\\\"":850},{\\\""x\\\"":0.6416,\\\""y\\\"":0.2435,\\\""t\\\"":867}]\""""",1
26,11/25/2025 6:36.1.536,45,no_fb,0,37.2039,348,100,1243,good_reach,"""\""[{\\\""x\\\"":0.2794,\\\""y\\\"":0.4593,\\\""t\\\"":0},{\\\""x\\\"":0.2982,\\\""y\\\"":0.4307,\\\""t\\\"":17},{\\\""x\\\"":0.3133,\\\""y\\\"":0.4092,\\\""t\\\"":34},{\\\""x\\\"":0.3284,\\\""y\\\"":0.3735,\\\""t\\\"":50},{\\\""x\\\"":0.3548,\\\""y\\\"":0.3448,\\\""t\\\"":68},{\\\""x\\\"":0.3661,\\\""y\\\"":0.3234,\\\""t\\\"":83}]\""""",1
27,11/25/2025 6:36.3.698,55,no_fb,0,43.0142,271,60,1129,good_reach,"""\""[{\\\""x\\\"":0.2457,\\\""y\\\"":0.4682,\\\""t\\\"":0},{\\\""x\\\"":0.2532,\\\""y\\\"":0.4682,\\\""t\\\"":9},{\\\""x\\\"":0.2645,\\\""y\\\"":0.4396,\\\""t\\\"":26},{\\\""x\\\"":0.2984,\\\""y\\\"":0.3752,\\\""t\\\"":42}]\""""",1
