trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,2/12/2026 18:3.20.104,40,online_fb,0,22.1016,501,51,2905,good_reach,"""\""[{\\\""x\\\"":0.5739,\\\""y\\\"":0.4339,\\\""t\\\"":17},{\\\""x\\\"":0.6478,\\\""y\\\"":0.387,\\\""t\\\"":32}]\""""",1,1
2,2/12/2026 18:3.24.139,80,online_fb,0,77.0425,523,651,1853,too_slow,"""\""[{\\\""x\\\"":0.5011,\\\""y\\\"":0.4224,\\\""t\\\"":1},{\\\""x\\\"":0.5029,\\\""y\\\"":0.3859,\\\""t\\\"":35},{\\\""x\\\"":0.5085,\\\""y\\\"":0.3511,\\\""t\\\"":50},{\\\""x\\\"":0.5195,\\\""y\\\"":0.3112,\\\""t\\\"":85},{\\\""x\\\"":0.5269,\\\""y\\\"":0.2868,\\\""t\\\"":101},{\\\""x\\\"":0.5297,\\\""y\\\"":0.2816,\\\""t\\\"":119},{\\\""x\\\"":0.5325,\\\""y\\\"":0.2764,\\\""t\\\"":151},{\\\""x\\\"":0.5325,\\\""y\\\"":0.2747,\\\""t\\\"":167},{\\\""x\\\"":0.5343,\\\""y\\\"":0.2747,\\\""t\\\"":201},{\\\""x\\\"":0.5362,\\\""y\\\"":0.2747,\\\""t\\\"":278},{\\\""x\\\"":0.5362,\\\""y\\\"":0.2764,\\\""t\\\"":290},{\\\""x\\\"":0.538,\\\""y\\\"":0.2764,\\\""t\\\"":350},{\\\""x\\\"":0.538,\\\""y\\\"":0.2694,\\\""t\\\"":451},{\\\""x\\\"":0.538,\\\""y\\\"":0.2642,\\\""t\\\"":469},{\\\""x\\\"":0.538,\\\""y\\\"":0.2538,\\\""t\\\"":504},{\\\""x\\\"":0.5371,\\\""y\\\"":0.2503,\\\""t\\\"":518},{\\\""x\\\"":0.5352,\\\""y\\\"":0.2451,\\\""t\\\"":551},{\\\""x\\\"":0.5343,\\\""y\\\"":0.2416,\\\""t\\\"":584},{\\\""x\\\"":0.5343,\\\""y\\\"":0.2399,\\\""t\\\"":605},{\\\""x\\\"":0.5399,\\\""y\\\"":0.1756,\\\""t\\\"":634}]\""""",1,1
3,2/12/2026 18:3.28.660,120,online_fb,0,144.0047,400,481,2925,good_reach,"""\""[{\\\""x\\\"":0.465,\\\""y\\\"":0.4793,\\\""t\\\"":0},{\\\""x\\\"":0.3717,\\\""y\\\"":0.382,\\\""t\\\"":14},{\\\""x\\\"":0.3717,\\\""y\\\"":0.382,\\\""t\\\"":135},{\\\""x\\\"":0.3662,\\\""y\\\"":0.3663,\\\""t\\\"":382},{\\\""x\\\"":0.3597,\\\""y\\\"":0.3542,\\\""t\\\"":399},{\\\""x\\\"":0.3579,\\\""y\\\"":0.3455,\\\""t\\\"":416},{\\\""x\\\"":0.3551,\\\""y\\\"":0.3403,\\\""t\\\"":432},{\\\""x\\\"":0.3523,\\\""y\\\"":0.3298,\\\""t\\\"":448},{\\\""x\\\"":0.3514,\\\""y\\\"":0.3194,\\\""t\\\"":465}]\""""",1,1
4,2/12/2026 18:3.31.448,40,online_fb,0,38.6598,374,149,144,good_reach,"""\""[{\\\""x\\\"":0.4898,\\\""y\\\"":0.4739,\\\""t\\\"":0},{\\\""x\\\"":0.4926,\\\""y\\\"":0.4704,\\\""t\\\"":17},{\\\""x\\\"":0.4963,\\\""y\\\"":0.46,\\\""t\\\"":33},{\\\""x\\\"":0.5046,\\\""y\\\"":0.4496,\\\""t\\\"":49},{\\\""x\\\"":0.5416,\\\""y\\\"":0.4079,\\\""t\\\"":66},{\\\""x\\\"":0.5702,\\\""y\\\"":0.3801,\\\""t\\\"":82},{\\\""x\\\"":0.5914,\\\""y\\\"":0.3557,\\\""t\\\"":100},{\\\""x\\\"":0.6182,\\\""y\\\"":0.3175,\\\""t\\\"":116},{\\\""x\\\"":0.6302,\\\""y\\\"":0.2949,\\\""t\\\"":132}]\""""",1,1
5,2/12/2026 18:3.34.751,80,online_fb,0,87.9046,312,234,2053,good_reach,"""\""[{\\\""x\\\"":0.5066,\\\""y\\\"":0.4327,\\\""t\\\"":0},{\\\""x\\\"":0.5177,\\\""y\\\"":0.3545,\\\""t\\\"":19},{\\\""x\\\"":0.5177,\\\""y\\\"":0.3545,\\\""t\\\"":20},{\\\""x\\\"":0.5186,\\\""y\\\"":0.3041,\\\""t\\\"":34},{\\\""x\\\"":0.5186,\\\""y\\\"":0.285,\\\""t\\\"":52},{\\\""x\\\"":0.5186,\\\""y\\\"":0.2745,\\\""t\\\"":68},{\\\""x\\\"":0.5186,\\\""y\\\"":0.2711,\\\""t\\\"":86},{\\\""x\\\"":0.5186,\\\""y\\\"":0.2606,\\\""t\\\"":103},{\\\""x\\\"":0.5177,\\\""y\\\"":0.2433,\\\""t\\\"":119},{\\\""x\\\"":0.5158,\\\""y\\\"":0.2311,\\\""t\\\"":136},{\\\""x\\\"":0.514,\\\""y\\\"":0.2224,\\\""t\\\"":151},{\\\""x\\\"":0.5121,\\\""y\\\"":0.2137,\\\""t\\\"":170},{\\\""x\\\"":0.5103,\\\""y\\\"":0.2015,\\\""t\\\"":185},{\\\""x\\\"":0.5084,\\\""y\\\"":0.1876,\\\""t\\\"":202},{\\\""x\\\"":0.5075,\\\""y\\\"":0.1685,\\\""t\\\"":220}]\""""",1,1
6,2/12/2026 18:3.38.378,120,online_fb,0,129.004,382,184,2348,good_reach,"""\""[{\\\""x\\\"":0.4629,\\\""y\\\"":0.4329,\\\""t\\\"":0},{\\\""x\\\"":0.4435,\\\""y\\\"":0.3981,\\\""t\\\"":18},{\\\""x\\\"":0.4334,\\\""y\\\"":0.3808,\\\""t\\\"":33},{\\\""x\\\"":0.4278,\\\""y\\\"":0.3634,\\\""t\\\"":50},{\\\""x\\\"":0.4204,\\\""y\\\"":0.3408,\\\""t\\\"":65},{\\\""x\\\"":0.4158,\\\""y\\\"":0.3286,\\\""t\\\"":83},{\\\""x\\\"":0.4075,\\\""y\\\"":0.3112,\\\""t\\\"":99},{\\\""x\\\"":0.4057,\\\""y\\\"":0.306,\\\""t\\\"":115},{\\\""x\\\"":0.402,\\\""y\\\"":0.3008,\\\""t\\\"":132},{\\\""x\\\"":0.3992,\\\""y\\\"":0.2938,\\\""t\\\"":149},{\\\""x\\\"":0.3964,\\\""y\\\"":0.2852,\\\""t\\\"":166},{\\\""x\\\"":0.3946,\\\""y\\\"":0.2747,\\\""t\\\"":183},{\\\""x\\\"":0.3946,\\\""y\\\"":0.2747,\\\""t\\\"":183}]\""""",1,1
7,2/12/2026 18:3.42.380,120,online_fb,0,131.7421,368,63,2853,good_reach,"""\""[{\\\""x\\\"":0.4466,\\\""y\\\"":0.3987,\\\""t\\\"":0},{\\\""x\\\"":0.4189,\\\""y\\\"":0.3552,\\\""t\\\"":13},{\\\""x\\\"":0.405,\\\""y\\\"":0.3239,\\\""t\\\"":31},{\\\""x\\\"":0.3921,\\\""y\\\"":0.2718,\\\""t\\\"":47}]\""""",1,1
8,2/12/2026 18:3.48.163,40,online_fb,0,40.2352,242,317,4508,good_reach,"""\""[{\\\""x\\\"":0.5155,\\\""y\\\"":0.4707,\\\""t\\\"":0},{\\\""x\\\"":0.5182,\\\""y\\\"":0.4255,\\\""t\\\"":17},{\\\""x\\\"":0.521,\\\""y\\\"":0.396,\\\""t\\\"":33},{\\\""x\\\"":0.5228,\\\""y\\\"":0.3873,\\\""t\\\"":50},{\\\""x\\\"":0.5265,\\\""y\\\"":0.3803,\\\""t\\\"":67},{\\\""x\\\"":0.5312,\\\""y\\\"":0.3734,\\\""t\\\"":83},{\\\""x\\\"":0.5432,\\\""y\\\"":0.3577,\\\""t\\\"":100},{\\\""x\\\"":0.5533,\\\""y\\\"":0.3473,\\\""t\\\"":117},{\\\""x\\\"":0.5644,\\\""y\\\"":0.3369,\\\""t\\\"":134},{\\\""x\\\"":0.5746,\\\""y\\\"":0.3317,\\\""t\\\"":150},{\\\""x\\\"":0.5903,\\\""y\\\"":0.3282,\\\""t\\\"":167},{\\\""x\\\"":0.6087,\\\""y\\\"":0.3177,\\\""t\\\"":183},{\\\""x\\\"":0.6152,\\\""y\\\"":0.3125,\\\""t\\\"":201},{\\\""x\\\"":0.6226,\\\""y\\\"":0.3038,\\\""t\\\"":217},{\\\""x\\\"":0.629,\\\""y\\\"":0.3004,\\\""t\\\"":233},{\\\""x\\\"":0.63,\\\""y\\\"":0.2986,\\\""t\\\"":250},{\\\""x\\\"":0.6309,\\\""y\\\"":0.2969,\\\""t\\\"":267},{\\\""x\\\"":0.6327,\\\""y\\\"":0.2934,\\\""t\\\"":284},{\\\""x\\\"":0.6346,\\\""y\\\"":0.2899,\\\""t\\\"":300}]\""""",1,1
9,2/12/2026 18:3.52.119,80,online_fb,0,98.1712,49,467,151,rt_too_fast,"""\""[{\\\""x\\\"":0.4778,\\\""y\\\"":0.4739,\\\""t\\\"":0},{\\\""x\\\"":0.4594,\\\""y\\\"":0.46,\\\""t\\\"":18},{\\\""x\\\"":0.4169,\\\""y\\\"":0.4357,\\\""t\\\"":51},{\\\""x\\\"":0.4058,\\\""y\\\"":0.427,\\\""t\\\"":67},{\\\""x\\\"":0.3929,\\\""y\\\"":0.4113,\\\""t\\\"":101},{\\\""x\\\"":0.3901,\\\""y\\\"":0.4061,\\\""t\\\"":117},{\\\""x\\\"":0.3883,\\\""y\\\"":0.4044,\\\""t\\\"":150},{\\\""x\\\"":0.3873,\\\""y\\\"":0.4027,\\\""t\\\"":169},{\\\""x\\\"":0.3873,\\\""y\\\"":0.4009,\\\""t\\\"":185},{\\\""x\\\"":0.3873,\\\""y\\\"":0.3974,\\\""t\\\"":251},{\\\""x\\\"":0.3892,\\\""y\\\"":0.3957,\\\""t\\\"":267},{\\\""x\\\"":0.4095,\\\""y\\\"":0.3557,\\\""t\\\"":301},{\\\""x\\\"":0.4455,\\\""y\\\"":0.2671,\\\""t\\\"":318},{\\\""x\\\"":0.4557,\\\""y\\\"":0.2445,\\\""t\\\"":336},{\\\""x\\\"":0.464,\\\""y\\\"":0.2167,\\\""t\\\"":367},{\\\""x\\\"":0.4668,\\\""y\\\"":0.2045,\\\""t\\\"":384},{\\\""x\\\"":0.4704,\\\""y\\\"":0.1888,\\\""t\\\"":418},{\\\""x\\\"":0.4704,\\\""y\\\"":0.1888,\\\""t\\\"":419},{\\\""x\\\"":0.4714,\\\""y\\\"":0.1784,\\\""t\\\"":434},{\\\""x\\\"":0.4723,\\\""y\\\"":0.1749,\\\""t\\\"":452}]\""""",1,1
10,2/12/2026 18:3.55.664,40,online_fb,0,34.8245,456,114,2259,good_reach,"""\""[{\\\""x\\\"":0.531,\\\""y\\\"":0.4843,\\\""t\\\"":0},{\\\""x\\\"":0.5697,\\\""y\\\"":0.4478,\\\""t\\\"":17},{\\\""x\\\"":0.6067,\\\""y\\\"":0.4044,\\\""t\\\"":32},{\\\""x\\\"":0.6187,\\\""y\\\"":0.3835,\\\""t\\\"":50},{\\\""x\\\"":0.6233,\\\""y\\\"":0.3748,\\\""t\\\"":66},{\\\""x\\\"":0.6325,\\\""y\\\"":0.3574,\\\""t\\\"":81},{\\\""x\\\"":0.6436,\\\""y\\\"":0.3331,\\\""t\\\"":99}]\""""",1,1
