trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,1/12/2026 1:39.21.405,90,online_fb,0,86.6891,665,33,1527,good_reach,"""\""[{\\\""x\\\"":0.5107,\\\""y\\\"":0.3796,\\\""t\\\"":17}]\""""",1,1
2,1/12/2026 1:39.24.935,90,online_fb,0,96.1684,550,33,2243,good_reach,"""\""[{\\\""x\\\"":0.4875,\\\""y\\\"":0.3568,\\\""t\\\"":0},{\\\""x\\\"":0.4852,\\\""y\\\"":0.2937,\\\""t\\\"":16},{\\\""x\\\"":0.4852,\\\""y\\\"":0.2937,\\\""t\\\"":17},{\\\""x\\\"":0.4814,\\\""y\\\"":0.2321,\\\""t\\\"":17}]\""""",1,1
3,1/12/2026 1:39.27.758,90,online_fb,0,91.6496,517,49,1546,good_reach,"""\""[{\\\""x\\\"":0.5019,\\\""y\\\"":0.439,\\\""t\\\"":0},{\\\""x\\\"":0.4996,\\\""y\\\"":0.3702,\\\""t\\\"":16},{\\\""x\\\"":0.4996,\\\""y\\\"":0.3702,\\\""t\\\"":16},{\\\""x\\\"":0.4958,\\\""y\\\"":0.3072,\\\""t\\\"":16},{\\\""x\\\"":0.492,\\\""y\\\"":0.1939,\\\""t\\\"":33}]\""""",1,1
4,1/12/2026 1:39.30.667,90,online_fb,0,86.1677,516,49,1639,good_reach,"""\""[{\\\""x\\\"":0.5056,\\\""y\\\"":0.446,\\\""t\\\"":0},{\\\""x\\\"":0.5079,\\\""y\\\"":0.3357,\\\""t\\\"":16},{\\\""x\\\"":0.5133,\\\""y\\\"":0.2095,\\\""t\\\"":33}]\""""",1,1
5,1/12/2026 1:39.33.144,90,online_fb,0,98.2224,449,33,1279,good_reach,"""\""[{\\\""x\\\"":0.5032,\\\""y\\\"":0.4602,\\\""t\\\"":0},{\\\""x\\\"":0.4948,\\\""y\\\"":0.3212,\\\""t\\\"":17},{\\\""x\\\"":0.4948,\\\""y\\\"":0.3212,\\\""t\\\"":17}]\""""",1,1
6,1/12/2026 1:39.35.308,90,online_fb,0,93.2207,468,31,950,good_reach,"""\""[{\\\""x\\\"":0.5063,\\\""y\\\"":0.4595,\\\""t\\\"":0},{\\\""x\\\"":0.5033,\\\""y\\\"":0.3807,\\\""t\\\"":15},{\\\""x\\\"":0.5033,\\\""y\\\"":0.3807,\\\""t\\\"":15},{\\\""x\\\"":0.4995,\\\""y\\\"":0.299,\\\""t\\\"":15}]\""""",1,1
7,1/12/2026 1:39.37.204,90,online_fb,0,78.952,426,41,719,good_reach,"""\""[{\\\""x\\\"":0.5097,\\\""y\\\"":0.4745,\\\""t\\\"":0},{\\\""x\\\"":0.5158,\\\""y\\\"":0.4143,\\\""t\\\"":7},{\\\""x\\\"":0.5249,\\\""y\\\"":0.3054,\\\""t\\\"":24},{\\\""x\\\"":0.528,\\\""y\\\"":0.2567,\\\""t\\\"":41},{\\\""x\\\"":0.528,\\\""y\\\"":0.2567,\\\""t\\\"":41}]\""""",1,1
8,1/12/2026 1:39.39.138,90,online_fb,0,89.4419,459,48,715,good_reach,"""\""[{\\\""x\\\"":0.4974,\\\""y\\\"":0.3655,\\\""t\\\"":0},{\\\""x\\\"":0.4974,\\\""y\\\"":0.2695,\\\""t\\\"":15},{\\\""x\\\"":0.5004,\\\""y\\\"":0.1863,\\\""t\\\"":32}]\""""",1,1
9,1/12/2026 1:39.41.315,90,online_fb,0,90.7403,552,64,856,good_reach,"""\""[{\\\""x\\\"":0.4979,\\\""y\\\"":0.4537,\\\""t\\\"":0},{\\\""x\\\"":0.4979,\\\""y\\\"":0.4107,\\\""t\\\"":14},{\\\""x\\\"":0.4948,\\\""y\\\"":0.2846,\\\""t\\\"":31},{\\\""x\\\"":0.4948,\\\""y\\\"":0.1914,\\\""t\\\"":47},{\\\""x\\\"":0.4948,\\\""y\\\"":0.1914,\\\""t\\\"":47}]\""""",1,1
10,1/12/2026 1:39.43.247,90,online_fb,0,90.0243,383,33,811,good_reach,"""\""[{\\\""x\\\"":0.4968,\\\""y\\\"":0.3541,\\\""t\\\"":1},{\\\""x\\\"":0.4968,\\\""y\\\"":0.2867,\\\""t\\\"":17},{\\\""x\\\"":0.4968,\\\""y\\\"":0.2867,\\\""t\\\"":17},{\\\""x\\\"":0.4968,\\\""y\\\"":0.2179,\\\""t\\\"":17}]\""""",1,1
11,1/12/2026 1:40.0.259,90,online_fb,20,88.0298,528,23,1815,good_reach,"""\""[{\\\""x\\\"":0.4992,\\\""y\\\"":0.4169,\\\""t\\\"":0},{\\\""x\\\"":0.4615,\\\""y\\\"":0.2884,\\\""t\\\"":5}]\""""",1,1
12,1/12/2026 1:40.2.459,90,online_fb,20,88.2131,385,15,1094,good_reach,"""\""[{\\\""x\\\"":0.4997,\\\""y\\\"":0.4223,\\\""t\\\"":0}]\""""",1,1
13,1/12/2026 1:40.4.438,90,online_fb,20,74.7106,413,37,827,good_reach,"""\""[{\\\""x\\\"":0.5057,\\\""y\\\"":0.471,\\\""t\\\"":0},{\\\""x\\\"":0.5001,\\\""y\\\"":0.4187,\\\""t\\\"":3},{\\\""x\\\"":0.4965,\\\""y\\\"":0.2915,\\\""t\\\"":20},{\\\""x\\\"":0.4965,\\\""y\\\"":0.2915,\\\""t\\\"":20}]\""""",1,1
14,1/12/2026 1:40.6.677,90,online_fb,20,84.8923,354,28,1148,good_reach,"""\""[{\\\""x\\\"":0.4948,\\\""y\\\"":0.3769,\\\""t\\\"":0},{\\\""x\\\"":0.462,\\\""y\\\"":0.2944,\\\""t\\\"":11},{\\\""x\\\"":0.4468,\\\""y\\\"":0.1949,\\\""t\\\"":28},{\\\""x\\\"":0.4468,\\\""y\\\"":0.1949,\\\""t\\\"":28}]\""""",1,1
15,1/12/2026 1:40.8.940,90,online_fb,20,75.1888,495,21,1041,good_reach,"""\""[{\\\""x\\\"":0.5124,\\\""y\\\"":0.4377,\\\""t\\\"":1},{\\\""x\\\"":0.4912,\\\""y\\\"":0.3192,\\\""t\\\"":7}]\""""",1,1
16,1/12/2026 1:40.11.165,90,online_fb,20,73.5234,446,34,1029,good_reach,"""\""[{\\\""x\\\"":0.5107,\\\""y\\\"":0.4751,\\\""t\\\"":0},{\\\""x\\\"":0.5003,\\\""y\\\"":0.3543,\\\""t\\\"":17}]\""""",1,1
17,1/12/2026 1:40.13.314,90,online_fb,20,54.4002,415,34,983,good_reach,"""\""[{\\\""x\\\"":0.5212,\\\""y\\\"":0.4721,\\\""t\\\"":0},{\\\""x\\\"":0.539,\\\""y\\\"":0.3002,\\\""t\\\"":17},{\\\""x\\\"":0.539,\\\""y\\\"":0.3002,\\\""t\\\"":17}]\""""",1,1
18,1/12/2026 1:40.15.589,90,online_fb,20,82.8099,362,37,1168,good_reach,"""\""[{\\\""x\\\"":0.5102,\\\""y\\\"":0.4624,\\\""t\\\"":1},{\\\""x\\\"":0.4949,\\\""y\\\"":0.3964,\\\""t\\\"":7},{\\\""x\\\"":0.4711,\\\""y\\\"":0.248,\\\""t\\\"":21}]\""""",1,1
19,1/12/2026 1:40.17.687,90,online_fb,20,76.5351,483,33,875,good_reach,"""\""[{\\\""x\\\"":0.5202,\\\""y\\\"":0.3916,\\\""t\\\"":0},{\\\""x\\\"":0.4993,\\\""y\\\"":0.3851,\\\""t\\\"":0},{\\\""x\\\"":0.4779,\\\""y\\\"":0.2243,\\\""t\\\"":16}]\""""",1,1
20,1/12/2026 1:40.19.754,90,online_fb,20,78.3201,409,40,910,good_reach,"""\""[{\\\""x\\\"":0.5092,\\\""y\\\"":0.4732,\\\""t\\\"":0},{\\\""x\\\"":0.4994,\\\""y\\\"":0.4001,\\\""t\\\"":6},{\\\""x\\\"":0.4818,\\\""y\\\"":0.1957,\\\""t\\\"":23},{\\\""x\\\"":0.4818,\\\""y\\\"":0.1957,\\\""t\\\"":23}]\""""",1,1
21,1/12/2026 1:40.40.102,90,no_fb,0,84.3938,509,24,1800,good_reach,"""\""[{\\\""x\\\"":0.5084,\\\""y\\\"":0.4699,\\\""t\\\"":0},{\\\""x\\\"":0.5122,\\\""y\\\"":0.3853,\\\""t\\\"":7},{\\\""x\\\"":0.5175,\\\""y\\\"":0.285,\\\""t\\\"":24},{\\\""x\\\"":0.5175,\\\""y\\\"":0.285,\\\""t\\\"":24}]\""""",1,1
22,1/12/2026 1:40.42.777,90,no_fb,0,82.3957,445,21,1503,good_reach,"""\""[{\\\""x\\\"":0.5076,\\\""y\\\"":0.4528,\\\""t\\\"":0},{\\\""x\\\"":0.5152,\\\""y\\\"":0.3668,\\\""t\\\"":5}]\""""",1,1
23,1/12/2026 1:40.44.944,90,no_fb,0,78.5228,458,40,962,good_reach,"""\""[{\\\""x\\\"":0.5105,\\\""y\\\"":0.4647,\\\""t\\\"":0},{\\\""x\\\"":0.5204,\\\""y\\\"":0.3873,\\\""t\\\"":7},{\\\""x\\\"":0.5296,\\\""y\\\"":0.3013,\\\""t\\\"":23},{\\\""x\\\"":0.5296,\\\""y\\\"":0.3013,\\\""t\\\"":24},{\\\""x\\\"":0.5357,\\\""y\\\"":0.201,\\\""t\\\"":24}]\""""",1,1
24,1/12/2026 1:40.46.964,90,no_fb,0,78.5608,565,50,695,good_reach,"""\""[{\\\""x\\\"":0.5096,\\\""y\\\"":0.4719,\\\""t\\\"":1},{\\\""x\\\"":0.5142,\\\""y\\\"":0.4404,\\\""t\\\"":17},{\\\""x\\\"":0.5142,\\\""y\\\"":0.4404,\\\""t\\\"":17},{\\\""x\\\"":0.5218,\\\""y\\\"":0.3329,\\\""t\\\"":17},{\\\""x\\\"":0.537,\\\""y\\\"":0.1766,\\\""t\\\"":34}]\""""",1,1
25,1/12/2026 1:40.49.95,90,no_fb,0,83.3168,496,50,877,good_reach,"""\""[{\\\""x\\\"":0.5161,\\\""y\\\"":0.4645,\\\""t\\\"":0},{\\\""x\\\"":0.5214,\\\""y\\\"":0.3585,\\\""t\\\"":17},{\\\""x\\\"":0.5252,\\\""y\\\"":0.2022,\\\""t\\\"":33}]\""""",1,1
26,1/12/2026 1:40.51.121,90,no_fb,0,81.8007,512,65,746,good_reach,"""\""[{\\\""x\\\"":0.5122,\\\""y\\\"":0.4501,\\\""t\\\"":0},{\\\""x\\\"":0.5213,\\\""y\\\"":0.3985,\\\""t\\\"":16},{\\\""x\\\"":0.5274,\\\""y\\\"":0.3527,\\\""t\\\"":33},{\\\""x\\\"":0.5335,\\\""y\\\"":0.261,\\\""t\\\"":49},{\\\""x\\\"":0.5335,\\\""y\\\"":0.261,\\\""t\\\"":49}]\""""",1,1
27,1/12/2026 1:40.53.269,90,no_fb,0,79.3994,566,33,848,good_reach,"""\""[{\\\""x\\\"":0.5192,\\\""y\\\"":0.3946,\\\""t\\\"":0},{\\\""x\\\"":0.5306,\\\""y\\\"":0.2484,\\\""t\\\"":16}]\""""",1,1
28,1/12/2026 1:40.55.123,90,no_fb,0,78.5052,379,36,733,good_reach,"""\""[{\\\""x\\\"":0.5018,\\\""y\\\"":0.4556,\\\""t\\\"":1},{\\\""x\\\"":0.5109,\\\""y\\\"":0.3853,\\\""t\\\"":6},{\\\""x\\\"":0.5307,\\\""y\\\"":0.2148,\\\""t\\\"":20}]\""""",1,1
29,1/12/2026 1:40.57.303,90,no_fb,0,88.8861,387,29,1061,good_reach,"""\""[{\\\""x\\\"":0.5061,\\\""y\\\"":0.4101,\\\""t\\\"":0},{\\\""x\\\"":0.5061,\\\""y\\\"":0.3355,\\\""t\\\"":12},{\\\""x\\\"":0.5061,\\\""y\\\"":0.2524,\\\""t\\\"":29},{\\\""x\\\"":0.5061,\\\""y\\\"":0.2524,\\\""t\\\"":29}]\""""",1,1
30,1/12/2026 1:41.0.19,90,no_fb,0,85.5843,399,17,1598,good_reach,"""\""[{\\\""x\\\"":0.5069,\\\""y\\\"":0.4097,\\\""t\\\"":0},{\\\""x\\\"":0.5092,\\\""y\\\"":0.328,\\\""t\\\"":17},{\\\""x\\\"":0.5092,\\\""y\\\"":0.328,\\\""t\\\"":17}]\""""",1,1
31,1/12/2026 1:41.6.277,90,online_fb,0,83.4094,475,24,1339,good_reach,"""\""[{\\\""x\\\"":0.5053,\\\""y\\\"":0.4441,\\\""t\\\"":0},{\\\""x\\\"":0.5099,\\\""y\\\"":0.338,\\\""t\\\"":8},{\\\""x\\\"":0.5099,\\\""y\\\"":0.338,\\\""t\\\"":8}]\""""",1,1
32,1/12/2026 1:41.8.271,90,online_fb,0,86.2472,488,28,770,good_reach,"""\""[{\\\""x\\\"":0.5061,\\\""y\\\"":0.4433,\\\""t\\\"":0},{\\\""x\\\"":0.5084,\\\""y\\\"":0.3745,\\\""t\\\"":11},{\\\""x\\\"":0.5145,\\\""y\\\"":0.1939,\\\""t\\\"":28},{\\\""x\\\"":0.5145,\\\""y\\\"":0.1939,\\\""t\\\"":28}]\""""",1,1
33,1/12/2026 1:41.10.233,90,online_fb,0,88.4971,349,33,876,good_reach,"""\""[{\\\""x\\\"":0.4989,\\\""y\\\"":0.3943,\\\""t\\\"":0},{\\\""x\\\"":0.5027,\\\""y\\\"":0.2023,\\\""t\\\"":16}]\""""",1,1
