trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,1/28/2026 20:7.34.793,40,online_fb,60,33.6901,542,83,1997,good_reach,"""\""[{\\\""x\\\"":0.249,\\\""y\\\"":0.4284,\\\""t\\\"":18},{\\\""x\\\"":0.2524,\\\""y\\\"":0.3684,\\\""t\\\"":34},{\\\""x\\\"":0.2509,\\\""y\\\"":0.3023,\\\""t\\\"":50},{\\\""x\\\"":0.2461,\\\""y\\\"":0.2135,\\\""t\\\"":66}]\""""",0,2
2,1/28/2026 20:7.37.353,80,online_fb,60,359.8128,767,56,1028,good_reach,"""\""[{\\\""x\\\"":0.2929,\\\""y\\\"":0.5088,\\\""t\\\"":0},{\\\""x\\\"":0.2865,\\\""y\\\"":0.4052,\\\""t\\\"":6},{\\\""x\\\"":0.321,\\\""y\\\"":0.2826,\\\""t\\\"":23},{\\\""x\\\"":0.3384,\\\""y\\\"":0.231,\\\""t\\\"":40}]\""""",0,2
3,1/28/2026 20:7.39.486,120,online_fb,60,74.479,729,67,629,good_reach,"""\""[{\\\""x\\\"":0.2599,\\\""y\\\"":0.4405,\\\""t\\\"":1},{\\\""x\\\"":0.1877,\\\""y\\\"":0.3883,\\\""t\\\"":16},{\\\""x\\\"":0.1877,\\\""y\\\"":0.3883,\\\""t\\\"":16},{\\\""x\\\"":0.1526,\\\""y\\\"":0.3307,\\\""t\\\"":34},{\\\""x\\\"":0.1173,\\\""y\\\"":0.2693,\\\""t\\\"":51}]\""""",0,2
4,1/28/2026 20:7.47.977,40,no_fb,60,35.8612,624,40,1617,good_reach,"""\""[{\\\""x\\\"":0.2657,\\\""y\\\"":0.4637,\\\""t\\\"":0},{\\\""x\\\"":0.2926,\\\""y\\\"":0.4347,\\\""t\\\"":6},{\\\""x\\\"":0.3654,\\\""y\\\"":0.3393,\\\""t\\\"":23}]\""""",0,2
5,1/28/2026 20:7.50.242,80,no_fb,60,0.0913,778,73,699,good_reach,"""\""[{\\\""x\\\"":0.2718,\\\""y\\\"":0.5067,\\\""t\\\"":0},{\\\""x\\\"":0.2888,\\\""y\\\"":0.5056,\\\""t\\\"":6},{\\\""x\\\"":0.3249,\\\""y\\\"":0.5036,\\\""t\\\"":23},{\\\""x\\\"":0.3803,\\\""y\\\"":0.5036,\\\""t\\\"":39},{\\\""x\\\"":0.4188,\\\""y\\\"":0.5036,\\\""t\\\"":56}]\""""",0,2
6,1/28/2026 20:7.52.405,120,no_fb,60,74.3207,669,63,722,good_reach,"""\""[{\\\""x\\\"":0.2643,\\\""y\\\"":0.4755,\\\""t\\\"":0},{\\\""x\\\"":0.2654,\\\""y\\\"":0.4579,\\\""t\\\"":13},{\\\""x\\\"":0.2748,\\\""y\\\"":0.3635,\\\""t\\\"":30},{\\\""x\\\"":0.2882,\\\""y\\\"":0.2651,\\\""t\\\"":47},{\\\""x\\\"":0.3004,\\\""y\\\"":0.1801,\\\""t\\\"":63},{\\\""x\\\"":0.3004,\\\""y\\\"":0.1801,\\\""t\\\"":63}]\""""",0,2
7,1/28/2026 20:7.54.850,120,no_fb,60,77.7131,770,68,895,good_reach,"""\""[{\\\""x\\\"":0.2606,\\\""y\\\"":0.4524,\\\""t\\\"":0},{\\\""x\\\"":0.267,\\\""y\\\"":0.3705,\\\""t\\\"":17},{\\\""x\\\"":0.2751,\\\""y\\\"":0.2928,\\\""t\\\"":34},{\\\""x\\\"":0.2751,\\\""y\\\"":0.2928,\\\""t\\\"":34},{\\\""x\\\"":0.2827,\\\""y\\\"":0.2202,\\\""t\\\"":51}]\""""",0,2
8,1/28/2026 20:7.57.169,40,no_fb,60,347.7021,808,66,730,good_reach,"""\""[{\\\""x\\\"":0.2807,\\\""y\\\"":0.508,\\\""t\\\"":0},{\\\""x\\\"":0.3063,\\\""y\\\"":0.5215,\\\""t\\\"":16},{\\\""x\\\"":0.3407,\\\""y\\\"":0.534,\\\""t\\\"":33},{\\\""x\\\"":0.3833,\\\""y\\\"":0.5505,\\\""t\\\"":50}]\""""",0,2
9,1/28/2026 20:7.59.357,80,no_fb,60,3.7075,662,89,725,good_reach,"""\""[{\\\""x\\\"":0.2646,\\\""y\\\"":0.5182,\\\""t\\\"":0},{\\\""x\\\"":0.2757,\\\""y\\\"":0.513,\\\""t\\\"":5},{\\\""x\\\"":0.2967,\\\""y\\\"":0.5057,\\\""t\\\"":23},{\\\""x\\\"":0.3323,\\\""y\\\"":0.4933,\\\""t\\\"":40},{\\\""x\\\"":0.3713,\\\""y\\\"":0.486,\\\""t\\\"":56},{\\\""x\\\"":0.4081,\\\""y\\\"":0.4778,\\\""t\\\"":72}]\""""",0,2
10,1/28/2026 20:8.1.413,80,no_fb,60,9.9084,519,67,761,good_reach,"""\""[{\\\""x\\\"":0.2681,\\\""y\\\"":0.5036,\\\""t\\\"":0},{\\\""x\\\"":0.2967,\\\""y\\\"":0.4943,\\\""t\\\"":18},{\\\""x\\\"":0.3468,\\\""y\\\"":0.4725,\\\""t\\\"":34},{\\\""x\\\"":0.397,\\\""y\\\"":0.4528,\\\""t\\\"":51}]\""""",0,2
11,1/28/2026 20:8.3.670,120,no_fb,60,90.0428,494,67,989,good_reach,"""\""[{\\\""x\\\"":0.2458,\\\""y\\\"":0.459,\\\""t\\\"":0},{\\\""x\\\"":0.2428,\\\""y\\\"":0.4082,\\\""t\\\"":16},{\\\""x\\\"":0.2428,\\\""y\\\"":0.4082,\\\""t\\\"":16},{\\\""x\\\"":0.2417,\\\""y\\\"":0.3564,\\\""t\\\"":16},{\\\""x\\\"":0.2417,\\\""y\\\"":0.2797,\\\""t\\\"":34},{\\\""x\\\"":0.2452,\\\""y\\\"":0.1937,\\\""t\\\"":49}]\""""",0,2
