trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,day
1,11/26/2025 5:21.28.670,45,no_fb,-30,49.8288,331,35,2337,good_reach,"""\""[{\\\""x\\\"":0.285,\\\""y\\\"":0.4045,\\\""t\\\"":4},{\\\""x\\\"":0.3171,\\\""y\\\"":0.3397,\\\""t\\\"":18}]\""""",2
2,11/26/2025 5:21.30.334,55,no_fb,-30,60.7238,349,33,580,good_reach,"""\""[{\\\""x\\\"":0.2586,\\\""y\\\"":0.437,\\\""t\\\"":0},{\\\""x\\\"":0.2778,\\\""y\\\"":0.3711,\\\""t\\\"":19},{\\\""x\\\"":0.3286,\\\""y\\\"":0.2107,\\\""t\\\"":19}]\""""",2
3,11/26/2025 5:21.31.917,50,no_fb,-30,48.4649,314,35,533,good_reach,"""\""[{\\\""x\\\"":0.2658,\\\""y\\\"":0.4601,\\\""t\\\"":0},{\\\""x\\\"":0.2979,\\\""y\\\"":0.3931,\\\""t\\\"":5},{\\\""x\\\"":0.3329,\\\""y\\\"":0.3206,\\\""t\\\"":18}]\""""",2
4,11/26/2025 5:21.33.618,40,no_fb,-30,29.0955,294,39,666,good_reach,"""\""[{\\\""x\\\"":0.2652,\\\""y\\\"":0.4794,\\\""t\\\"":0},{\\\""x\\\"":0.288,\\\""y\\\"":0.4475,\\\""t\\\"":6},{\\\""x\\\"":0.3551,\\\""y\\\"":0.3728,\\\""t\\\"":22}]\""""",2
5,11/26/2025 5:21.35.317,35,no_fb,-30,44.0957,316,33,649,good_reach,"""\""[{\\\""x\\\"":0.2627,\\\""y\\\"":0.4313,\\\""t\\\"":0},{\\\""x\\\"":0.3141,\\\""y\\\"":0.3434,\\\""t\\\"":16}]\""""",2
6,11/26/2025 5:21.36.884,50,no_fb,-30,48.9913,333,33,500,good_reach,"""\""[{\\\""x\\\"":0.2969,\\\""y\\\"":0.3846,\\\""t\\\"":0},{\\\""x\\\"":0.3517,\\\""y\\\"":0.2747,\\\""t\\\"":17}]\""""",2
7,11/26/2025 5:21.38.467,40,no_fb,-30,29.1131,278,37,567,good_reach,"""\""[{\\\""x\\\"":0.2694,\\\""y\\\"":0.4882,\\\""t\\\"":0},{\\\""x\\\"":0.2951,\\\""y\\\"":0.4497,\\\""t\\\"":7},{\\\""x\\\"":0.3248,\\\""y\\\"":0.4135,\\\""t\\\"":21}]\""""",2
8,11/26/2025 5:21.40.151,55,no_fb,-30,51.8064,302,30,651,good_reach,"""\""[{\\\""x\\\"":0.274,\\\""y\\\"":0.4305,\\\""t\\\"":0},{\\\""x\\\"":0.3154,\\\""y\\\"":0.3339,\\\""t\\\"":13},{\\\""x\\\"":0.3154,\\\""y\\\"":0.3339,\\\""t\\\"":13}]\""""",2
9,11/26/2025 5:21.41.767,35,no_fb,-30,26.6763,300,49,566,good_reach,"""\""[{\\\""x\\\"":0.2795,\\\""y\\\"":0.4654,\\\""t\\\"":0},{\\\""x\\\"":0.3332,\\\""y\\\"":0.4006,\\\""t\\\"":16},{\\\""x\\\"":0.4032,\\\""y\\\"":0.3337,\\\""t\\\"":33}]\""""",2
10,11/26/2025 5:21.43.334,45,no_fb,-30,42.5814,315,33,518,good_reach,"""\""[{\\\""x\\\"":0.2781,\\\""y\\\"":0.4616,\\\""t\\\"":0},{\\\""x\\\"":0.3137,\\\""y\\\"":0.3913,\\\""t\\\"":17}]\""""",2
11,11/26/2025 5:21.44.951,50,no_fb,-30,50.7328,292,41,582,good_reach,"""\""[{\\\""x\\\"":0.2507,\\\""y\\\"":0.462,\\\""t\\\"":0},{\\\""x\\\"":0.2682,\\\""y\\\"":0.4225,\\\""t\\\"":7},{\\\""x\\\"":0.3143,\\\""y\\\"":0.328,\\\""t\\\"":24},{\\\""x\\\"":0.3417,\\\""y\\\"":0.2731,\\\""t\\\"":41}]\""""",2
12,11/26/2025 5:21.46.484,45,no_fb,-30,39.0131,299,34,500,good_reach,"""\""[{\\\""x\\\"":0.2879,\\\""y\\\"":0.423,\\\""t\\\"":0},{\\\""x\\\"":0.3346,\\\""y\\\"":0.3473,\\\""t\\\"":17}]\""""",2
13,11/26/2025 5:21.48.118,40,no_fb,-30,33.9532,316,33,583,good_reach,"""\""[{\\\""x\\\"":0.3029,\\\""y\\\"":0.4369,\\\""t\\\"":0},{\\\""x\\\"":0.3566,\\\""y\\\"":0.36,\\\""t\\\"":16}]\""""",2
14,11/26/2025 5:21.49.667,55,no_fb,-30,41.061,300,33,515,good_reach,"""\""[{\\\""x\\\"":0.2984,\\\""y\\\"":0.4228,\\\""t\\\"":0},{\\\""x\\\"":0.3492,\\\""y\\\"":0.3349,\\\""t\\\"":17},{\\\""x\\\"":0.3772,\\\""y\\\"":0.2855,\\\""t\\\"":33}]\""""",2
15,11/26/2025 5:21.51.167,35,no_fb,-30,25.0472,248,51,500,good_reach,"""\""[{\\\""x\\\"":0.2646,\\\""y\\\"":0.4853,\\\""t\\\"":0},{\\\""x\\\"":0.3124,\\\""y\\\"":0.4315,\\\""t\\\"":18},{\\\""x\\\"":0.3702,\\\""y\\\"":0.3788,\\\""t\\\"":34},{\\\""x\\\"":0.3702,\\\""y\\\"":0.3788,\\\""t\\\"":34}]\""""",2
16,11/26/2025 5:21.52.751,55,no_fb,-30,53.3099,266,50,566,good_reach,"""\""[{\\\""x\\\"":0.2596,\\\""y\\\"":0.4681,\\\""t\\\"":0},{\\\""x\\\"":0.2923,\\\""y\\\"":0.3847,\\\""t\\\"":16},{\\\""x\\\"":0.3285,\\\""y\\\"":0.2913,\\\""t\\\"":33},{\\\""x\\\"":0.3512,\\\""y\\\"":0.2397,\\\""t\\\"":33}]\""""",2
17,11/26/2025 5:21.54.269,40,no_fb,-30,26.5788,283,34,499,good_reach,"""\""[{\\\""x\\\"":0.2815,\\\""y\\\"":0.4609,\\\""t\\\"":0},{\\\""x\\\"":0.3784,\\\""y\\\"":0.3742,\\\""t\\\"":17}]\""""",2
18,11/26/2025 5:21.55.891,45,no_fb,-30,43.9616,278,38,598,good_reach,"""\""[{\\\""x\\\"":0.2516,\\\""y\\\"":0.4589,\\\""t\\\"":0},{\\\""x\\\"":0.2743,\\\""y\\\"":0.4215,\\\""t\\\"":6},{\\\""x\\\"":0.3239,\\\""y\\\"":0.3392,\\\""t\\\"":21}]\""""",2
19,11/26/2025 5:21.57.500,50,no_fb,-30,39.8895,316,33,560,good_reach,"""\""[{\\\""x\\\"":0.2811,\\\""y\\\"":0.4552,\\\""t\\\"":0},{\\\""x\\\"":0.3301,\\\""y\\\"":0.3695,\\\""t\\\"":16},{\\\""x\\\"":0.3599,\\\""y\\\"":0.3256,\\\""t\\\"":33}]\""""",2
20,11/26/2025 5:21.59.16,35,no_fb,-30,34.7161,300,49,466,good_reach,"""\""[{\\\""x\\\"":0.2604,\\\""y\\\"":0.4588,\\\""t\\\"":0},{\\\""x\\\"":0.3083,\\\""y\\\"":0.394,\\\""t\\\"":16},{\\\""x\\\"":0.366,\\\""y\\\"":0.3204,\\\""t\\\"":32}]\""""",2
21,11/26/2025 5:22.0.550,40,no_fb,-30,37.3385,324,42,466,good_reach,"""\""[{\\\""x\\\"":0.2506,\\\""y\\\"":0.4622,\\\""t\\\"":0},{\\\""x\\\"":0.2762,\\\""y\\\"":0.4249,\\\""t\\\"":9},{\\\""x\\\"":0.3556,\\\""y\\\"":0.3249,\\\""t\\\"":27}]\""""",2
22,11/26/2025 5:22.2.67,35,no_fb,-30,25.3207,266,50,500,good_reach,"""\""[{\\\""x\\\"":0.2678,\\\""y\\\"":0.4806,\\\""t\\\"":0},{\\\""x\\\"":0.3238,\\\""y\\\"":0.4136,\\\""t\\\"":17},{\\\""x\\\"":0.3985,\\\""y\\\"":0.3411,\\\""t\\\"":34}]\""""",2
23,11/26/2025 5:22.3.684,50,no_fb,-30,38.5368,277,55,584,good_reach,"""\""[{\\\""x\\\"":0.2694,\\\""y\\\"":0.4944,\\\""t\\\"":0},{\\\""x\\\"":0.2852,\\\""y\\\"":0.4669,\\\""t\\\"":5},{\\\""x\\\"":0.333,\\\""y\\\"":0.3878,\\\""t\\\"":21},{\\\""x\\\"":0.3856,\\\""y\\\"":0.3055,\\\""t\\\"":38}]\""""",2
24,11/26/2025 5:22.5.252,55,no_fb,-30,51.0967,266,34,566,good_reach,"""\""[{\\\""x\\\"":0.2804,\\\""y\\\"":0.4585,\\\""t\\\"":0},{\\\""x\\\"":0.3341,\\\""y\\\"":0.3157,\\\""t\\\"":18}]\""""",2
25,11/26/2025 5:22.6.750,45,no_fb,-30,36.0439,345,37,415,good_reach,"""\""[{\\\""x\\\"":0.2662,\\\""y\\\"":0.4668,\\\""t\\\"":0},{\\\""x\\\"":0.2901,\\\""y\\\"":0.4306,\\\""t\\\"":5},{\\\""x\\\"":0.3473,\\\""y\\\"":0.3548,\\\""t\\\"":20}]\""""",2
26,11/26/2025 5:22.8.333,45,no_fb,-30,29.1181,366,34,482,good_reach,"""\""[{\\\""x\\\"":0.2713,\\\""y\\\"":0.4633,\\\""t\\\"":0},{\\\""x\\\"":0.346,\\\""y\\\"":0.3853,\\\""t\\\"":17}]\""""",2
