trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,12/30/2025 2:10.50.406,90,online_fb,60,90.3423,287,31,1115,good_reach,"""\""[{\\\""x\\\"":0.1677,\\\""y\\\"":0.419,\\\""t\\\"":15}]\""""",0,2
2,12/30/2025 2:10.52.416,90,online_fb,60,86.6607,243,47,1012,good_reach,"""\""[{\\\""x\\\"":0.2358,\\\""y\\\"":0.483,\\\""t\\\"":0},{\\\""x\\\"":0.2157,\\\""y\\\"":0.4939,\\\""t\\\"":14},{\\\""x\\\"":0.1218,\\\""y\\\"":0.3769,\\\""t\\\"":30}]\""""",0,2
3,12/30/2025 2:10.55.576,90,online_fb,-20,76.9753,385,16,2056,good_reach,"""\""[{\\\""x\\\"":0.7793,\\\""y\\\"":0.2922,\\\""t\\\"":0}]\""""",2,2
4,12/30/2025 2:10.57.844,90,online_fb,-20,80.7842,366,34,1162,good_reach,"""\""[{\\\""x\\\"":0.7536,\\\""y\\\"":0.4077,\\\""t\\\"":1},{\\\""x\\\"":0.8329,\\\""y\\\"":0.2012,\\\""t\\\"":17}]\""""",2,2
5,12/30/2025 2:11.11.817,90,no_fb,60,92.2906,300,33,1669,good_reach,"""\""[{\\\""x\\\"":0.2483,\\\""y\\\"":0.4462,\\\""t\\\"":0},{\\\""x\\\"":0.2433,\\\""y\\\"":0.3238,\\\""t\\\"":17}]\""""",0,2
6,12/30/2025 2:11.14.214,90,no_fb,60,82.309,337,33,1309,good_reach,"""\""[{\\\""x\\\"":0.257,\\\""y\\\"":0.41,\\\""t\\\"":0},{\\\""x\\\"":0.2722,\\\""y\\\"":0.1949,\\\""t\\\"":17}]\""""",0,2
7,12/30/2025 2:11.16.492,90,no_fb,60,85.4752,316,17,817,good_reach,"""\""[{\\\""x\\\"":0.2567,\\\""y\\\"":0.3507,\\\""t\\\"":0}]\""""",0,2
8,12/30/2025 2:11.18.962,90,no_fb,60,91.4086,311,33,789,good_reach,"""\""[{\\\""x\\\"":0.2433,\\\""y\\\"":0.4403,\\\""t\\\"":0},{\\\""x\\\"":0.2433,\\\""y\\\"":0.2849,\\\""t\\\"":16}]\""""",0,2
9,12/30/2025 2:11.21.528,90,no_fb,60,83.6406,346,16,1486,good_reach,"""\""[{\\\""x\\\"":0.2569,\\\""y\\\"":0.409,\\\""t\\\"":0}]\""""",0,2
10,12/30/2025 2:11.23.828,90,no_fb,60,78.519,33,283,900,good_reach,"""\""[{\\\""x\\\"":0.2618,\\\""y\\\"":0.4671,\\\""t\\\"":0},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4582,\\\""t\\\"":16},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4552,\\\""t\\\"":33},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4582,\\\""t\\\"":115},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4612,\\\""t\\\"":134},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4642,\\\""t\\\"":152},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4612,\\\""t\\\"":213},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4582,\\\""t\\\"":227},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4552,\\\""t\\\"":233},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4283,\\\""t\\\"":250},{\\\""x\\\"":0.2634,\\\""y\\\"":0.4283,\\\""t\\\"":250},{\\\""x\\\"":0.2735,\\\""y\\\"":0.2909,\\\""t\\\"":266}]\""""",0,2
11,12/30/2025 2:11.26.62,90,no_fb,60,75.4512,294,15,1220,good_reach,"""\""[{\\\""x\\\"":0.2554,\\\""y\\\"":0.4439,\\\""t\\\"":0}]\""""",0,2
12,12/30/2025 2:11.28.773,90,no_fb,60,93.5988,275,50,908,good_reach,"""\""[{\\\""x\\\"":0.2601,\\\""y\\\"":0.4731,\\\""t\\\"":0},{\\\""x\\\"":0.2584,\\\""y\\\"":0.4671,\\\""t\\\"":16},{\\\""x\\\"":0.245,\\\""y\\\"":0.2909,\\\""t\\\"":33}]\""""",0,2
13,12/30/2025 2:11.30.704,90,no_fb,60,90.4407,27,351,139,good_reach,"""\""[{\\\""x\\\"":0.2349,\\\""y\\\"":0.5239,\\\""t\\\"":0},{\\\""x\\\"":0.2332,\\\""y\\\"":0.5239,\\\""t\\\"":17},{\\\""x\\\"":0.2282,\\\""y\\\"":0.5209,\\\""t\\\"":34},{\\\""x\\\"":0.2231,\\\""y\\\"":0.5119,\\\""t\\\"":50},{\\\""x\\\"":0.2181,\\\""y\\\"":0.4881,\\\""t\\\"":67},{\\\""x\\\"":0.2164,\\\""y\\\"":0.4791,\\\""t\\\"":84},{\\\""x\\\"":0.2164,\\\""y\\\"":0.4731,\\\""t\\\"":100},{\\\""x\\\"":0.2164,\\\""y\\\"":0.4701,\\\""t\\\"":117},{\\\""x\\\"":0.2164,\\\""y\\\"":0.4671,\\\""t\\\"":134},{\\\""x\\\"":0.2164,\\\""y\\\"":0.4642,\\\""t\\\"":150},{\\\""x\\\"":0.2164,\\\""y\\\"":0.4612,\\\""t\\\"":294},{\\\""x\\\"":0.2181,\\\""y\\\"":0.4552,\\\""t\\\"":313},{\\\""x\\\"":0.2198,\\\""y\\\"":0.4373,\\\""t\\\"":320},{\\\""x\\\"":0.2366,\\\""y\\\"":0.2939,\\\""t\\\"":334}]\""""",0,2
14,12/30/2025 2:11.33.38,90,no_fb,60,79.8492,286,16,1315,good_reach,"""\""[{\\\""x\\\"":0.2534,\\\""y\\\"":0.4132,\\\""t\\\"":0}]\""""",0,2
15,12/30/2025 2:11.34.817,90,no_fb,60,88.7211,192,34,840,good_reach,"""\""[{\\\""x\\\"":0.2393,\\\""y\\\"":0.4693,\\\""t\\\"":1},{\\\""x\\\"":0.2393,\\\""y\\\"":0.4454,\\\""t\\\"":17},{\\\""x\\\"":0.2393,\\\""y\\\"":0.4454,\\\""t\\\"":18},{\\\""x\\\"":0.2393,\\\""y\\\"":0.3886,\\\""t\\\"":18}]\""""",0,2
16,12/30/2025 2:11.36.697,90,no_fb,60,70.9564,204,17,948,good_reach,"""\""[{\\\""x\\\"":0.2666,\\\""y\\\"":0.3987,\\\""t\\\"":1}]\""""",0,2
17,12/30/2025 2:11.40.540,90,no_fb,60,100.4774,34,349,2448,good_reach,"""\""[{\\\""x\\\"":0.2584,\\\""y\\\"":0.5269,\\\""t\\\"":0},{\\\""x\\\"":0.2601,\\\""y\\\"":0.5299,\\\""t\\\"":19},{\\\""x\\\"":0.2601,\\\""y\\\"":0.5329,\\\""t\\\"":33},{\\\""x\\\"":0.2601,\\\""y\\\"":0.5299,\\\""t\\\"":249},{\\\""x\\\"":0.2584,\\\""y\\\"":0.5269,\\\""t\\\"":262},{\\\""x\\\"":0.2584,\\\""y\\\"":0.5239,\\\""t\\\"":299},{\\\""x\\\"":0.2517,\\\""y\\\"":0.5149,\\\""t\\\"":316},{\\\""x\\\"":0.2366,\\\""y\\\"":0.4343,\\\""t\\\"":333}]\""""",0,2
18,12/30/2025 2:11.43.170,90,no_fb,60,92.3945,282,16,1151,good_reach,"""\""[{\\\""x\\\"":0.2416,\\\""y\\\"":0.3029,\\\""t\\\"":0}]\""""",0,2
19,12/30/2025 2:11.45.268,90,no_fb,60,90.0,297,20,783,good_reach,"""\""[{\\\""x\\\"":0.25,\\\""y\\\"":0.4343,\\\""t\\\"":0},{\\\""x\\\"":0.25,\\\""y\\\"":0.2939,\\\""t\\\"":6}]\""""",0,2
20,12/30/2025 2:11.47.528,90,no_fb,60,82.8497,332,17,717,good_reach,"""\""[{\\\""x\\\"":0.2634,\\\""y\\\"":0.267,\\\""t\\\"":1},{\\\""x\\\"":0.2634,\\\""y\\\"":0.267,\\\""t\\\"":1}]\""""",0,2
21,12/30/2025 2:11.50.295,90,no_fb,60,93.9116,341,17,809,good_reach,"""\""[{\\\""x\\\"":0.2332,\\\""y\\\"":0.4492,\\\""t\\\"":0}]\""""",0,2
22,12/30/2025 2:11.53.471,90,no_fb,60,73.0092,357,24,1267,good_reach,"""\""[{\\\""x\\\"":0.2584,\\\""y\\\"":0.4313,\\\""t\\\"":1},{\\\""x\\\"":0.2819,\\\""y\\\"":0.3029,\\\""t\\\"":10}]\""""",0,2
23,12/30/2025 2:11.55.784,90,no_fb,60,68.3253,318,31,1257,good_reach,"""\""[{\\\""x\\\"":0.2559,\\\""y\\\"":0.3976,\\\""t\\\"":1},{\\\""x\\\"":0.2795,\\\""y\\\"":0.2453,\\\""t\\\"":14},{\\\""x\\\"":0.2795,\\\""y\\\"":0.2453,\\\""t\\\"":15}]\""""",0,2
24,12/30/2025 2:11.58.562,90,no_fb,60,93.7596,257,17,959,good_reach,"""\""[{\\\""x\\\"":0.2332,\\\""y\\\"":0.3716,\\\""t\\\"":0}]\""""",0,2
25,12/30/2025 2:12.0.938,90,no_fb,60,90.2636,216,33,1413,good_reach,"""\""[{\\\""x\\\"":0.2473,\\\""y\\\"":0.4306,\\\""t\\\"":0},{\\\""x\\\"":0.2473,\\\""y\\\"":0.2305,\\\""t\\\"":17}]\""""",0,2
26,12/30/2025 2:12.2.949,90,no_fb,60,94.2572,33,333,936,good_reach,"""\""[{\\\""x\\\"":0.2502,\\\""y\\\"":0.4689,\\\""t\\\"":0},{\\\""x\\\"":0.2502,\\\""y\\\"":0.463,\\\""t\\\"":17},{\\\""x\\\"":0.2502,\\\""y\\\"":0.46,\\\""t\\\"":33},{\\\""x\\\"":0.2519,\\\""y\\\"":0.46,\\\""t\\\"":64},{\\\""x\\\"":0.2519,\\\""y\\\"":0.463,\\\""t\\\"":114},{\\\""x\\\"":0.2519,\\\""y\\\"":0.4659,\\\""t\\\"":150},{\\\""x\\\"":0.2519,\\\""y\\\"":0.463,\\\""t\\\"":279},{\\\""x\\\"":0.2519,\\\""y\\\"":0.46,\\\""t\\\"":286},{\\\""x\\\"":0.2519,\\\""y\\\"":0.457,\\\""t\\\"":300},{\\\""x\\\"":0.2469,\\\""y\\\"":0.3614,\\\""t\\\"":316},{\\\""x\\\"":0.2402,\\\""y\\\"":0.224,\\\""t\\\"":333},{\\\""x\\\"":0.2402,\\\""y\\\"":0.224,\\\""t\\\"":333}]\""""",0,2
27,12/30/2025 2:12.5.82,90,no_fb,60,81.5061,304,33,679,good_reach,"""\""[{\\\""x\\\"":0.2483,\\\""y\\\"":0.4582,\\\""t\\\"":0},{\\\""x\\\"":0.2735,\\\""y\\\"":0.2551,\\\""t\\\"":17}]\""""",0,2
28,12/30/2025 2:12.7.541,90,no_fb,60,80.4753,300,17,849,good_reach,"""\""[{\\\""x\\\"":0.2483,\\\""y\\\"":0.4373,\\\""t\\\"":0}]\""""",0,2
29,12/30/2025 2:12.9.797,90,no_fb,60,82.2925,282,17,884,good_reach,"""\""[{\\\""x\\\"":0.2601,\\\""y\\\"":0.4403,\\\""t\\\"":0}]\""""",0,2
30,12/30/2025 2:12.12.169,90,no_fb,60,85.3645,223,18,843,good_reach,"""\""[{\\\""x\\\"":0.2517,\\\""y\\\"":0.3148,\\\""t\\\"":0},{\\\""x\\\"":0.2584,\\\""y\\\"":0.1924,\\\""t\\\"":18},{\\\""x\\\"":0.2584,\\\""y\\\"":0.1924,\\\""t\\\"":18}]\""""",0,2
31,12/30/2025 2:12.13.925,90,no_fb,60,92.1211,17,416,133,good_reach,"""\""[{\\\""x\\\"":0.2366,\\\""y\\\"":0.5388,\\\""t\\\"":0},{\\\""x\\\"":0.2282,\\\""y\\\"":0.5418,\\\""t\\\"":16},{\\\""x\\\"":0.2214,\\\""y\\\"":0.5418,\\\""t\\\"":33},{\\\""x\\\"":0.2147,\\\""y\\\"":0.5418,\\\""t\\\"":49},{\\\""x\\\"":0.213,\\\""y\\\"":0.5388,\\\""t\\\"":66},{\\\""x\\\"":0.2097,\\\""y\\\"":0.5388,\\\""t\\\"":83},{\\\""x\\\"":0.208,\\\""y\\\"":0.5388,\\\""t\\\"":99},{\\\""x\\\"":0.208,\\\""y\\\"":0.5358,\\\""t\\\"":116},{\\\""x\\\"":0.2063,\\\""y\\\"":0.5329,\\\""t\\\"":133},{\\\""x\\\"":0.2046,\\\""y\\\"":0.5329,\\\""t\\\"":149},{\\\""x\\\"":0.203,\\\""y\\\"":0.5329,\\\""t\\\"":166},{\\\""x\\\"":0.2013,\\\""y\\\"":0.5329,\\\""t\\\"":183},{\\\""x\\\"":0.2013,\\\""y\\\"":0.5329,\\\""t\\\"":199},{\\\""x\\\"":0.2013,\\\""y\\\"":0.5299,\\\""t\\\"":336},{\\\""x\\\"":0.2013,\\\""y\\\"":0.5269,\\\""t\\\"":349},{\\\""x\\\"":0.203,\\\""y\\\"":0.5119,\\\""t\\\"":366},{\\\""x\\\"":0.2164,\\\""y\\\"":0.3775,\\\""t\\\"":383},{\\\""x\\\"":0.2349,\\\""y\\\"":0.2162,\\\""t\\\"":399}]\""""",0,2
32,12/30/2025 2:12.16.121,90,no_fb,60,96.5688,216,34,800,good_reach,"""\""[{\\\""x\\\"":0.2315,\\\""y\\\"":0.4552,\\\""t\\\"":0},{\\\""x\\\"":0.2181,\\\""y\\\"":0.2222,\\\""t\\\"":17},{\\\""x\\\"":0.2181,\\\""y\\\"":0.2222,\\\""t\\\"":34}]\""""",0,2
33,12/30/2025 2:12.18.921,90,no_fb,60,83.1869,299,34,1483,good_reach,"""\""[{\\\""x\\\"":0.2534,\\\""y\\\"":0.4462,\\\""t\\\"":0},{\\\""x\\\"":0.255,\\\""y\\\"":0.279,\\\""t\\\"":17},{\\\""x\\\"":0.2618,\\\""y\\\"":0.1714,\\\""t\\\"":33},{\\\""x\\\"":0.2618,\\\""y\\\"":0.1714,\\\""t\\\"":34}]\""""",0,2
34,12/30/2025 2:12.20.958,90,no_fb,60,83.1402,266,17,683,good_reach,"""\""[{\\\""x\\\"":0.2584,\\\""y\\\"":0.4223,\\\""t\\\"":0},{\\\""x\\\"":0.2634,\\\""y\\\"":0.3357,\\\""t\\\"":17},{\\\""x\\\"":0.2634,\\\""y\\\"":0.3357,\\\""t\\\"":17}]\""""",0,2
35,12/30/2025 2:12.23.303,90,no_fb,-20,84.5403,269,17,781,good_reach,"""\""[{\\\""x\\\"":0.745,\\\""y\\\"":0.4492,\\\""t\\\"":0},{\\\""x\\\"":0.745,\\\""y\\\"":0.3088,\\\""t\\\"":17},{\\\""x\\\"":0.745,\\\""y\\\"":0.3088,\\\""t\\\"":17}]\""""",2,2
36,12/30/2025 2:12.25.603,90,no_fb,-20,90.7298,249,50,950,good_reach,"""\""[{\\\""x\\\"":0.7416,\\\""y\\\"":0.4134,\\\""t\\\"":1},{\\\""x\\\"":0.7399,\\\""y\\\"":0.3297,\\\""t\\\"":17},{\\\""x\\\"":0.7399,\\\""y\\\"":0.1894,\\\""t\\\"":34}]\""""",2,2
37,12/30/2025 2:12.27.617,90,no_fb,-20,105.5928,282,50,734,good_reach,"""\""[{\\\""x\\\"":0.7466,\\\""y\\\"":0.4701,\\\""t\\\"":0},{\\\""x\\\"":0.7433,\\\""y\\\"":0.4044,\\\""t\\\"":17},{\\\""x\\\"":0.7181,\\\""y\\\"":0.2551,\\\""t\\\"":34}]\""""",2,2
38,12/30/2025 2:12.30.204,90,no_fb,-20,91.6847,299,33,901,good_reach,"""\""[{\\\""x\\\"":0.745,\\\""y\\\"":0.4671,\\\""t\\\"":0},{\\\""x\\\"":0.7433,\\\""y\\\"":0.4164,\\\""t\\\"":16}]\""""",2,2
39,12/30/2025 2:12.32.730,90,no_fb,-20,94.1665,283,34,766,good_reach,"""\""[{\\\""x\\\"":0.7332,\\\""y\\\"":0.4343,\\\""t\\\"":0},{\\\""x\\\"":0.7315,\\\""y\\\"":0.273,\\\""t\\\"":17},{\\\""x\\\"":0.7315,\\\""y\\\"":0.1894,\\\""t\\\"":33},{\\\""x\\\"":0.7315,\\\""y\\\"":0.1894,\\\""t\\\"":33}]\""""",2,2
