trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory,workspace,day
1,1/20/2026 22:45.17.434,40,online_fb,60,44.8004,488,189,1133,good_reach,"""\""[{\\\""x\\\"":0.2462,\\\""y\\\"":0.422,\\\""t\\\"":12},{\\\""x\\\"":0.2452,\\\""y\\\"":0.3887,\\\""t\\\"":22},{\\\""x\\\"":0.2438,\\\""y\\\"":0.3664,\\\""t\\\"":33},{\\\""x\\\"":0.2424,\\\""y\\\"":0.3574,\\\""t\\\"":44},{\\\""x\\\"":0.2407,\\\""y\\\"":0.3424,\\\""t\\\"":56},{\\\""x\\\"":0.2401,\\\""y\\\"":0.3342,\\\""t\\\"":67},{\\\""x\\\"":0.2361,\\\""y\\\"":0.3131,\\\""t\\\"":78},{\\\""x\\\"":0.2343,\\\""y\\\"":0.3019,\\\""t\\\"":89},{\\\""x\\\"":0.2293,\\\""y\\\"":0.2836,\\\""t\\\"":100},{\\\""x\\\"":0.2268,\\\""y\\\"":0.2678,\\\""t\\\"":111},{\\\""x\\\"":0.2252,\\\""y\\\"":0.2625,\\\""t\\\"":122},{\\\""x\\\"":0.2222,\\\""y\\\"":0.2482,\\\""t\\\"":133},{\\\""x\\\"":0.2185,\\\""y\\\"":0.2426,\\\""t\\\"":145},{\\\""x\\\"":0.2122,\\\""y\\\"":0.2213,\\\""t\\\"":156},{\\\""x\\\"":0.2052,\\\""y\\\"":0.1992,\\\""t\\\"":166},{\\\""x\\\"":0.202,\\\""y\\\"":0.1885,\\\""t\\\"":178}]\""""",0,2
2,1/20/2026 22:45.20.574,160,online_fb,60,259.1222,1282,71,1083,good_reach,"""\""[{\\\""x\\\"":0.2377,\\\""y\\\"":0.5241,\\\""t\\\"":0},{\\\""x\\\"":0.2742,\\\""y\\\"":0.5666,\\\""t\\\"":5},{\\\""x\\\"":0.2972,\\\""y\\\"":0.6081,\\\""t\\\"":15},{\\\""x\\\"":0.3186,\\\""y\\\"":0.6443,\\\""t\\\"":27},{\\\""x\\\"":0.346,\\\""y\\\"":0.6862,\\\""t\\\"":38},{\\\""x\\\"":0.3652,\\\""y\\\"":0.7125,\\\""t\\\"":49},{\\\""x\\\"":0.3841,\\\""y\\\"":0.7329,\\\""t\\\"":60}]\""""",0,2
3,1/20/2026 22:45.23.15,280,online_fb,60,96.8721,1004,37,690,good_reach,"""\""[{\\\""x\\\"":0.2508,\\\""y\\\"":0.4591,\\\""t\\\"":0},{\\\""x\\\"":0.1932,\\\""y\\\"":0.4525,\\\""t\\\"":8},{\\\""x\\\"":0.1578,\\\""y\\\"":0.4275,\\\""t\\\"":15},{\\\""x\\\"":0.1236,\\\""y\\\"":0.4056,\\\""t\\\"":26}]\""""",0,2
4,1/20/2026 22:45.34.450,40,no_fb,60,5.4147,887,20,2866,good_reach,"""\""[{\\\""x\\\"":0.3027,\\\""y\\\"":0.4984,\\\""t\\\"":0},{\\\""x\\\"":0.3788,\\\""y\\\"":0.4835,\\\""t\\\"":9}]\""""",0,2
5,1/20/2026 22:45.36.633,160,no_fb,60,224.7152,822,33,621,good_reach,"""\""[{\\\""x\\\"":0.2216,\\\""y\\\"":0.5241,\\\""t\\\"":0},{\\\""x\\\"":0.1835,\\\""y\\\"":0.5851,\\\""t\\\"":11},{\\\""x\\\"":0.1601,\\\""y\\\"":0.628,\\\""t\\\"":23}]\""""",0,2
6,1/20/2026 22:45.39.479,280,no_fb,60,224.4758,986,34,1116,good_reach,"""\""[{\\\""x\\\"":0.2309,\\\""y\\\"":0.523,\\\""t\\\"":0},{\\\""x\\\"":0.2026,\\\""y\\\"":0.5642,\\\""t\\\"":6},{\\\""x\\\"":0.1773,\\\""y\\\"":0.6071,\\\""t\\\"":13},{\\\""x\\\"":0.1568,\\\""y\\\"":0.645,\\\""t\\\"":24}]\""""",0,2
7,1/20/2026 22:45.42.313,280,no_fb,60,225.7918,1191,30,905,good_reach,"""\""[{\\\""x\\\"":0.2152,\\\""y\\\"":0.5434,\\\""t\\\"":0},{\\\""x\\\"":0.1771,\\\""y\\\"":0.6094,\\\""t\\\"":8},{\\\""x\\\"":0.1449,\\\""y\\\"":0.6655,\\\""t\\\"":19},{\\\""x\\\"":0.1137,\\\""y\\\"":0.7265,\\\""t\\\"":30}]\""""",0,2
8,1/20/2026 22:45.44.119,40,no_fb,60,11.6084,495,27,569,good_reach,"""\""[{\\\""x\\\"":0.2888,\\\""y\\\"":0.4884,\\\""t\\\"":0},{\\\""x\\\"":0.3415,\\\""y\\\"":0.4686,\\\""t\\\"":6},{\\\""x\\\"":0.3961,\\\""y\\\"":0.4455,\\\""t\\\"":16}]\""""",0,2
9,1/20/2026 22:45.46.102,160,no_fb,60,156.957,446,34,793,good_reach,"""\""[{\\\""x\\\"":0.2185,\\\""y\\\"":0.4918,\\\""t\\\"":1},{\\\""x\\\"":0.1687,\\\""y\\\"":0.4704,\\\""t\\\"":12},{\\\""x\\\"":0.0741,\\\""y\\\"":0.4011,\\\""t\\\"":22}]\""""",0,2
10,1/20/2026 22:45.48.380,160,no_fb,60,182.2394,786,29,755,good_reach,"""\""[{\\\""x\\\"":0.2317,\\\""y\\\"":0.5164,\\\""t\\\"":0},{\\\""x\\\"":0.1683,\\\""y\\\"":0.5164,\\\""t\\\"":6},{\\\""x\\\"":0.1107,\\\""y\\\"":0.5164,\\\""t\\\"":17}]\""""",0,2
