trialNum,currentDate,target_angle,trial_type,rotation,hand_fb_angle,rt,mt,search_time,reach_feedback,movement_trajectory
11,10/23/2025 6:14.56.512,45,online_fb,45,40.0372,256,56,608,good_reach,"""\""[{\\\""x\\\"":0.2626,\\\""y\\\"":0.4637,\\\""t\\\"":0},{\\\""x\\\"":0.2436,\\\""y\\\"":0.4577,\\\""t\\\"":1},{\\\""x\\\"":0.2467,\\\""y\\\"":0.4333,\\\""t\\\"":7},{\\\""x\\\"":0.2482,\\\""y\\\"":0.4032,\\\""t\\\"":14},{\\\""x\\\"":0.2501,\\\""y\\\"":0.3638,\\\""t\\\"":21},{\\\""x\\\"":0.2524,\\\""y\\\"":0.325,\\\""t\\\"":28},{\\\""x\\\"":0.2551,\\\""y\\\"":0.2856,\\\""t\\\"":35},{\\\""x\\\"":0.2578,\\\""y\\\"":0.249,\\\""t\\\"":42},{\\\""x\\\"":0.2612,\\\""y\\\"":0.2081,\\\""t\\\"":49}]\"""""
12,10/23/2025 6:14.57.907,55,online_fb,45,14.0192,154,63,477,good_reach,"""\""[{\\\""x\\\"":0.271,\\\""y\\\"":0.4992,\\\""t\\\"":0},{\\\""x\\\"":0.2684,\\\""y\\\"":0.4587,\\\""t\\\"":7},{\\\""x\\\"":0.2734,\\\""y\\\"":0.4422,\\\""t\\\"":14},{\\\""x\\\"":0.2784,\\\""y\\\"":0.4228,\\\""t\\\"":21},{\\\""x\\\"":0.2864,\\\""y\\\"":0.3963,\\\""t\\\"":28},{\\\""x\\\"":0.296,\\\""y\\\"":0.364,\\\""t\\\"":35},{\\\""x\\\"":0.3079,\\\""y\\\"":0.3289,\\\""t\\\"":42},{\\\""x\\\"":0.3206,\\\""y\\\"":0.288,\\\""t\\\"":49},{\\\""x\\\"":0.3337,\\\""y\\\"":0.245,\\\""t\\\"":56}]\"""""
13,10/23/2025 6:14.59.400,35,online_fb,45,7.8034,189,77,526,good_reach,"""\""[{\\\""x\\\"":0.2709,\\\""y\\\"":0.5073,\\\""t\\\"":0},{\\\""x\\\"":0.2733,\\\""y\\\"":0.4682,\\\""t\\\"":7},{\\\""x\\\"":0.2787,\\\""y\\\"":0.4582,\\\""t\\\"":14},{\\\""x\\\"":0.2852,\\\""y\\\"":0.446,\\\""t\\\"":21},{\\\""x\\\"":0.2925,\\\""y\\\"":0.4295,\\\""t\\\"":28},{\\\""x\\\"":0.2998,\\\""y\\\"":0.4101,\\\""t\\\"":35},{\\\""x\\\"":0.309,\\\""y\\\"":0.3843,\\\""t\\\"":42},{\\\""x\\\"":0.317,\\\""y\\\"":0.3578,\\\""t\\\"":49},{\\\""x\\\"":0.3282,\\\""y\\\"":0.3241,\\\""t\\\"":56},{\\\""x\\\"":0.3405,\\\""y\\\"":0.2853,\\\""t\\\"":63},{\\\""x\\\"":0.3516,\\\""y\\\"":0.2531,\\\""t\\\"":70}]\"""""
14,10/23/2025 6:15.0.720,50,online_fb,45,16.255,295,43,281,good_reach,"""\""[{\\\""x\\\"":0.2673,\\\""y\\\"":0.4645,\\\""t\\\"":1},{\\\""x\\\"":0.2573,\\\""y\\\"":0.4262,\\\""t\\\"":8},{\\\""x\\\"":0.2703,\\\""y\\\"":0.3875,\\\""t\\\"":15},{\\\""x\\\"":0.2849,\\\""y\\\"":0.3459,\\\""t\\\"":22},{\\\""x\\\"":0.3026,\\\""y\\\"":0.2943,\\\""t\\\"":29},{\\\""x\\\"":0.3233,\\\""y\\\"":0.2383,\\\""t\\\"":36}]\"""""
15,10/23/2025 6:15.2.53,40,online_fb,45,1.1978,305,49,277,good_reach,"""\""[{\\\""x\\\"":0.2654,\\\""y\\\"":0.4741,\\\""t\\\"":0},{\\\""x\\\"":0.2599,\\\""y\\\"":0.4477,\\\""t\\\"":7},{\\\""x\\\"":0.2772,\\\""y\\\"":0.4197,\\\""t\\\"":14},{\\\""x\\\"":0.2937,\\\""y\\\"":0.3932,\\\""t\\\"":21},{\\\""x\\\"":0.3175,\\\""y\\\"":0.353,\\\""t\\\"":28},{\\\""x\\\"":0.3444,\\\""y\\\"":0.3071,\\\""t\\\"":35},{\\\""x\\\"":0.3724,\\\""y\\\"":0.2576,\\\""t\\\"":42}]\"""""
16,10/23/2025 6:15.3.997,130,online_fb,45,129.2787,274,84,580,good_reach,"""\""[{\\\""x\\\"":0.7554,\\\""y\\\"":0.4645,\\\""t\\\"":1},{\\\""x\\\"":0.735,\\\""y\\\"":0.4634,\\\""t\\\"":8},{\\\""x\\\"":0.73,\\\""y\\\"":0.4584,\\\""t\\\"":15},{\\\""x\\\"":0.722,\\\""y\\\"":0.4534,\\\""t\\\"":22},{\\\""x\\\"":0.7139,\\\""y\\\"":0.4484,\\\""t\\\"":29},{\\\""x\\\"":0.7043,\\\""y\\\"":0.4448,\\\""t\\\"":36},{\\\""x\\\"":0.6924,\\\""y\\\"":0.4412,\\\""t\\\"":42},{\\\""x\\\"":0.6751,\\\""y\\\"":0.4405,\\\""t\\\"":49},{\\\""x\\\"":0.6571,\\\""y\\\"":0.4398,\\\""t\\\"":56},{\\\""x\\\"":0.6299,\\\""y\\\"":0.4419,\\\""t\\\"":63},{\\\""x\\\"":0.6072,\\\""y\\\"":0.4455,\\\""t\\\"":70},{\\\""x\\\"":0.5788,\\\""y\\\"":0.4527,\\\""t\\\"":77}]\"""""
17,10/23/2025 6:15.5.351,140,online_fb,45,89.0441,176,76,401,good_reach,"""\""[{\\\""x\\\"":0.7622,\\\""y\\\"":0.4719,\\\""t\\\"":0},{\\\""x\\\"":0.743,\\\""y\\\"":0.4547,\\\""t\\\"":7},{\\\""x\\\"":0.7365,\\\""y\\\"":0.4425,\\\""t\\\"":14},{\\\""x\\\"":0.7281,\\\""y\\\"":0.4267,\\\""t\\\"":21},{\\\""x\\\"":0.7181,\\\""y\\\"":0.4095,\\\""t\\\"":28},{\\\""x\\\"":0.7077,\\\""y\\\"":0.393,\\\""t\\\"":34},{\\\""x\\\"":0.6958,\\\""y\\\"":0.3708,\\\""t\\\"":41},{\\\""x\\\"":0.6805,\\\""y\\\"":0.345,\\\""t\\\"":48},{\\\""x\\\"":0.667,\\\""y\\\"":0.3213,\\\""t\\\"":55},{\\\""x\\\"":0.6524,\\\""y\\\"":0.2983,\\\""t\\\"":62},{\\\""x\\\"":0.6394,\\\""y\\\"":0.2783,\\\""t\\\"":69},{\\\""x\\\"":0.6379,\\\""y\\\"":0.2783,\\\""t\\\"":69}]\"""""
18,10/23/2025 6:15.6.747,145,online_fb,45,135.3715,260,70,364,good_reach,"""\""[{\\\""x\\\"":0.7436,\\\""y\\\"":0.47,\\\""t\\\"":0},{\\\""x\\\"":0.7253,\\\""y\\\"":0.4851,\\\""t\\\"":7},{\\\""x\\\"":0.7149,\\\""y\\\"":0.4829,\\\""t\\\"":14},{\\\""x\\\"":0.7015,\\\""y\\\"":0.4808,\\\""t\\\"":21},{\\\""x\\\"":0.6884,\\\""y\\\"":0.4793,\\\""t\\\"":28},{\\\""x\\\"":0.6681,\\\""y\\\"":0.4786,\\\""t\\\"":35},{\\\""x\\\"":0.6562,\\\""y\\\"":0.4793,\\\""t\\\"":42},{\\\""x\\\"":0.6293,\\\""y\\\"":0.4822,\\\""t\\\"":49},{\\\""x\\\"":0.6082,\\\""y\\\"":0.4872,\\\""t\\\"":56},{\\\""x\\\"":0.5863,\\\""y\\\"":0.4937,\\\""t\\\"":63}]\"""""
19,10/23/2025 6:15.8.310,125,online_fb,45,108.9678,233,83,544,good_reach,"""\""[{\\\""x\\\"":0.7571,\\\""y\\\"":0.4712,\\\""t\\\"":0},{\\\""x\\\"":0.7384,\\\""y\\\"":0.4667,\\\""t\\\"":7},{\\\""x\\\"":0.73,\\\""y\\\"":0.4609,\\\""t\\\"":14},{\\\""x\\\"":0.7219,\\\""y\\\"":0.4559,\\\""t\\\"":21},{\\\""x\\\"":0.7161,\\\""y\\\"":0.4523,\\\""t\\\"":28},{\\\""x\\\"":0.7146,\\\""y\\\"":0.4523,\\\""t\\\"":28},{\\\""x\\\"":0.7085,\\\""y\\\"":0.4466,\\\""t\\\"":28},{\\\""x\\\"":0.6973,\\\""y\\\"":0.4387,\\\""t\\\"":35},{\\\""x\\\"":0.6797,\\\""y\\\"":0.4258,\\\""t\\\"":42},{\\\""x\\\"":0.6628,\\\""y\\\"":0.4129,\\\""t\\\"":49},{\\\""x\\\"":0.6471,\\\""y\\\"":0.3992,\\\""t\\\"":56},{\\\""x\\\"":0.6305,\\\""y\\\"":0.3856,\\\""t\\\"":63},{\\\""x\\\"":0.6102,\\\""y\\\"":0.3705,\\\""t\\\"":69},{\\\""x\\\"":0.5941,\\\""y\\\"":0.3576,\\\""t\\\"":76}]\"""""
20,10/23/2025 6:15.9.857,135,online_fb,45,103.0212,136,146,558,good_reach,"""\""[{\\\""x\\\"":0.762,\\\""y\\\"":0.4779,\\\""t\\\"":0},{\\\""x\\\"":0.7494,\\\""y\\\"":0.4671,\\\""t\\\"":7},{\\\""x\\\"":0.7486,\\\""y\\\"":0.4642,\\\""t\\\"":14},{\\\""x\\\"":0.7478,\\\""y\\\"":0.4628,\\\""t\\\"":21},{\\\""x\\\"":0.7463,\\\""y\\\"":0.4571,\\\""t\\\"":35},{\\\""x\\\"":0.7452,\\\""y\\\"":0.4535,\\\""t\\\"":42},{\\\""x\\\"":0.744,\\\""y\\\"":0.4499,\\\""t\\\"":49},{\\\""x\\\"":0.7421,\\\""y\\\"":0.4449,\\\""t\\\"":56},{\\\""x\\\"":0.7402,\\\""y\\\"":0.4398,\\\""t\\\"":63},{\\\""x\\\"":0.7367,\\\""y\\\"":0.432,\\\""t\\\"":70},{\\\""x\\\"":0.7294,\\\""y\\\"":0.4183,\\\""t\\\"":83},{\\\""x\\\"":0.7221,\\\""y\\\"":0.4076,\\\""t\\\"":90},{\\\""x\\\"":0.7141,\\\""y\\\"":0.3968,\\\""t\\\"":97},{\\\""x\\\"":0.701,\\\""y\\\"":0.3839,\\\""t\\\"":105},{\\\""x\\\"":0.6914,\\\""y\\\"":0.376,\\\""t\\\"":111},{\\\""x\\\"":0.6795,\\\""y\\\"":0.3653,\\\""t\\\"":118},{\\\""x\\\"":0.6684,\\\""y\\\"":0.3574,\\\""t\\\"":118},{\\\""x\\\"":0.6553,\\\""y\\\"":0.3488,\\\""t\\\"":125},{\\\""x\\\"":0.6342,\\\""y\\\"":0.3366,\\\""t\\\"":132},{\\\""x\\\"":0.6127,\\\""y\\\"":0.3237,\\\""t\\\"":139}]\"""""
